爱羽风暴	ai yu feng bao
安元洋贵	an yuan yang gui
白井悠介	bai jing you jie
布院烟	bu yuan yan
藏王立	cang wang li
草津	cao jin
草津锦史郎	cao jin jin shi lang
代永翼	dai yong yi
地球防卫部	di qiu fang wei bu
风薰白银骑士	feng xun bai yin qi shi
福山润	fu shan run
古见翔	gu jian xiang
贯穿王子	guan chuan wang zi
光辉黄金骑士	guang hui huang jin qi shi
光辉王子	guang hui wang zi
鬼怒川	gui nu chuan
鬼怒川热史	gui nu chuan re shi
黑鸟持手男	hei niao chi shou nan
黑天鹅怪人	hei tian e guai ren
黑玉汤	hei yu tang
轰鸣王子	hong ming wang zi
家里蹲怪人	jia li dun guai ren
江口拓也	jiang kou tuo ye
铃村健一	ling cun jian yi
硫黄	liu huang
螺丝怪人	luo si guai ren
绿川光	lv chuan guang
麦人	mai ren
美男高校地球防卫部	mei nan gao xiao di qiu fang wei bu
眉难高中	mei nan gao zhong
美少男战士	mei shao nan zhan shi
美少年怪人	mei shao nian guai ren
梅原裕一郎	mei yuan yu yi lang
蜜瓜怪人	mi gua guai ren
鸣子硫黄	ming zi liu huang
鸟海浩辅	niao hai hao fu
强罗	qiang luo
桥田割男	qiao tian ge nan
热史	re shi
山本和臣	shan ben he chen
闪光王子	shan guang wang zi
杉田智和	shan tian zhi he
神谷浩史	shen gu hao shi
石田彰	shi tian zhang
寺岛拓笃	si dao tuo du
松冈祯丞	song gang zhen cheng
翁巴特	weng ba te
五十颜亲治	wu shi yan qin zhi
西山宏太朗	xi shan hong tai lang
下吕阿古哉	xia lv a gu zai
箱根强罗	xiang gen qiang luo
箱根有基	xiang gen you ji
小草	xiao cao
小热	xiao re
小西克幸	xiao xi ke xing
小烟	xiao yan
心跳王子	xin tiao wang zi
芽川类	ya chuan lei
眼镜怪人	yan jing guai ren
遥控器怪人	yao kong qi guai ren
一次性筷子怪人	yi ci xing kuai zi guai ren
逸茂一番	yi mao yi fan
由布院	you bu yuan
由布院烟	you bu yuan yan
有马熏	you ma xun
游佐浩二	you zuo hao er
藏王	zang wang
增田俊树	zeng tian jun shu
真桑瓜也	zhen sang gua ye
知久和武	zhi jiu he wu
竹轮麸	zhu lun fu
竹轮麸怪人	zhu lun fu guai ren
宗佐圆觉	zong zuo yuan jue
尊达	zun da
