阿斗	a dou
岸尾大辅	an wei da fu
白狼胁蹴冲	bai lang xie cu chong
百辟刀	bai pi dao
阪口周平	ban kou zhou ping
伯符	bo fu
曹操孟徳	cao cao meng de
曹仁子孝	cao ren zi xiao
超级战士	chao ji zhan shi
陈宫公台	chen gong gong tai
陈横	chen heng
陈留高校	chen liu gao xiao
成都学院	cheng du xue yuan
程普	cheng pu
程普德谋	cheng pu de mou
赤壁争乱篇	chi bi zheng luan pian
赤壁之战	chi bi zhi zhan
淳于导	chun yu dao
大和学院	da he xue yuan
典韦	dian wei
貂蝉	diao chan
董卓	dong zhuo
董卓仲颖	dong zhuo zhong ying
斗士	dou shi
渡边明乃	du bian ming nai
饭岛肇	fan dao zhao
樊能	fan neng
丰口惠美	feng kou hui mei
甘宁	gan ning
甘宁兴霸	gan ning xing ba
冈宽恵	gang kuan hui
高定	gao ding
高冈瓶瓶	gao gang ping ping
高览	gao lan
高桥美佳子	gao qiao mei jia zi
公瑾	gong jin
勾玉	gou yu
关东	guan dong
关姐	guan jie
关节技	guan jie ji
关平	guan ping
关西	guan xi
关羽云长	guan yu yun chang
亀冈真美	gui gang zhen mei
郭嘉奉孝	guo jia feng xiao
韩遂文约	han sui wen yue
河原木志穂	he yuan mu zhi sui
侯成	hou cheng
后藤淳一	hou teng chun yi
胡车儿	hu che er
华佗元化	hua tuo yuan hua
华雄	hua xiong
黄盖	huang gai
黄忠汉升	huang zhong han sheng
继承者	ji cheng zhe
甲斐田裕子	jia fei tian yu zi
加藤英美里	jia teng ying mei li
贾诩文和	jia xu wen he
樫井笙人	jian jing sheng ren
江东小霸王	jiang dong xiao ba wang
井上喜久子	jing shang xi jiu zi
荆州学院	jing zhou xue yuan
孔明	kong ming
孔伷	kong zhou
堀江由衣	ku jiang you yi
蒯良子柔	kuai liang zi rou
蒯越异度	kuai yue yi du
浪川大辅	lang chuan da fu
乐进文谦	le jin wen qian
乐就	le jiu
利根健太郎	li gen jian tai lang
李傕稚然	li jue zhi ran
李通文达	li tong wen da
李严正方	li yan zheng fang
莲池龙三	lian chi long san
凉州高校	liang zhou gao xiao
凉州学院	liang zhou xue yuan
刘备	liu bei
刘备玄徳	liu bei xuan de
刘繇	liu yao
刘繇正礼	liu yao zheng li
龙形八卦一式	long xing ba gua yi shi
龙之力	long zhi li
龙爪裂水	long zhua lie shui
鲁肃子敬	lu su zi jing
陆逊伯言	lu xun bo yan
洛阳学院	luo yang xue yuan
吕布	lv bu
吕布奉先	lv bu feng xian
吕流罗汉三十六式	lv liu luo han san shi liu shi
吕蒙子明	lv meng zi ming
马超孟起	ma chao meng qi
马良季常	ma liang ji chang
马谡幼常	ma su you chang
茅原实里	mao yuan shi li
门胁舞以	men xie wu yi
孟达子度	meng da zi du
孟获	meng huo
孟优	meng you
米田直嗣	mi tian zhi si
木鹿大王	mu lu da wang
木下尚纪	mu xia shang ji
南关东联盟	nan guan dong lian meng
南蛮高校	nan man gao xiao
南阳君主	nan yang jun zhu
南阳学院	nan yang xue yuan
牛金	niu jin
庞统士元	pang tong shi yuan
彭城寺	peng cheng si
浅川悠	qian chuan you
浅野真澄	qian ye zhen cheng
秦琪	qin qi
清川元梦	qing chuan yuan meng
麴义	qu yi
