阿凤	a feng
爱好难	ai hao nan
爱你不放弃一起有意义	ai ni bu fang qi yi qi you yi yi
宝宝	bao bao
北京欢迎你	bei jing huan ying ni
笔笔	bi bi
笔畅	bi chang
彼此	bi ci
笔记	bi ji
笔迷	bi mi
笔亲	bi qin
标本	biao ben
别爱我像爱个朋友	bie ai wo xiang ai ge peng you
别忘了	bie wang le
别装了	bie zhuang le
不唱	bu chang
不痛	bu tong
不用装真好	bu yong zhuang zhen hao
曾经跟你做同学	ceng jing gen ni zuo tong xue
畅畅	chang chang
唱歌去旅行	chang ge qu lv xing
畅姐	chang jie
唱响幸福	chang xiang xing fu
唱一半的歌	chang yi ban de ge
城市人间	cheng shi ren jian
重命名	chong ming ming
春田花花同学会	chun tian hua hua tong xue hui
大家一起喜洋洋	da jia yi qi xi yang yang
带你去兜风	dai ni qu dou feng
带我回家	dai wo hui jia
戴眼镜的女孩	dai yan jing de nv hai
单面镜	dan mian jing
倒叙的时光	dao xu de shi guang
第个电话	di ge dian hua
冬日交响曲	dong ri jiao xiang qu
兜笔烫	dou bi tang
毒蘑菇	du mo gu
独身主义	du shen zhu yi
对嘴	dui zui
耳鸣	er ming
二手歌	er shou ge
翻白眼	fan bai yan
反复	fan fu
非笔寻畅	fei bi xun chang
非典型	fei dian xing
风筝	feng zheng
福尔摩斯	fu er mo si
隔墙花	ge qiang hua
关于我们	guan yu wo men
关于我们日月见证	guan yu wo men ri yue jian zheng
闺女	gui nv
哈哈妹	ha ha mei
海鸥飞	hai ou fei
寒战	han zhan
号码	hao ma
何必	he bi
荷米斯	he mi si
黑道奶娃	hei dao nai wa
黑苹果	hei ping guo
黑择明	hei ze ming
花樽与花	hua zun yu hua
嫉妒	ji du
句号妹	ju hao mei
眷笔一生倾畅一世	juan bi yi sheng qing chang yi shi
肋骨	lei gu
恋爱料理	lian ai liao li
两陷	liang xian
浏阳河	liu yang he
绿海	lv hai
妈妈我不哭	ma ma wo bu ku
盲点	mang dian
猫的冒险	mao de mao xian
槑槑	mei mei
梦想在望	meng xiang zai wang
密友	mi you
牡蛎	mu li
那个那个	na ge na ge
那个我对我说	na ge wo dui wo shuo
那么喜欢你	na me xi huan ni
你好吗	ni hao ma
你们的爱	ni men de ai
偶然	ou ran
片羽时光	pian yu shi guang
平行世界	ping xing shi jie
七分钟好女孩	qi fen zhong hao nv hai
七分钟坏女孩	qi fen zhong huai nv hai
强迫症	qiang po zheng
青睐	qing lai
去流浪	qu liu lang
全年无休	quan nian wu xiu
人气女王	ren qi nv wang
日月轨迹	ri yue gui ji
如果我能说了算	ru guo wo neng shuo le suan
若不是那次夜空	ruo bu shi na ci ye kong
傻瓜的天才	sha gua de tian cai
沙漠也找到巴黎	sha mo ye zhao dao ba li
闪亮的魔法	shan liang de mo fa
上帝咬过的苹果	shang di yao guo de ping guo
生命之光	sheng ming zhi guang
时光机与流浪者	shi guang ji yu liu lang zhe
时光预言	shi guang yu yan
时间	shi jian
实况演出	shi kuang yan chu
实力唱将	shi li chang jiang
收视女王	shou shi nv wang
甩包包	shuai bao bao
谁动了我的琴弦	shui dong le wo de qin xian
岁月神偷	sui yue shen tou
天鹅	tian e
天使之城	tian shi zhi cheng
娃娃	wa wa
晚安的话	wan an de hua
未来就是现在	wei lai jiu shi xian zai
为了认识你	wei le ren shi ni
微时代	wei shi dai
喂喂	wei wei
我的神奇	wo de shen qi
我还学不会享受	wo hai xue bu hui xiang shou
我家叫中国	wo jia jiao zhong guo
我选择喜欢你	wo xuan ze xi huan ni
无人岛	wu ren dao
无所事事	wu suo shi shi
瑕疵品	xia ci pin
相信爱情	xiang xin ai qing
小笔	xiao bi
新步步惊心	xin bu bu jing xin
星空之下	xing kong zhi xia
星期三的信	xing qi san de xin
醒着梦游	xing zhe meng you
学会感觉	xue hui gan jue
亚运有我精彩之吉	ya yun you wo jing cai zhi ji
眼镜	yan jing
一滴泪的距离	yi di lei de ju li
一周年	yi zhou nian
因为爱相信爱	yin wei ai xiang xin ai
用尽我的一切奔向你	yong jin wo de yi qie ben xiang ni
永昼	yong zhou
预感	yu gan
愚公移山	yu gong yi shan
鱼罐头	yu guan tou
鱼光镜	yu guang jing
御龙耀九天	yu long yao jiu tian
原来你也在这里	yuan lai ni ye zai zhe li
月亮的背面	yue liang de bei mian
云图	yun tu
怎样	zen yang
这句话	zhe ju hua
只如初见	zhi ru chu jian
只剩我一个	zhi sheng wo yi ge
周笔畅	zhou bi chang
周笔畅香港红磡演唱会	zhou bi chang xiang gang hong kan yan chang hui
周呆呆	zhou dai dai
周老板	zhou lao ban
周小美	zhou xiao mei
周游拾光	zhou you shi guang
注定	zhu ding
自得其乐	zi de qi le
最美的期待	zui mei de qi dai
最美的时光	zui mei de shi guang
