白神桐子	bai shen tong zi
白神叶子	bai shen ye zi
白神源二郎	bai shen yuan er lang
带眼儿的篮子	dai yan er de lan zi
岛田	dao tian
东中的猛虎	dong zhong de meng hu
付丧神	fu sang shen
冈田奏	gang tian zou
宫健一	gong jian yi
黑峰鸣	hei feng ming
黑峰朝阳	hei feng zhao yang
红本明里	hong ben ming li
红本茜	hong ben qian
花江夏树	hua jiang xia shu
华恋	hua lian
黄龙丸	huang long wan
黄龙院凛	huang long yuan lin
黄龙院闪	huang long yuan shan
角女	jiao nv
蓝泽	lan ze
蓝泽凉	lan ze liang
蓝泽渚	lan ze zhu
老好人樱田	lao hao ren ying tian
漏筐	lou kuang
漏筛	lou shai
绿苑坂弓	lv yuan ban gong
蜜柑	mi gan
鸣与结香	ming yu jie xiang
内田彩	nei tian cai
扭曲的冈田	niu qu de gang tian
平川大辅	ping chuan da fu
其实我是	qi shi wo shi
崎田结太	qi tian jie tai
日笠阳子	ri li yang zi
色峰	se feng
上田丽奈	shang tian li nai
神出鬼没的带角女人	shen chu gui mo de dai jiao nv ren
狮狼	shi lang
手崎	shou qi
水濑祈	shui lai qi
水奈川咲	shui nai chuan xiao
桃地结香	tao di jie xiang
铁娘子	tie niang zi
下野紘	xia ye hong
小福	xiao fu
小茜	xiao qian
小山力也	xiao shan li ye
邪道女王	xie dao nv wang
新田惠海	xin tian hui hai
亚华里	ya hua li
叶子	ye zi
银华恋	yin hua lian
樱田康介	ying tian kang jie
羽多野涉	yu duo ye she
源二郎	yuan er lang
朝阳	zhao yang
朱美蜜柑	zhu mei mi gan
紫紫户狮狼	zi zi hu shi lang
紫紫户狮穗	zi zi hu shi sui
