岸尾大辅	an wei da fu
八千里路	ba qian li lu
斑马	ban ma
村濑步	cun lai bu
岛崎信长	dao qi xin chang
饭田由一郎	fan tian you yi lang
高畑空良	gao tian kong liang
花江夏树	hua jiang xia shu
花岭奏	hua ling zou
可爱川晴斗	ke ai chuan qing dou
腊肠奶凉	la chang nai liang
浪川大辅	lang chuan da fu
立花慎之介	li hua shen zhi jie
龙盘	long pan
陆揆	lu kui
梅里	mei li
魅影之声	mei ying zhi sheng
梅原裕一郎	mei yuan yu yi lang
默伶	mo ling
鸟海浩辅	niao hai hao fu
千切夜长	qian qie ye chang
千切夜宵	qian qie ye xiao
轻薄假相	qing bo jia xiang
森川智之	sen chuan zhi zhi
殇恸	shang tong
松冈祯丞	song gang zhen cheng
笹山直央	ti shan zhi yang
田仲聪辅	tian zhong cong fu
望月识	wang yue shi
舞木优	wu mu you
细谷佳正	xi gu jia zheng
汐玥	xi yue
杨东旭	yang dong xu
枕男子	zhen nan zi
雉子波瑛治	zhi zi bo ying zhi
