达斯摩尔	da si mo er
达斯普雷格斯	da si pu lei ge si
达斯维达	da si wei da
达斯西迪厄斯	da si xi di e si
抵抗组织	di kang zu zhi
第一绝地神殿	di yi jue di shen dian
第一秩序	di yi zhi xu
杜库将军	du ku jiang jun
风暴兵	feng bao bing
格非将军	ge fei jiang jun
光剑	guang jian
光明面	guang ming mian
黑暗面	hei an mian
贾库星	jia ku xing
绝地光剑	jue di guang jian
绝地武士	jue di wu shi
绝地英灵	jue di ying ling
绝地长老会	jue di zhang lao hui
凯洛伦	kai luo lun
克隆人	ke long ren
蕾伊	lei yi
卢克天行者	lu ke tian xing zhe
伦武士	lun wu shi
贸易联盟	mao yi lian meng
纳布星	na bu xing
欧比旺肯诺比	ou bi wang ken nuo bi
斯诺克	si nuo ke
温杜	wen du
西斯大帝	xi si da di
西斯光剑	xi si guang jian
西斯人	xi si ren
西斯武士	xi si wu shi
星球大战	xing qiu da zhan
尤达	you da
原力	yuan li
