艾里库	ai li ku
笔下千言走龙蛇	bi xia qian yan zou long she
卞夫人	bian fu ren
伯和	bo he
波云诡谲绽风华	bo yun gui jue zhan feng hua
曹操	cao cao
曹节	cao jie
曹丕	cao pi
曹仁	cao ren
曹植	cao zhi
常铖	chang cheng
陈晔	chen ye
淳于琼	chun yu qiong
崔琰	cui yan
邓尚	deng shang
邓英	deng ying
邓展	deng zhan
貂蝉	diao chan
董承	dong cheng
董妃	dong fei
董洁	dong jie
董太后	dong tai hou
董璇	dong xuan
蜚先生	fei xian sheng
伏寿	fu shou
伏完	fu wan
高览	gao lan
关美婷	guan mei ting
郭嘉	guo jia
韩东君	han dong jun
何果轩	he guo xuan
何皇后	he huang hou
贾本初	jia ben chu
贾诩	jia xu
今朝情深带笑看	jin zhao qing shen dai xiao kan
旧妃前尘两相与	jiu fei qian chen liang xiang yu
孔融	kong rong
冷寿光	leng shou guang
李泓瑞	li hong rui
李建义	li jian yi
李燕生	li yan sheng
李跃民	li yue min
烈火鸾凤助天龙	lie huo luan feng zhu tian long
林静	lin jing
刘平	liu ping
刘协	liu xie
柳毅	liu yi
刘昱晗	liu yu han
卢毓	lu yu
鲁玉杰	lu yu jie
罗爱新	luo ai xin
吕姬	lv ji
马上笑谈霸王事	ma shang xiao tan ba wang shi
马天宇	ma tian yu
满宠	man chong
名门将女似娇花	ming men jiang nv si jiao hua
娜仁花	na ren hua
潘扬	pan yang
彭博	peng bo
蒲萄	pu tao
七语玄机谋功论	qi yu xuan ji mou gong lun
千古佳人成绝唱	qian gu jia ren cheng jue chang
潜龙在渊	qian long zai yuan
乔晟一	qiao sheng yi
屈扬	qu yang
任红昌	ren hong chang
三分逍遥觞中悠	san fen xiao yao shang zhong you
三国机密	san guo ji mi
审荣	shen rong
史文翔	shi wen xiang
舒耀瑄	shu yao xuan
司马防	si ma fang
司马朗	si ma lang
司马懿	si ma yi
松原	song yuan
孙仪	sun yi
孙祖君	sun zu jun
檀健次	tan jian ci
唐瑛	tang ying
屠楠	tu nan
万茜	wan qian
宛若经霜似红梅	wan ruo jing shuang si hong mei
王服	wang fu
王美人	wang mei ren
王萌	wang meng
王仁君	wang ren jun
汪小敏	wang xiao min
王阳明	wang yang ming
王艺霖	wang yi lin
王艺诺	wang yi nuo
王玉雯	wang yu wen
王越	wang yue
王泽宗	wang ze zong
吴硕	wu shuo
夏志卿	xia zhi qing
小小白	xiao xiao bai
谢君豪	xie jun hao
许褚	xu chu
徐福	xu fu
徐文浩	xu wen hao
荀彧	xun yu
杨彪	yang biao
杨俊	yang jun
杨明鑫	yang ming xin
杨修	yang xiu
阴狠权谋夺皇权	yin hen quan mou duo huang quan
余铭轩	yu ming xuan
袁熙	yuan xi
张博涵	zhang bo han
张雷	zhang lei
张琪	zhang qi
张莘荣	zhang xin rong
张绣	zhang xiu
张宇	zhang yu
赵彦	zhao yan
甄宓	zhen fu
至柔至刚如星辰	zhi rou zhi gang ru xing chen
种辑	zhong ji
足智少年心似渊	zu zhi shao nian xin si yuan
