阿格里帕	a ge li pa
爱的圣拳突击	ai de sheng quan tu ji
艾诺泰卡	ai nuo tai ka
暗斯凯席洛	an si kai xi luo
鲍尔提亚	bao er ti ya
暴岚之塔	bao lan zhi ta
暴牛团	bao niu tuan
碧绿野蔷薇	bi lv ye qiang wei
创成咒诅魔法	chuang cheng zhou zu mo fa
翠绿螳螂	cui lv tang lang
盗贼雷布奇	dao zei lei bu qi
断魔之剑	duan mo zhi jian
堕天使的通道	duo tian shi de tong dao
堕王烟狱	duo wang yan yu
尔拉凯斯	er la kai si
凡妮莎	fan ni sha
凡强斯	fan qiang si
芬拉尔	fen la er
风创成魔法	feng chuang cheng mo fa
风魔法	feng mo fa
钢城铠壁	gang cheng kai bi
戈登	ge deng
葛修	ge xiu
海龙的咆哮	hai long de pao xiao
海龙的摇篮	hai long de yao lan
海龙之巢	hai long zhi chao
黑色暴牛	hei se bao niu
黑色四叶草	hei se si ye cao
黑色五叶草	hei se wu ye cao
红莲狮子王	hong lian shi zi wang
疾驰的懒人车	ji chi de lan ren che
疾风的白鹰	ji feng de bai ying
姬愈花衣	ji yu hua yi
金色的黎明	jin se de li ming
金色黎明	jin se li ming
镜魔导具	jing mo dao ju
镜子魔法	jing zi mo fa
克劳斯	ke lao si
空间魔法	kong jian mo fa
空间魔法使	kong jian mo fa shi
拉克	la ke
雷布奇	lei bu qi
雷神的长靴	lei shen de chang xue
莲花	lian hua
镰鼬的新月	lian you de xin yue
留涅特	liu nie te
罗马弯刀	luo ma wan dao
马尔斯	ma er si
玛格那	ma ge na
玛丽	ma li
梦愈花笼	meng yu hua long
米莫萨	mi mo sa
绵创成魔法	mian chuang cheng mo fa
棉花云	mian hua yun
魔导士	mo dao shi
魔道士	mo dao shi
魔导书	mo dao shu
魔道书	mo dao shu
魔法帝	mo fa di
魔法骑士团	mo fa qi shi tuan
魔缚铁锁阵	mo fu tie suo zhen
魔花的道标	mo hua de dao biao
诺艾儿	nuo ai er
帕皮特森	pa pi te sen
破坏神	po huai shen
骑士团	qi shi tuan
恰味	qia wei
青铜创成魔法	qing tong chuang cheng mo fa
青铜的防护魔法球	qing tong de fang hu mo fa qiu
赛凯	sai kai
桑德勒	sang de le
珊瑚孔雀	shan hu kong que
审判之光	shen pan zhi guang
圣艾尔摩之火	sheng ai er mo zhi huo
胜利之剑	sheng li zhi jian
水波冲击	shui bo chong ji
水具现魔法	shui ju xian mo fa
水色幻鹿	shui se huan lu
丝魔法	si mo fa
斯威格	si wei ge
宿魔之剑	su mo zhi jian
锁蛇之舞	suo she zhi wu
塔罗斯的人偶	ta luo si de ren ou
泰坦的重铠	tai tan de zhong kai
天津风之方舟	tian jin feng zhi fang zhou
田畠裕基	tian zai yu ji
铜泥的毒蛇	tong ni de du she
威廉	wei lian
维亚米利欧	wei ya mi li ou
西尔法	xi er fa
西尔芙的呼吸	xi er fu de hu xi
旋贯的激枪	xuan guan de ji qiang
雪之魔导士	xue zhi mo dao shi
迅雷的崩玉	xun lei de beng yu
亚德雷	ya de lei
亚利特克拉	ya li te ke la
亚斯塔	ya si ta
烟缚十字牢	yan fu shi zi lao
羊厨师	yang chu shi
义眼	yi yan
银翼大鹫	yin yi da jiu
尤诺	you nuo
紫苑逆戟鲸	zi yuan ni ji jing
钻石王国	zuan shi wang guo
