傲云世家	ao yun shi jia
八臂魔怪	ba bi mo guai
百花神宗	bai hua shen zong
白银级三星妖灵	bai yin ji san xing yao ling
白银级五星妖灵师	bai yin ji wu xing yao ling shi
白银级妖灵师	bai yin ji yao ling shi
白银五星妖灵师	bai yin wu xing yao ling shi
白银妖灵	bai yin yao ling
白银一星武者	bai yin yi xing wu zhe
北冥世家少爷	bei ming shi jia shao ye
本体是鬼蜥	ben ti shi gui xi
冰凰形的灵魂形态	bing huang xing de ling hun xing tai
冰美人	bing mei ren
苍狼世家	cang lang shi jia
苍狼世家家主	cang lang shi jia jia zhu
苍冥	cang ming
柴越	chai yue
陈剑林	chen jian lin
陈林剑跟随者	chen lin jian gen sui zhe
陈少	chen shao
赤鲛	chi jiao
赤雷神鸟	chi lei shen niao
赤灵尊者	chi ling zun zhe
赤木尊者	chi mu zun zhe
赤血魔豹	chi xue mo bao
赤血之晶矿场管工	chi xue zhi jing kuang chang guan gong
赤炎黑虎	chi yan hei hu
赤阳形状	chi yang xing zhuang
赤月魔宗	chi yue mo zong
初级炼丹大师	chu ji lian dan da shi
楚宁	chu ning
楚原	chu yuan
传奇级	chuan qi ji
传奇级武者	chuan qi ji wu zhe
传奇妖灵师	chuan qi yao ling shi
大鸟灵傀儡	da niao ling kui lei
第一次末法时代	di yi ci mo fa shi dai
东方玄幻	dong fang xuan huan
杜氏宗族	du shi zong zu
杜泽	du ze
段剑	duan jian
段龙飞	duan long fei
段云	duan yun
发飙的蜗牛	fa biao de wo niu
法器	fa qi
法则之力	fa ze zhi li
风雷天雀	feng lei tian que
风雷系	feng lei xi
风雷翼龙决	feng lei yi long jue
风雷翼龙诀	feng lei yi long jue
风灵兽	feng ling shou
风雪帝国时代	feng xue di guo shi dai
风雪皇后	feng xue huang hou
风雪家族的左膀右臂	feng xue jia zu de zuo bang you bi
风雪巨猿	feng xue ju yuan
风雪灵珠	feng xue ling zhu
风雪世家	feng xue shi jia
风雪世家家主	feng xue shi jia jia zhu
风雪世界	feng xue shi jie
风雪系	feng xue xi
顾贝	gu bei
顾恒	gu heng
顾岚	gu lan
古兰城遗迹	gu lan cheng yi ji
顾氏世家	gu shi shi jia
古炎	gu yan
顾执事	gu zhi shi
管羽	guan yu
光辉之城	guang hui zhi cheng
光辉之城城主	guang hui zhi cheng cheng zhu
光辉之城第三战力	guang hui zhi cheng di san zhan li
鬼煞	gui sha
韩靖	han jing
何贵	he gui
黑暗公会	hei an gong hui
黑暗精灵	hei an jing ling
黑暗时代	hei an shi dai
黑金级巅峰	hei jin ji dian feng
黑金级高手	hei jin ji gao shou
黑金级一星的武者	hei jin ji yi xing de wu zhe
黑金强者	hei jin qiang zhe
黑金妖灵师	hei jin yao ling shi
黑金一星武者	hei jin yi xing wu zhe
黑鳞地龙	hei lin di long
黑龙世家	hei long shi jia
黑龙世家家主	hei long shi jia jia zhu
黑魔森林	hei mo sen lin
黑泉	hei quan
黑石城	hei shi cheng
黑墟	hei xu
黑炎之塔	hei yan zhi ta
黑狱世界	hei yu shi jie
红色灵魂海	hong se ling hun hai
红月世家	hong yue shi jia
胡氏世家	hu shi shi jia
虎牙熊猫	hu ya xiong mao
呼延明	hu yan ming
呼延若兰	hu yan ruo lan
呼延世家	hu yan shi jia
呼延世家家主	hu yan shi jia jia zhu
呼延雄	hu yan xiong
胡勇	hu yong
花火	hua huo
华凌	hua ling
黄金级武者	huang jin ji wu zhe
黄金级一星妖灵师	huang jin ji yi xing yao ling shi
黄金翼龙	huang jin yi long
黄金一星妖灵师	huang jin yi xing yao ling shi
黄色灵魂海	huang se ling hun hai
黄莺	huang ying
黄禹	huang yu
魂兵	hun bing
混沌圣灵决	hun dun sheng ling jue
混沌系	hun dun xi
魂羽世家少爷	hun yu shi jia shao ye
混元神宗	hun yuan shen zong
火鸟	huo niao
火鸟一族的嫡长女	huo niao yi zu de di zhang nv
火神宗	huo shen zong
火神宗圣子	huo shen zong sheng zi
火神宗叶家嫡系	huo shen zong ye jia di xi
火之灵神	huo zhi ling shen
金甲地龙	jin jia di long
金焱	jin yan
九重死地	jiu chong si di
九转冰风诀	jiu zhuan bing feng jue
九转冰凰决	jiu zhuan bing huang jue
剧毒森林	ju du sen lin
剧毒之森	ju du zhi sen
巨尾人	ju wei ren
空冥大帝	kong ming da di
雷火圣典	lei huo sheng dian
雷火系	lei huo xi
雷霆世界	lei ting shi jie
李福	li fu
李恒	li heng
李枭	li xiao
李行云	li xing yun
李御风	li yu feng
离渊世家	li yuan shi jia
炼丹师协会	lian dan shi xie hui
炼丹协会	lian dan xie hui
烈焰妖狐	lie yan yao hu
灵根	ling gen
灵魂海	ling hun hai
灵兽	ling shou
灵修世家少爷	ling xiu shi jia shao ye
灵韵	ling yun
龙骨翼虎	long gu yi hu
龙煞	long sha
龙天明	long tian ming
龙墟界域	long xu jie yu
龙炎枭鹰	long yan xiao ying
龙印世家	long yin shi jia
龙印世家嫡系宗亲	long yin shi jia di xi zong qin
龙宇	long yu
龙羽音	long yu yin
陆飘	lu piao
陆飘家族	lu piao jia zu
罗剑	luo jian
罗鸣	luo ming
罗啸	luo xiao
吕千魔	lv qian mo
吕千杀	lv qian sha
吕野	lv ye
梦魇妖壶	meng yan yao hu
梦魇妖灵	meng yan yao ling
苗玲	miao ling
冥虎	ming hu
铭纹大师	ming wen da shi
铭纹师	ming wen shi
冥域	ming yu
冥域世界	ming yu shi jie
明月无双	ming yue wu shuang
莫涯	mo ya
慕容羽	mu rong yu
穆阳	mu yang
暮夜	mu ye
南门天海	nan men tian hai
能发动影魔之术	neng fa dong ying mo zhi shu
聂冲	nie chong
聂恩	nie en
聂海	nie hai
聂开	nie kai
聂离	nie li
聂离的主考官	nie li de zhu kao guan
聂离邻家家主	nie li lin jia jia zhu
聂龙	nie long
聂鸣	nie ming
聂伟	nie wei
聂晓风	nie xiao feng
聂晓日	nie xiao ri
聂羽	nie yu
聂雨	nie yu
宁幽城遗迹	ning you cheng yi ji
破碎之地	po sui zhi di
青色灵魂海	qing se ling hun hai
青铜二星妖灵师	qing tong er xing yao ling shi
青铜一星妖灵师	qing tong yi xing yao ling shi
人民生活疾苦	ren min sheng huo ji ku
人族军团	ren zu jun tuan
融合妖灵	rong he yao ling
熔巖世界	rong yan shi jie
三大巅峰世家	san da dian feng shi jia
沙漠神宫	sha mo shen gong
少年杜泽	shao nian du ze
沈飞	shen fei
沈鸿	shen hong
神级成长	shen ji cheng zhang
神级妖兽	shen ji yao shou
沈冥	shen ming
沈宁	shen ning
神圣帝国时代	shen sheng di guo shi dai
神圣世家	shen sheng shi jia
