卞城公主	bian cheng gong zhu
卞城王	bian cheng wang
长芳主	chang fang zhu
陈钰琪	chen yu qi
炽狩	chi shou
崔彬斌	cui bin bin
邓伦	deng lun
董小白	dong xiao bai
斗姆元君	dou mu yuan jun
杜雨宸	du yu chen
段瑜	duan yu
二殿下	er dian xia
樊锦霖	fan jin lin
芳主	fang zhu
飞絮	fei xu
风神	feng shen
付宏声	fu hong sheng
付美柔琦	fu mei rou qi
傅相	fu xiang
固城王	gu cheng wang
海棠芳主	hai tang fang zhu
何俊霖	he jun lin
何中华	he zhong hua
胡锦阳	hu jin yang
花神	hua shen
花神之女	hua shen zhi nv
锦觅	jin mi
荆芥	jing jie
邝露仙子	kuang lu xian zi
老胡	lao hu
了听	le ting
李思琼	li si qiong
李雪锋	li xue feng
李羿瑄	li yi xuan
李永田	li yong tian
廉晁	lian chao
连翘	lian qiao
廖劲锋	liao jin feng
燎原君	liao yuan jun
灵力	ling li
六殿阎罗	liu dian yan luo
刘昊宸	liu hao chen
柳思盈	liu si ying
刘向平	liu xiang ping
鎏英	liu ying
卢勇	lu yong
洛霖	luo lin
罗云熙	luo yun xi
马境	ma jing
魔界	mo jie
牡丹芳主	mu dan fang zhu
南平侯	nan ping hou
鸟族首领	niao zu shou ling
宁文彤	ning wen tong
彭杨	peng yang
偏将齐冲	pian jiang qi chong
破军	po jun
扑哧君	pu chi jun
奇鸢	qi yuan
羌活	qiang huo
秦潼	qin tong
擎城王	qing cheng wang
穷奇	qiong qi
雀灵	que ling
肉肉	rou rou
润玉	run yu
萨顶顶	sa ding ding
傻鸟	sha niao
圣光电母	sheng guang dian mu
十殿阎罗	shi dian yan luo
鼠仙	shu xian
霜花	shuang hua
双修	shuang xiu
水神	shui shen
宋允皓	song yun hao
簌离	su li
穗禾	sui he
孙宁	sun ning
太上老君	tai shang lao jun
太巳仙人	tai si xian ren
天帝	tian di
天后	tian hou
土地仙	tu di xian
拓谷枫	tuo gu feng
王岗	wang gang
王仁君	wang ren jun
汪思宇	wang si yu
王一菲	wang yi fei
王媛可	wang yuan ke
文静	wen jing
吴雯璇	wu wen xuan
夏一瑶	xia yi yao
夏志远	xia zhi yuan
香蜜	xiang mi
小葡萄	xiao pu tao
小淘淘	xiao tao tao
旭凤	xu feng
炫狩	xuan shou
焱城王	yan cheng wang
闫露娢	yan lu han
杨紫	yang zi
姚清仁	yao qing ren
夜神	ye shen
隐雀	yin que
玉兰芳主	yu lan fang zhu
缘机仙子	yuan ji xian zi
月孛星使	yue bei xing shi
月下仙人	yue xia xian ren
云响雷公	yun xiang lei gong
张钧然	zhang jun ran
张世宏	zhang shi hong
张笑阳	zhang xiao yang
张棪琰	zhang yan yan
郑歌	zheng ge
周海媚	zhou hai mei
周艺华	zhou yi hua
梓芬	zi fen
邹廷威	zou ting wei
