傲娇受	ao jiao shou
白眼勋	bai yan xun
包子大哥	bao zi da ge
边白苗	bian bai miao
卞白贤	bian bai xian
边伯贤	bian bo xian
灿白	can bai
灿鹿	can lu
城堡	cheng bao
大总攻	da zong gong
呆萌兴	dai meng xing
都暻秀	dou jing xiu
度庆洙	du qing zhu
繁星	fan xing
粉红	fen hong
黄世仁	huang shi ren
黄子韬	huang zi tao
家人	jia ren
金俊勉	jin jun mian
金俊绵	jin jun mian
金珉硕	jin min shuo
金珉锡	jin min xi
金钟大	jin zhong da
金钟仁	jin zhong ren
京城鹿少	jing cheng lu shao
惊恐嘟	jing kong du
开度	kai du
开鹿	kai lu
孔雀哥哥	kong que ge ge
鹿晗	lu han
你的世界	ni de shi jie
牛白	niu bai
牛鹿	niu lu
朴白牙	pu bai ya
朴灿烈	pu can lie
人鱼的眼泪	ren yu de yan lei
撒浪嘿	sa lang hei
上瘾	shang yin
十二月的奇迹	shi er yue de qi ji
双吴	shuang wu
睡神	shui shen
桃勉	tao mian
唯十二	wei shi er
吴凡高	wu fan gao
吴世勋	wu shi xun
吴亦凡	wu yi fan
小哥哥	xiao ge ge
行星饭	xing xing fan
勋白	xun bai
勋鹿	xun lu
勋兴	xun xing
月光	yue guang
张艺兴	zhang yi xing
忠犬攻	zhong quan gong
总攻	zong gong
总受	zong shou
