补位	bu wei
蔡艺侬	cai yi nong
长传突破	chang chuan tu po
沉底传中	chen di chuan zhong
陈瑶	chen yao
陈一之	chen yi zhi
崇越	chong yue
出线	chu xian
萃英球队	cui ying qiu dui
萃英中学	cui ying zhong xue
大胡	da hu
大球战队	da qiu zhan dui
丁羽	ding yu
反越位战术	fan yue wei zhan shu
高位防守法	gao wei fang shou fa
歌歌	ge ge
何心言	he xin yan
黑马王子	hei ma wang zi
胡歌	hu ge
胡柯	hu ke
狐狸教练	hu li jiao lian
胡妈妈	hu ma ma
胡猫	hu mao
江疏影	jiang shu ying
交叉换位	jiao cha huan wei
街机霸主	jie ji ba zhu
赖雨濛	lai yu meng
篱笆战术	li ba zhan shu
李思澄	li si cheng
励志	li zhi
李子峰	li zi feng
林健龙	lin jian long
凌空一球	ling kong yi qiu
陆捷	lu jie
落魄教练	luo po jiao lian
麦小琪	mai xiao qi
麦晓琪	mai xiao qi
门将	men jiang
密集防守	mi ji fang shou
蜜蜜	mi mi
魔女学霸	mo nv xue ba
穆尼	mu ni
穆奇	mu qi
牛骏峰	niu jun feng
潘斌龙	pan bin long
裴朵	pei duo
平板绘制数列	ping ban hui zhi shu lie
钱枫	qian feng
抢断	qiang duan
琴岛二中	qin dao er zhong
秦明浩	qin ming hao
秦明鸢	qin ming yuan
青春	qing chun
清道夫	qing dao fu
青理工大学	qing li gong da xue
区域防守	qu yu fang shou
全攻全守	quan gong quan shou
热血励志	re xue li zhi
任意球	ren yi qiu
三高剩女	san gao sheng nv
涉世不深	she shi bu shen
守门员	shou men yuan
汤柒琪	tang qi qi
踢边前卫	ti bian qian wei
踢黑球	ti hei qiu
外围传中	wai wei chuan zhong
王荆轲	wang jing ke
王艺霖	wang yi lin
笑傲对手	xiao ao dui shou
徐惠康	xu hui kang
杨钒	yang fan
异类教练	yi lei jiao lian
尹剑	yin jian
友谊赛	you yi sai
雨菲	yu fei
鱼跃扑球	yu yue pu qiu
造越位	zao yue wei
曾黎	zeng li
钟艳	zhong yan
周飞舟	zhou fei zhou
周经纬	zhou jing wei
专业战队	zhuan ye zhan dui
撞墙式	zhuang qiang shi
自由人	zi you ren
足球	zu qiu
