暗河宫	an he gong
暗河宫宫主	an he gong gong zhu
暗夜绝	an ye jue
暗夜罗	an ye luo
暗夜冥	an ye ming
碧儿	bi er
曹人丘	cao ren qiu
陈继铭	chen ji ming
陈凯	chen kai
陈烨林	chen ye lin
陈玥	chen yue
赤璋	chi zhang
代斯	dai si
刀冽香	dao lie xiang
刀无痕	dao wu hen
刀无暇	dao wu xia
迪丽热巴	di li re ba
蝶衣	die yi
董李无忧	dong li wu you
樊驿宁	fan yi ning
方小月	fang xiao yue
凤凰	feng huang
凤细细	feng xi xi
高阳	gao yang
葛施敏	ge shi min
龚蓓苾	gong bei bi
何索	he suo
花大娘	hua da niang
黄琮	huang cong
皇帝	huang di
黄嫂	huang sao
黄溢凯	huang yi kai
姬惊雷	ji jing lei
纪子轩	ji zi xuan
蒋博伦	jiang bo lun
江南霹雳门	jiang nan pi li men
金泊含	jin bo han
景献王	jing xian wang
敬阳王	jing yang wang
静渊王	jing yuan wang
赖艺	lai yi
雷恨天	lei hen tian
雷惊鸿	lei jing hong
李东恒	li dong heng
李广旭	li guang xu
李羿希	li yi xi
烈火山庄	lie huo shan zhuang
烈明镜	lie ming jing
烈如歌	lie ru ge
凌堂主	ling tang zhu
刘芮麟	liu rui lin
龙政璇	long zheng xuan
罗四维	luo si wei
马德丫	ma de ya
慕容堂主	mu rong tang zhu
霹雳门	pi li men
飘渺大师兄	piao miao da shi xiong
缥缈祖师	piao miao zu shi
品花楼	pin hua lou
亓航	qi hang
邱波	qiu bo
如歌	ru ge
邵峰	shao feng
石悦安鑫	shi yue an xin
孙晓伦	sun xiao lun
听雪	ting xue
晚枫歌	wan feng ge
万美汐	wan mei xi
王岗	wang gang
王璐	wang lu
王仁君	wang ren jun
无刀城	wu dao cheng
吴佩柔	wu pei rou
吴佟	wu tong
武泽锦熙	wu ze jin xi
夕颜醉	xi yan zui
香儿	xiang er
小暗夜罗	xiao an ye luo
肖荣生	xiao rong sheng
小如歌	xiao ru ge
小裔浪	xiao yi lang
小玉自寒	xiao yu zi han
小战枫	xiao zhan feng
谢厚友	xie hou you
谢小风	xie xiao feng
徐敏	xu min
玄璜	xuan huang
雪歌夫妇	xue ge fu fu
薰衣	xun yi
颜敬杰	yan jing jie
裔浪	yi lang
一笑荒唐	yi xiao huang tang
银雪	yin xue
莹衣	ying yi
有琴泓	you qin hong
浴火成诗	yu huo cheng shi
玉自寒	yu zi han
袁雨萱	yuan yu xuan
战飞天	zhan fei tian
战枫	zhan feng
张彬彬	zhang bin bin
张皓承	zhang hao cheng
张赫	zhang he
张茗灿	zhang ming can
张铭轩	zhang ming xuan
赵俊泽	zhao jun ze
钟离无泪	zhong li wu lei
周奇	zhou qi
周渝民	zhou yu min
