百岁松	bai sui song
白羽殿	bai yu dian
北漠洲	bei mo zhou
碧芙湾	bi fu wan
碧落	bi luo
碧落界	bi luo jie
碧螺坛	bi luo tan
璧山林	bi shan lin
碧桐林	bi tong lin
碧犀街	bi xi jie
碧象城	bi xiang cheng
碧云踏	bi yun ta
冰湖	bing hu
冰虚府	bing xu fu
冰狱	bing yu
波罗蜜塔	bo luo mi ta
般若寺	bo re si
不归岩	bu gui yan
不死树	bu si shu
长乐宫	chang le gong
长菱县	chang ling xian
长生	chang sheng
长生界	chang sheng jie
长生仙牢	chang sheng xian lao
朝魔岭	chao mo ling
赤雾顶	chi wu ding
赤焱	chi yan
赤炎洲	chi yan zhou
崇华宫	chong hua gong
慈安宫	ci an gong
大殷	da yin
帝赤街	di chi jie
东皇洲	dong huang zhou
洞庭府	dong ting fu
洞庭乡	dong ting xiang
东竹林	dong zhu lin
芳徽苑	fang hui yuan
翡翠花都	fei cui hua du
凤麟江	feng lin jiang
风灵渡	feng ling du
凤仪宫	feng yi gong
浮华尘世	fu hua chen shi
伏魔台	fu mo tai
浮汐莲	fu xi lian
管协	guan xie
海螺山	hai luo shan
海汐宫	hai xi gong
海映城	hai ying cheng
寒潇门	han xiao men
花颜玉海	hua yan yu hai
花音谷	hua yin gu
火狱	huo yu
戒山	jie shan
金典银谱	jin dian yin pu
金弥圣境	jin mi sheng jing
金绣银针堂	jin xiu yin zhen tang
金元城	jin yuan cheng
净世井	jing shi jing
九圣居	jiu sheng ju
九天福地	jiu tian fu di
九天玄女	jiu tian xuan nv
旧墟	jiu xu
聚灵	ju ling
聚灵界	ju ling jie
剧务处	ju wu chu
聚阳灵天	ju yang ling tian
枯叶崖	ku ye ya
昆仑秘境	kun lun mi jing
兰塘郡	lan tang jun
阑煜	lan yu
琅嬛仙栖	lang huan xian qi
离部	li bu
离荒	li huang
炼阳谷	lian yang gu
烈火城	lie huo cheng
烈炙	lie zhi
灵驼郡	ling tuo jun
灵虚宝地	ling xu bao di
灵狱	ling yu
六魔道	liu mo dao
龙岛	long dao
笼香城	long xiang cheng
落月坞	luo yue wu
绿蔓谷	lv man gu
曼陀	man tuo
曼陀国	man tuo guo
曼陀山庄	man tuo shan zhuang
梦妩山	meng wu shan
弭芳涧	mi fang jian
