安在洪	an zai hong
安珍珠	an zhen zhu
车诗雅	che shi ya
车太贤	che tai xian
陈赫	chen he
成东镒	cheng dong yi
崔政宇	cui zheng yu
大峙洞	da zhi dong
葛素媛	ge su yuan
韩俊	han jun
洪东表	hong dong biao
洪真京	hong zhen jing
黄新惠	huang xin hui
姜瑞熙	jiang rui xi
江原道	jiang yuan dao
金成玲	jin cheng ling
金聃龄	jin dan ling
金芝香	jin zhi xiang
李敏镐	li min hao
李熙俊	li xi jun
李宥真	li you zhen
李志勋	li zhi xun
罗英姬	luo ying ji
马大荣	ma da rong
门萨	men sa
牟裕兰	mou yu lan
帕劳	pa lao
朴海洙	pu hai zhu
朴珍荣	pu zhen rong
朴智恩	pu zhi en
倾心于你	qing xin yu ni
全振序	quan zhen xu
全智贤	quan zhi xian
人鱼恋	ren yu lian
歙谷县	she gu xian
申恩秀	shen en xiu
申惠善	shen hui shan
申隣雅	shen lin ya
沈清	shen qing
沈宜英	shen yi ying
申原昊	shen yuan hao
泰武	tai wu
文素利	wen su li
许俊宰	xu jun zai
许日中	xu ri zhong
许致贤	xu zhi xian
尹美莱	yin mei lai
尤娜	you na
张珍玉	zhang zhen yu
赵南斗	zhao nan dou
郑秀晶	zheng xiu jing
郑烨	zheng ye
忠淸北道愧山	zhong qing bei dao kui shan
