北门	bei men
博远堂	bo yuan tang
晨曦市场	chen xi shi chang
崇学楼	chong xue lou
大操场	da cao chang
丁香苑	ding xiang yuan
工学院	gong xue yuan
谷四	gu si
谷园	gu yuan
号楼	hao lou
侯老大香锅	hou lao da xiang guo
科几科技楼几楼	ke ji ke ji lou ji lou
人报告厅	ren bao gao ting
三晋饺子宴	san jin jiao zi yan
实验大楼科技楼	shi yan da lou ke ji lou
死人树	si ren shu
思想湖	si xiang hu
图书馆	tu shu guan
小操场	xiao cao chang
小广场英语	xiao guang chang ying yu
小树林	xiao shu lin
校医院	xiao yi yuan
新北门东门	xin bei men dong men
型楼	xing lou
杨家庄	yang jia zhuang
怡膳园	yi shan yuan
游泳馆	you yong guan
植物园	zhi wu yuan
主楼	zhu lou
