安部润	an bu run
八凶玄火法阵	ba xiong xuan huo fa zhen
拜师青云	bai shi qing yun
白雪	bai xue
斑马	ban ma
宝木中阳	bao mu zhong yang
碧瑶	bi yao
冰琦琦	bing qi qi
蔡科俊	cai ke jun
苍松道人	cang song dao ren
草庙村少年	cao miao cun shao nian
曾叔常	ceng shu chang
长冈成贡	chang gang cheng gong
长门通	chang men tong
朝阳峰	chao yang feng
陈创	chen chuang
陈浩	chen hao
陈奕雯	chen yi wen
陈媛	chen yuan
成毅	cheng yi
赤焰剑	chi yan jian
大梵班若	da fan ban ruo
大梵般若	da fan bo re
大梵般若功法	da fan bo re gong fa
大竹峰	da zhu feng
代岳东	dai yue dong
道玄真人	dao xuan zhen ren
邓细	deng xi
滴血洞	di xue dong
定海情断	ding hai qing duan
丁玲	ding ling
毒公子	du gong zi
毒血幡	du xue fan
法相	fa xiang
焚香谷	fen xiang gu
焚香谷玄火坛	fen xiang gu xuan huo tan
风回峰	feng hui feng
傅程鹏	fu cheng peng
伏龙鼎	fu long ding
浮屠金钵	fu tu jin bo
浮诛	fu zhu
高新杰	gao xin jie
葛大为	ge da wei
葛子铭	ge zi ming
古窟定情	gu ku ding qing
鬼厉	gui li
鬼王	gui wang
鬼王之女	gui wang zhi nv
鬼王宗	gui wang zong
鬼王宗四圣使	gui wang zong si sheng shi
鬼先生	gui xian sheng
韩志杰	han zhi jie
合欢铃	he huan ling
合欢派	he huan pai
合欢派弟子	he huan pai di zi
何中华	he zhong hua
黑心老人	hei xin lao ren
琥珀朱绫	hu po zhu ling
狐岐山	hu qi shan
幻月洞府	huan yue dong fu
黄海冰	huang hai bing
霍尊	huo zun
季冠霖	ji guan lin
姜广涛	jiang guang tao
姜鸿	jiang hong
江新光	jiang xin guang
焦俊艳	jiao jun yan
金刚杵	jin gang chu
金铃夫人	jin ling fu ren
金瓶儿	jin ping er
九尾天狐	jiu wei tian hu
九阳尺	jiu yang chi
可可	ke ke
雷立	lei li
李晨浩	li chen hao
李凯馨	li kai xin
李力	li li
离思	li si
李晓萍	li xiao ping
李洵	li xun
李易峰	li yi feng
炼血堂	lian xue tang
梁婧娴	liang jing xian
獠牙	liao ya
林惊羽	lin jing yu
刘灿	liu can
刘畅	liu chang
刘国辉	liu guo hui
六狐洞	liu hu dong
刘露	liu lu
刘若英	liu ruo ying
刘思辰	liu si chen
六尾	liu wei
刘学义	liu xue yi
刘妍	liu yan
龙首峰	long shou feng
龙首峰苍松道人	long shou feng cang song dao ren
陆虎	lu hu
陆揆	lu kui
卢星宇	lu xing yu
陆雪琪	lu xue qi
吕至杰	lv zhi jie
茅子俊	mao zi jun
妙公子	miao gong zi
魔教炼血堂弟子	mo jiao lian xue tang di zi
魔教三公子	mo jiao san gong zi
墨雪剑	mo xue jian
你有没有深爱过	ni you mei you shen ai guo
朴铄	pu shuo
普智	pu zhi
齐昊	qi hao
七脉会武	qi mai hui wu
七星剑	qi xing jian
乾坤清光戒	qian kun qing guang jie
钱泳辰	qian yong chen
秦俊杰	qin jun jie
秦无炎	qin wu yan
青灵石	qing ling shi
青龙	qing long
青衣谣	qing yi yao
情溢中秋	qing yi zhong qiu
青云门	qing yun men
青云门风回峰	qing yun men feng hui feng
青云门龙首峰	qing yun men long shou feng
青云志	qing yun zhi
邱秋	qiu qiu
任嘉伦	ren jia lun
任贤齐	ren xian qi
如果我们不曾相遇	ru guo wo men bu ceng xiang yu
入世迷局	ru shi mi ju
若只如初见	ruo zhi ru chu jian
三尾	san wei
伤心花	shang xin hua
商正梁	shang zheng liang
生死相依	sheng si xiang yi
时光笔墨	shi guang bi mo
噬魂	shi hun
时间裂缝	shi jian lie feng
石头	shi tou
噬血珠	shi xue zhu
兽妖之战	shou yao zhi zhan
首座	shou zuo
舒畅	shu chang
水月	shui yue
