北旗	bei qi
博湖	bo hu
博间	bo jian
博间王	bo jian wang
博陵	bo ling
博勤	bo qin
博耀	bo yao
长怀	chang huai
长柳王子妃	chang liu wang zi fei
储印	chu yin
单林	dan lin
东凡	dong fan
杜风	du feng
繁佳	fan jia
繁芝	fan zhi
凤鸣	feng ming
风弄	feng nong
归森	gui sen
贺狄	he di
鸿羽	hong yu
景平	jing ping
军青	jun qing
军亭	jun ting
空流	kong liu
孔叶心	kong ye xin
离国	li guo
烈斗	lie dou
烈儿	lie er
烈中流	lie zhong liu
烈中石	lie zhong shi
龙天	long tian
鹿丹	lu dan
媚姬	mei ji
绵涯	mian ya
妙光	miao guang
莫雪文	mo xue wen
莫玉符	mo yu fu
朴戎	pu rong
千林	qian lin
庆鼎	qing ding
庆离	qing li
庆彰	qing zhang
容虎	rong hu
容恬	rong tian
若言	ruo yan
思蔷	si qiang
同国	tong guo
卫秋娘	wei qiu niang
武谦	wu qian
西雷	xi lei
小柳	xiao liu
宴亭	yan ting
永逸	yong yi
永殷	yong yin
余浪	yu lang
御泉公主	yu quan gong zhu
昭北	zhao bei
昭梦庵	zhao meng an
筑玄	zhu xuan
子岩	zi yan
