阿迪尔	a di er
白晓超	bai xiao chao
苍茫茫的天涯路是你的飘泊	cang mang mang de tian ya lu shi ni de piao bo
陈辉	chen hui
陈建斌	chen jian bin
陈雨人	chen yu ren
代旭	dai xu
但愿重拾美丽往昔再见你一面	dan yuan chong shi mei li wang xi zai jian ni yi mian
丁子峻	ding zi jun
董事局成员	dong shi ju cheng yuan
董晓勇	dong xiao yong
对面的空座位	dui mian de kong zuo wei
风潇潇的漫长路你只身飘零	feng xiao xiao de man chang lu ni zhi shen piao ling
宫晓伟	gong xiao wei
孤单单的身影后寂寥的心情	gu dan dan de shen ying hou ji liao de xin qing
孤单单的身影中那痛苦失落	gu dan dan de shen ying zhong na tong ku shi luo
古月兰	gu yue lan
关强	guan qiang
郭刚	guo gang
郭中友	guo zhong you
韩振国	han zhen guo
豪嫂	hao sao
和大都市的心脏	he da du shi de xin zang
何俊贤	he jun xian
黑漆漆的孤枕边记你的温柔	hei qi qi de gu zhen bian ji ni de wen rou
黑漆漆的孤枕边是你的温柔	hei qi qi de gu zhen bian shi ni de wen rou
黑眼圈换理想	hei yan quan huan li xiang
轰隆隆的雷雨声在我的窗前	hong long long de lei yu sheng zai wo de chuang qian
胡可	hu ke
霍长保	huo chang bao
霍小峰	huo xiao feng
或许明日太阳西下倦鸟已归时	huo xu ming ri tai yang xi xia juan niao yi gui shi
霍瑶瑶	huo yao yao
贾丽娟	jia li juan
蒋小平	jiang xiao ping
江一楠	jiang yi nan
金斗斗	jin dou dou
金士豪	jin shi hao
李建国	li jian guo
李兰迪	li lan di
李林	li lin
李添诺	li tian nuo
李野萍	li ye ping
李郁文	li yu wen
恋曲	lian qu
林慕	lin mu
刘海波	liu hai bo
刘俐俐	liu li li
刘梦依	liu meng yi
罗大佑	luo da you
罗世丰	luo shi feng
吕宁	lv ning
吕中	lv zhong
马国梁	ma guo liang
马珂	ma ke
马小驿	ma xiao yi
马伊琍	ma yi li
满江	man jiang
茆晓明	mao xiao ming
每次美好的失落了哭喊着陪着我	mei ci mei hao de shi luo le ku han zhe pei zhe wo
每次美好的失落了提醒我多可贵	mei ci mei hao de shi luo le ti xing wo duo ke gui
每次事与愿违	mei ci shi yu yuan wei
每次笑着流泪	mei ci xiao zhe liu lei
每一个希望	mei yi ge xi wang
猛哥	meng ge
秘书小江	mi shu xiao jiang
那并不是全部	na bing bu shi quan bu
你别离后的转变我永是魂牵	ni bie li hou de zhuan bian wo yong shi hun qian
你川流不息地赶向	ni chuan liu bu xi di gan xiang
你将已经踏上旧时的归途	ni jiang yi jing ta shang jiu shi de gui tu
你可会象他不久便再归家	ni ke hui xiang ta bu jiu bian zai gui jia
你面容上的改变脑里来移迁	ni mian rong shang de gai bian nao li lai yi qian
你能否记得住	ni neng fou ji de zhu
你输掉的某些可能	ni shu diao de mou xie ke neng
你用脉搏唤醒朝阳	ni yong mai bo huan xing zhao yang
你拥有的哪怕瞬间	ni yong you de na pa shun jian
彭裤子	peng ku zi
破晓乍醒多空虚难可再拥有	po xiao zha xing duo kong xu nan ke zai yong you
凄清清的秋雨点再碰我窗前	qi qing qing de qiu yu dian zai peng wo chuang qian
齐志	qi zhi
千千万个声音	qian qian wan ge sheng yin
轻飘飘的旧时光就这么溜走	qing piao piao de jiu shi guang jiu zhe me liu zou
轻飘飘的旧时日悄悄地飞逝	qing piao piao de jiu shi ri qiao qiao de fei shi
任堃	ren kun
人生难得再次寻觅相知的伴侣	ren sheng nan de zai ci xun mi xiang zhi de ban lv
仍在寻觅你踪影杳杳象流星	reng zai xun mi ni zong ying yao yao xiang liu xing
荣飞	rong fei
上演心酸的幸福的什么都无所谓	shang yan xin suan de xing fu de shen me dou wu suo wei
沈培峰	shen pei feng
沈严	shen yan
沈阳	shen yang
沈运	shen yun
盛冠森	sheng guan sen
生命终究难舍蓝蓝的白云天	sheng ming zhong jiu nan she lan lan de bai yun tian
是一片汪洋如你眼神的光	shi yi pian wang yang ru ni yan shen de guang
收发室大爷	shou fa shi da ye
数数口袋里的梦想还顽强	shu shu kou dai li de meng xiang hai wan qiang
数载如梦烟般消回首那堪计	shu zai ru meng yan ban xiao hui shou na kan ji
水汪汪的黑眼睛笑态多亲善	shui wang wang de hei yan jing xiao tai duo qin shan
宋四维	song si wei
抬头遥望天边隐隐见那倦鸟返家	tai tou yao wang tian bian yin yin jian na juan niao fan jia
谭维正	tan wei zheng
田小洁	tian xiao jie
万籁宁	wan lai ning
王爱国	wang ai guo
王海洋	wang hai yang
王建军	wang jian jun
王珏	wang jue
王欧蕾	wang ou lei
王煜	wang yu
乌溜溜的黑眼珠和你的笑脸	wu liu liu de hei yan zhu he ni de xiao lian
吴昱瑶	wu yu yao
吴元	wu yuan
吴院长	wu yuan zhang
小钱	xiao qian
小赵	xiao zhao
心中那个没有人知道的地方	xin zhong na ge mei you ren zhi dao de di fang
醒来时的清晨里是我的哀愁	xing lai shi de qing chen li shi wo de ai chou
徐玲	xu ling
徐文	xu wen
寻寻觅觅长相守是我的脚步	xun xun mi mi chang xiang shou shi wo de jiao bu
沿高高山岗风吹来的方向	yan gao gao shan gang feng chui lai de fang xiang
阎桂英	yan gui ying
严澍	yan shu
姚建雄	yao jian xiong
姚远	yao yuan
也是上天的礼物	ye shi shang tian de li wu
叶一云	ye yi yun
一生匆匆怎舍浮云和蓝天	yi sheng cong cong zen she fu yun he lan tian
殷敏利	yin min li
永不咎往昔恩怨情于你心托	yong bu jiu wang xi en yuan qing yu ni xin tuo
永远无怨的是我的双眼	yong yuan wu yuan de shi wo de shuang yan
袁晔珉	yuan ye min
在第几节车厢	zai di ji jie che xiang
在时间的中途	zai shi jian de zhong tu
在这座城市大剧场	zai zhe zuo cheng shi da ju chang
怎么也难忘记你离去的转变	zen me ye nan wang ji ni li qu de zhuan bian
怎么也难忘记你容颜的转变	zen me ye nan wang ji ni rong yan de zhuan bian
张春年	zhang chun nian
张国荣	zhang guo rong
张恒	zhang heng
张杰	zhang jie
张蕾	zhang lei
张淑娟	zhang shu juan
张文剑	zhang wen jian
张翼芸	zhang yi yun
张援朝	zhang yuan chao
赵京京	zhao jing jing
赵立新	zhao li xin
赵熙元	zhao xi yuan
中国式关系	zhong guo shi guan xi
周大庆	zhou da qing
周毅	zhou yi
朱燕	zhu yan
转头回去看看时已匆匆数年	zhuan tou hui qu kan kan shi yi cong cong shu nian
总是人来人往	zong shi ren lai ren wang
