巴多	ba duo
白秉德	bai bing de
白嘉轩	bai jia xuan
白狼	bai lang
白灵	bai ling
白鹿	bai lu
白孝文	bai xiao wen
白孝武	bai xiao wu
白孝义	bai xiao yi
白兴儿	bai xing er
白赵氏	bai zhao shi
不能跟狗计较	bu neng gen gou ji jiao
才活得坦然	cai huo de tan ran
才是真正的男人	cai shi zhen zheng de nan ren
曹馨月	cao xin yue
陈忠实	chen zhong shi
打斗诉讼两败伤	da dou su song liang bai shang
邓伦	deng lun
董洁	dong jie
都抹不掉	dou mo bu diao
而在自家知道不知道	er zai zi jia zhi dao bu zhi dao
房是招牌地是累	fang shi zhao pai di shi lei
戈治均	ge zhi jun
狗狂一滩屎喀	gou kuang yi tan shi ka
韩裁缝	han cai feng
好饭耐不得三顿吃	hao fan nai bu de san dun chi
好书却经得住一辈子读	hao shu que jing de zhu yi bei zi du
郝洋	hao yang
好衣架不住半月穿	hao yi jia bu zhu ban yue chuan
何冰	he bing
黑娃	hei wa
扈耀之	hu yao zhi
惠工	hui gong
活着就有希望	huo zhe jiu you xi wang
祭奠死者吓不跑倭寇	ji dian si zhe xia bu pao wo kou
姬他	ji ta
记在天上刻在地上	ji zai tian shang ke zai di shang
脚放大发铰短	jiao fang da fa jiao duan
雷佳音	lei jia yin
冷秋水	leng qiu shui
冷秋月	leng qiu yue
冷先生	leng xian sheng
李洪涛	li hong tao
李沁	li qin
刘进	liu jin
刘佩琦	liu pei qi
刘远	liu yuan
鹿三	lu san
露水没籽儿闲话没影儿	lu shui mei zi er xian hua mei ying er
鹿泰恒	lu tai heng
鹿兆海	lu zhao hai
鹿兆鹏	lu zhao peng
鹿子霖	lu zi lin
骡驹	luo ju
马驹	ma ju
马丽	ma li
能人前也能人后	neng ren qian ye neng ren hou
能享福也能受罪	neng xiang fu ye neng shou zui
能站起也能圪蹴得下	neng zhan qi ye neng ge jiu dei xia
牛犊	niu du
怕人知道的事就不该做	pa ren zhi dao de shi jiu bu gai zuo
朋友之交	peng you zhi jiao
其实天知道地也知道	qi shi tian zhi dao di ye zhi dao
谦让一步宽十丈	qian rang yi bu kuan shi zhang
秦海璐	qin hai lu
毬毛总是不合股儿	qiu mao zong shi bu he gu er
人狂没好事	ren kuang mei hao shi
人是个贱虫	ren shi ge jian chong
孺子愿学位好人	ru zi yuan xue wei hao ren
什么事不能说的人	shen me shi bu neng shuo de ren
石文中	shi wen zhong
孙浩	sun hao
孙铱	sun yi
田福贤	tian fu xian
田昊	tian hao
田小娥	tian xiao e
王骁	wang xiao
为富思仁兼重义	wei fu si ren jian zhong yi
为人师表传道授业解惑	wei ren shi biao chuan dao shou ye jie huo
我权当狗咬了	wo quan dang gou yao le
习文可以治国安邦	xi wen ke yi zhi guo an bang
习武则可能统领千军万马	xi wu ze ke neng tong ling qian jun wan ma
仙草	xian cao
小斯琴高娃	xiao si qin gao wa
孝文媳妇	xiao wen xi fu
行事不在旁人知道不知道	xing shi bu zai pang ren zhi dao bu zhi dao
学会容纳仇恨	xue hui rong na chou hen
杨皓宇	yang hao yu
杨排长	yang pai zhang
也是抹不掉的	ye shi mo bu diao de
宜得删繁就简	yi de shan fan jiu jian
倚势恃强压对方	yi shi shi qiang ya dui fang
英雄败在儿女手啊	ying xiong bai zai er nv shou a
岳维山	yue wei shan
攒下银钱是催命鬼	zan xia yin qian shi cui ming gui
翟天临	zhai tian lin
张嘉译	zhang jia yi
张瑶	zhang yao
章子君	zhang zi jun
指甲常剪兜要浅	zhi jia chang jian dou yao qian
朱白氏	zhu bai shi
朱先生	zhu xian sheng
自家做下好事刻在自家心里	zi jia zuo xia hao shi ke zai zi jia xin li
子霖媳妇	zi lin xi fu
做下瞎事也刻在自家心里	zuo xia xia shi ye ke zai zi jia xin li
