白百合	bai bai he
包贝尔	bao bei er
蔡依林	cai yi lin
蔡卓妍	cai zhuo yan
陈赫	chen he
陈翔	chen xiang
陈晓	chen xiao
陈妍希	chen yan xi
陈奕迅	chen yi xun
邓超	deng chao
邓紫棋	deng zi qi
迪丽热巴	di li re ba
郭碧婷	guo bi ting
郭采洁	guo cai jie
华晨宇	hua chen yu
黄晓明	huang xiao ming
贾乃亮	jia nai liang
井柏然	jing bo ran
李溪芮	li xi rui
李小璐	li xiao lu
鹿晗	lu han
毛晓彤	mao xiao tong
倪妮	ni ni
王俊凯	wang jun kai
王凯	wang kai
王源	wang yuan
王子文	wang zi wen
吴亦凡	wu yi fan
向佐	xiang zuo
徐璐	xu lu
徐申东	xu shen dong
薛之谦	xue zhi qian
易烊千玺	yi yang qian xi
岳云鹏	yue yun peng
张杰	zhang jie
张雪迎	zhang xue ying
张学友	zhang xue you
张云龙	zhang yun long
郑元畅	zheng yuan chang
庄心妍	zhuang xin yan
