背书	bei shu
充电宝	chong dian bao
重庆	chong qing
地板的原因	di ban de yuan yin
好好唱歌好好长大	hao hao chang ge hao hao zhang da
黑暗无边与你并肩	hei an wu bian yu ni bing jian
凯源	kai yuan
凯源不得了	kai yuan bu de liao
凯源不得了私奔就是屌	kai yuan bu de liao si ben jiu shi diao
凯源到得了	kai yuan dao de le
凯源酷到爆谈情趁年少	kai yuan ku dao bao tan qing chen nian shao
凯源猛过氮气叻	kai yuan meng guo dan qi le
凯源唯	kai yuan wei
嗑糖	ke tang
老王	lao wang
麻袋	ma dai
旁友你听说过凯源吗	pang you ni ting shuo guo kai yuan ma
岁月曲折不改星河	sui yue qu zhe bu gai xing he
他的可爱我的帅	ta de ke ai wo de shuai
土狗	tu gou
王俊凯	wang jun kai
王源	wang yuan
王炸	wang zha
夏秋	xia qiu
雪花球	xue hua qiu
雪人	xue ren
洋葱	yang cong
一生一世	yi sheng yi shi
一心一意	yi xin yi yi
与子同朝盛世王朝	yu zi tong chao sheng shi wang chao
源儿	yuan er
中了凯源的毒	zhong le kai yuan de du
