阿部敦	a bu dun
爱一郎	ai yi lang
撑竿跳高	cheng gan tiao gao
代永翼	dai yong yi
岛崎信长	dao qi xin chang
蝶泳	die yong
渡边明乃	du bian ming nai
宫田幸季	gong tian xing ji
宫野真守	gong ye zhen shou
家中宏	jia zhong hong
鲛柄学园	jiao bing xue yuan
捷泳	jie yong
津田健次郎	jin tian jian ci lang
橘真琴	ju zhen qin
铃木达央	ling mu da yang
龙崎怜	long qi lian
平川大辅	ping chuan da fu
七濑遥	qi lai yao
清十郎	qing shi lang
日笠阳子	ri li yang zi
似鸟	si niao
似鸟爱一郎	si niao ai yi lang
松冈江	song gang jiang
松冈凛	song gang lin
松岗凛	song gang lin
松元惠	song yuan hui
笹部	ti bu
笹部吾朗	ti bu wu lang
天方美帆	tian fang mei fan
田径部	tian jing bu
吾朗	wu lang
雪野五月	xue ye wu yue
岩鸢高中	yan yuan gao zhong
叶月渚	ye yue zhu
游泳部副部长	you yong bu fu bu zhang
游泳池	you yong chi
御子柴	yu zi chai
御子柴清十郎	yu zi chai qing shi lang
御子柴五十铃	yu zi chai wu shi ling
运动番	yun dong fan
真琴	zhen qin
自由泳	zi you yong
佐藤聪美	zuo teng cong mei
佐藤利奈	zuo teng li nai
