阿卢	a lu
安止公	an zhi gong
曺胤瑀	cao yin yu
成东日	cheng dong ri
崔珉豪	cui min hao
崔元英	cui yuan ying
都枝寒	dou zhi han
段世	duan shi
高仁范	gao ren fan
高雅拉	gao ya la
翰星	han xing
瓠公	hu gong
讳景恭	hui jing gong
金昌完	jin chang wan
金光奎	jin guang kui
金泰亨	jin tai heng
金习	jin xi
金贤俊	jin xian jun
金元海	jin yuan hai
金智秀	jin zhi xiu
金钟求	jin zhong qiu
李秉俊	li bing jun
李多寅	li duo yin
李光洙	li guang zhu
刘在明	liu zai ming
吕蔚	lv wei
麦宗	mai zong
莫问	mo wen
泮流	pan liu
皮周奇	pi zhou qi
朴炯植	pu jiong zhi
朴叙俊	pu xu jun
朴英实	pu ying shi
穹庐	qiong lu
石县第	shi xian di
守护	shou hu
守妍	shou yan
淑明公主	shu ming gong zhu
宋英奎	song ying kui
魏花公	wei hua gong
魏花郎	wei hua lang
先雨	xian yu
徐睿知	xu rui zhi
于勒	yu le
真兴王	zhen xing wang
知后	zhi hou
只召太后	zhi zhao tai hou
