奥拉	ao la
白沃兹	bai wo zi
宝生永梦	bao sheng yong meng
冰室幻德	bing shi huan de
常磐顺一郎	chang pan shun yi lang
常磐庄吾	chang pan zhuang wu
葛城巧	ge cheng qiao
葛城忍	ge cheng ren
黑沃兹	hei wo zi
红羽	hong yu
花家大我	hua jia da wo
黄羽	huang yu
加古川飞流	jia gu chuan fei liu
镜飞彩	jing fei cai
九条贵利矢	jiu tiao gui li shi
蓝羽	lan yu
泷川纱羽	long chuan sha yu
明光院盖茨	ming guang yuan gai ci
难波重三郎	nan bo zhong san lang
内海成彰	nei hai cheng zhang
石动美空	shi dong mei kong
石动惣一	shi dong zong yi
斯瓦鲁兹	si wa lu zi
檀黎斗	tan li dou
檀正宗	tan zheng zong
桐生战兔	tong sheng zhan tu
万丈龙我	wan zhang long wo
沃兹	wo zi
乌尔	wu er
猿渡一海	yuan du yi hai
月读	yue du
