阿双	a shuang
安安	an an
百灵	bai ling
白珊	bai shan
白月光	bai yue guang
北三所	bei san suo
冰清	bing qing
不得体	bu de ti
常铖	chang cheng
陈君杰	chen jun jie
陈偌汐	chen ruo xi
陈宥维	chen you wei
陈圆媛	chen yuan yuan
成国栋	cheng guo dong
成浚文	cheng jun wen
程茉	cheng mo
尺素	chi su
纯妃	chun fei
纯惠皇贵妃	chun hui huang gui fei
崔羽宽	cui yu kuan
戴春荣	dai chun rong
德胜	de sheng
邓莎	deng sha
帝后	di hou
帝后党	di hou dang
冬枣	dong zao
杜鹃	du juan
段兰娟	duan lan juan
鄂尔泰	e er tai
尔晴	er qing
范晓明	fan xiao ming
方安娜	fang an na
芳草	fang cao
方楚彤	fang chu tong
方姑姑	fang gu gu
方洋飞	fang yang fei
翡翠	fei cui
冯武生	feng wu sheng
富察傅恒	fu cha fu heng
富察夫人	fu cha fu ren
富察管家	fu cha guan jia
富察容音	fu cha rong yin
傅恒	fu heng
福慧	fu hui
福康安	fu kang an
福彭	fu peng
傅谦	fu qian
付小雨	fu xiao yu
高斌	gao bin
高贵妃	gao gui fei
高恒	gao heng
高芮	gao rui
高洋	gao yang
高雨儿	gao yu er
高宗纯皇帝	gao zong chun huang di
公方敏	gong fang min
固伦和静公主	gu lun he jing gong zhu
顾天天	gu tian tian
贵妃娘娘	gui fei niang niang
海兰察	hai lan cha
杭州知府	hang zhou zhi fu
何佳怡	he jia yi
荷叶	he ye
弘历	hong li
红螺	hong luo
红墙叹	hong qiang tan
弘晓	hong xiao
洪尧	hong yao
弘昼	hong zhou
琥珀	hu po
黄世亮	huang shi liang
黄溢凯	huang yi kai
辉发那拉氏	hui fa na la shi
慧贤皇贵妃	hui xian huang gui fei
吉祥	ji xiang
嘉嫔	jia pin
嘉亲王	jia qin wang
蒋曼琴	jiang man qin
姜梓新	jiang zi xin
金叠叠	jin die die
锦绣	jin xiu
尽忠	jin zhong
看狗小太监	kan gou xiao tai jian
拉旺多尔济	la wang duo er ji
兰儿	lan er
李春嫒	li chun ai
李佳蔚	li jia wei
李佳勋	li jia xun
李鹏	li peng
李润华	li run hua
李若宁	li ruo ning
李树人	li shu ren
李雪娇	li xue jiao
李玉	li yu
李跃民	li yue min
练练	lian lian
林辰涵	lin chen han
令妃	ling fei
令贵妃	ling gui fei
玲珑	ling long
刘恩尚	liu en shang
刘姑姑	liu gu gu
刘国际	liu guo ji
刘和	liu he
刘璐	liu lu
刘嬷嬷	liu mo mo
刘诗童	liu shi tong
刘思思	liu si si
刘太医	liu tai yi
刘晓倩	liu xiao qian
刘月涛	liu yue tao
刘泽宇	liu ze yu
陆晚晚	lu wan wan
珞姐	luo jie
罗喜	luo xi
履亲王	lv qin wang
马春燕	ma chun yan
玛瑙	ma nao
马启越	ma qi yue
马顺莎	ma shun sha
马鑫浩	ma xin hao
马彦斌	ma yan bin
明玉	ming yu
莫小满	mo xiao man
那尔布	na er bu
那拉夫人	na la fu ren
纳兰淳雪	na lan chun xue
讷亲	ne qin
聂远	nie yuan
潘时七	pan shi qi
彭京粉	peng jing fen
平郡王	ping jun wang
蒲绿闹	pu lv nao
齐佳庆锡	qi jia qing xi
钱晨洁	qian chen jie
秦岚	qin lan
庆恭皇贵妃	qing gong huang gui fei
青莲	qing lian
任淇	ren qi
任婉婧	ren wan jing
容妃宫女	rong fei gong nv
茹萍	ru ping
瑞贵人	rui gui ren
萨满太太	sa man tai tai
少年弘历	shao nian hong li
少年弘时	shao nian hong shi
少年弘曕	shao nian hong yan
少年弘昼	shao nian hong zhou
少年永琪	shao nian yong qi
少女娴妃	shao nv xian fei
佘诗曼	she shi man
沈保平	shen bao ping
慎郡王	shen jun wang
谌玮琪	shen wei qi
慎刑司掌事	shen xing si zhang shi
十二阿哥	shi er a ge
施予斐	shi yu fei
石玉凤	shi yu feng
淑嘉皇贵妃	shu jia huang gui fei
顺嫔	shun pin
四阿哥	si a ge
思婉格格	si wan ge ge
宋春丽	song chun li
苏茂	su mao
苏青	su qing
孙傲	sun ao
孙迪	sun di
孙翊晨	sun yi chen
孙勇	sun yong
索绰罗玉梨	suo chuo luo yu li
太后	tai hou
谭旭	tan xu
谭卓	tan zhuo
唐嘉童	tang jia tong
唐梓馨	tang zi xin
童年常寿	tong nian chang shou
童年福康安	tong nian fu kang an
童年高恒	tong nian gao heng
童年高宁馨	tong nian gao ning xin
童年淑慎	tong nian shu shen
童年魏璎宁	tong nian wei ying ning
童年永琪	tong nian yong qi
童年永瑢	tong nian yong rong
童年永琰	tong nian yong yan
婉儿	wan er
婉贵人	wan gui ren
王辰耀	wang chen yao
王菲	wang fei
王冠逸	wang guan yi
王鹤润	wang he run
王绘春	wang hui chun
王乐谦	wang le qian
王霖	wang lin
王茂蕾	wang mao lei
王天一	wang tian yi
王曦	wang xi
王欣慧	wang xin hui
王羿鹍	wang yi kun
王一哲	wang yi zhe
王友力	wang you li
王宇威	wang yu wei
王媛可	wang yuan ke
王忠	wang zhong
魏佳玉	wei jia yu
魏劲松	wei jin song
魏清泰	wei qing tai
卫延侃	wei yan kan
魏璎珞	wei ying luo
魏璎宁	wei ying ning
五阿哥	wu a ge
吴谨言	wu jin yan
吴利华	wu li hua
吴书来	wu shu lai
乌雅青黛	wu ya qing dai
喜儿	xi er
喜娘	xi niang
娴妃	xian fei
娴妃宫女	xian fei gong nv
娴妃娘娘	xian fei niang niang
香儿	xiang er
相忘	xiang wang
孝敬宪皇后	xiao jing xian huang hou
小六子	xiao liu zi
小路子	xiao lu zi
小全子	xiao quan zi
孝圣宪皇后	xiao sheng xian huang hou
小童子	xiao tong zi
孝贤纯皇后	xiao xian chun huang hou
孝仪纯皇后	xiao yi chun huang hou
小章子	xiao zhang zi
小竹子	xiao zhu zi
谢子溦	xie zi mei
辛者库	xin zhe ku
绣女彩福	xiu nv cai fu
徐百卉	xu bai hui
徐格格	xu ge ge
许凯	xu kai
许晓诺	xu xiao nuo
徐源	xu yuan
雪落下的声音	xue luo xia de sheng yin
严嬷嬷	yan mo mo
严梓豪	yan zi hao
杨斌	yang bin
杨净如	yang jing ru
杨雪	yang xue
姚未平	yao wei ping
叶禾	ye he
叶天士	ye tian shi
怡嫔	yi pin
易勇	yi yong
遗珠	yi zhu
殷旭	yin xu
颖贵人	ying gui ren
璎珞	ying luo
璎珞小姐姐	ying luo xiao jie jie
永珹	yong cheng
永珹乳母	yong cheng ru mu
永琮乳母	yong cong ru mu
永璟乳母	yong jing ru mu
永璂	yong qi
永璂乳母	yong qi ru mu
永琰	yong yan
雍正皇帝	yong zheng huang di
愉贵人	yu gui ren
玉壶	yu hu
玉洁	yu jie
裕太妃	yu tai fei
于哲	yu zhe
袁春望	yuan chun wang
袁宏	yuan hong
允祹	yun tao
允禧	yun xi
云香	yun xiang
张彬	zhang bin
张管事	zhang guan shi
张嘉倪	zhang jia ni
章佳茹红	zhang jia ru hong
张婕	zhang jie
张嬷嬷	zhang mo mo
张日辉	zhang ri hui
张天宇	zhang tian yu
张天韵	zhang tian yun
张渟渟	zhang ting ting
张译兮	zhang yi xi
张院判	zhang yuan pan
赵管事	zhao guan shi
昭华公主	zhao hua gong zhu
赵君昌	zhao jun chang
赵梦洁	zhao meng jie
赵庆	zhao qing
珍儿	zhen er
珍珠	zhen zhu
郑龙	zheng long
郑晓东	zheng xiao dong
郑晓婉	zheng xiao wan
郑云杰	zheng yun jie
周丹妮	zhou dan ni
周建华	zhou jian hua
周义晟	zhou yi sheng
庄则熙	zhuang ze xi
总管太监	zong guan tai jian
宗令	zong ling
