阿夸	a kua
阿露丝阿尔玛	a lu si a er ma
阿萨	a sa
阿媂娅	a ti ya
艾克斯阿尔比欧	ai ke si a er bi ou
艾露	ai lu
艾因	ai yin
安洁卡特莉娜	an jie ka te li na
安堂	an tang
安堂稻荷	an tang dao he
八木	ba mu
八木迪之	ba mu di zhi
芭娜娜	ba na na
百鬼绫目	bai gui ling mu
白祁	bai qi
白上吹雪	bai shang chui xue
白咲铃	bai xiao ling
白银诺艾尔	bai yin nuo ai er
绊爱	ban ai
宝钟玛琳	bao zhong ma lin
贝尔蒙德班德拉斯	bei er meng de ban de la si
本间向日葵	ben jian xiang ri kui
冰糖	bing tang
不知火芙蕾雅	bu zhi huo fu lei ya
彩虹社	cai hong she
赤井心	chi jing xin
湊阿库娅	cou a ku ya
大空昴	da kong mao
大神澪	da shen ling
黛灰	dai hui
德比德比德比鲁	de bi de bi de bi lu
德比鲁	de bi lu
电脑少女	dian nao shao nv
度人	du ren
多拉	duo la
朵莉丝	duo li si
福山	fu shan
高槻律	gao gui lv
葛叶	ge ye
光一	guang yi
黑桃影	hei tao ying
花寄女生	hua ji nv sheng
花寄女生宿舍	hua ji nv sheng su she
花留	hua liu
花畑嘉依卡	hua tian jia yi ka
花丸晴琉	hua wan qing liu
辉夜月	hui ye yue
惑姬	huo ji
加贺美隼人	jia he mei sun ren
剑持刀也	jian chi dao ye
健屋花那	jian wu hua na
菫妃奈	jin fei nai
京华	jing hua
静凛	jing lin
久远千岁	jiu yuan qian sui
橘九	ju jiu
郡道美玲	jun dao mei ling
卡缇娅乌拉诺娃	ka ti ya wu la nuo wa
康娜	kang na
科科	ke ke
克蕾雅	ke lei ya
口呆口	kou dai kou
冷鸟	leng niao
李清歌	li qing ge
莉泽赫露艾斯塔	li ze he lu ai si ta
莲雾	lian wu
林玲	lin ling
林伊	lin yi
铃果	ling guo
铃鹿诗子	ling lu shi zi
泠鸢	ling yuan
铃原露露	ling yuan lu lu
琉绮	liu qi
龙胆尊	long dan zun
鹿乃	lu nai
陆桃	lu tao
露西娅	lu xi ya
萝卜子	luo bo zi
罗莎琳	luo sha lin
罗伊	luo yi
罗兹巴蕾特	luo zi ba lei te
绿仙	lv xian
马自立	ma zi li
猫宫	mao gong
猫宫日向	mao gong ri xiang
猫老大	mao lao da
猫又小粥	mao you xiao zhou
梦月萝娅	meng yue luo ya
蜜球兔	mi qiu tu
弥希	mi xi
米娅	mi ya
喵田弥夜	miao tian mi ye
喵月	miao yue
咩啊	mie a
名取纱那	ming qu sha na
魔魔	mo mo
墨汐	mo xi
慕斯	mu si
帕克丝	pa ke si
帕里	pa li
爬犁	pa li
佩克拉	pei ke la
七海	qi hai
七柠	qi ning
犬山玉姬	quan shan yu ji
润羽露西娅	run yu lu xi ya
萨麦尔	sa mai er
森中花咲	sen zhong hua xiao
沙夜	sha ye
山梨	shan li
社筑	she zhu
神宫司玉藻	shen gong si yu zao
神樂	shen yue
神樂七奈	shen yue qi nai
时乃空	shi nai kong
时音	shi yin
寿寿歌	shou shou ge
双荔	shuang li
桃濑雪绘	tao lai xue hui
笹木咲	ti mu xiao
樋口枫	tong kou feng
童田明治	tong tian ming zhi
兔田佩克拉	tu tian pei ke la
未来明	wei lai ming
无理	wu li
物述有栖	wu shu you qi
舞元启介	wu yuan qi jie
希薇娅	xi wei ya
夏色祭	xia se ji
小东人鱼	xiao dong ren yu
谢拉	xie la
星街彗星	xing jie hui xing
星弥	xing mi
星也	xing ye
修女克蕾雅	xiu nv ke lei ya
戌亥床	xu hai chuang
戌神沁音	xu shen qin yin
亚绮罗森塔尔	ya qi luo sen ta er
夜见蕾娜	ye jian lei na
夜空梅露	ye kong mei lu
夜霧	ye wu
野野宫	ye ye gong
夜之中星也	ye zhi zhong xing ye
一果	yi guo
伊莎贝拉霍利	yi sha bei la huo li
鹰宫莉音	ying gong li yin
樱美	ying mei
樱巫女	ying wu nv
樱樱火	ying ying huo
勇气千寻	yong qi qian xun
有加	you jia
有栖	you qi
柚一	you yi
御伽原江良	yu jia yuan jiang liang
御水	yu shui
羽音	yu yin
癒月巧可	yu yue qiao ke
月之美兔	yue zhi mei tu
早稻叽	zao dao ji
张京华	zhang jing hua
真绯瑠	zhen fei liu
中单光一	zhong dan guang yi
周力一	zhou li yi
椎名唯华	zhui ming wei hua
紫纪	zi ji
紫咲诗音	zi xiao shi yin
