安柏	an bai
安松	an song
白宇	bai yu
包老三	bao lao san
变异者	bian yi zhe
波比	bo bi
常芮	chang rui
长生晷	chang sheng gui
常喆宽	chang zhe kuan
陈黛黑	chen dai hei
陈芊朵	chen qian duo
陈伟栋	chen wei dong
陈雪燃	chen xue ran
陈韵好	chen yun hao
程魏	cheng wei
成心妍	cheng xin yan
楚恕之	chu shu zhi
初心	chu xin
丛波	cong bo
大吉	da ji
大庆	da qing
丹丹	dan dan
地界	di jie
地界看守者	di jie kan shou zhe
地界人	di jie ren
地君殿丁顿	di jun dian ding dun
地星人	di xing ren
第一揭秘者	di yi jie mi zhe
电力值	dian li zhi
丁顿	ding dun
董钒	dong fan
东南	dong nan
窦全忠	dou quan zhong
对抗邪恶	dui kang xie e
冯去病	feng qu bing
浮游	fu you
高贵根	gao gui gen
高劲风	gao jing feng
高天宇	gao tian yu
高雨儿	gao yu er
高占鹏	gao zhan peng
古班	gu ban
怪咖聚集地	guai ka ju ji di
郭长城	guo chang cheng
郭英	guo ying
海星人	hai xing ren
瀚噶族	han ga zu
郝爽	hao shuang
黑暗基因	hei an ji yin
黑猫大庆	hei mao da qing
黑能量	hei neng liang
黑袍使	hei pao shi
胡博	hu bo
华玉柱	hua yu zhu
黄烁	huang shuo
黄雅洁	huang ya jie
黄朝阳	huang zhao yang
技术大神	ji shu da shen
季先生	ji xian sheng
吉祥	ji xiang
季小白	ji xiao bai
吉志威	ji zhi wei
贾东东	jia dong dong
家辉	jia hui
江明洋	jiang ming yang
金浩	jin hao
金龙	jin long
鞠小云	ju xiao yun
孔鲸	kong jing
恐惧值	kong ju zhi
傀儡师	kui lei shi
来苏	lai su
老李	lao li
李慧侠	li hui xia
李佳琪	li jia qi
李佳伟	li jia wei
李琦	li qi
李茜	li qian
李茜奶奶	li qian nai nai
李思琪	li si qi
李信鹏	li xin peng
李严	li yan
李砚	li yan
林忱	lin chen
林静	lin jing
林玉森	lin yu sen
刘国际	liu guo ji
刘家辰	liu jia chen
刘浪	liu lang
刘泯廷	liu min ting
刘亚东	liu ya dong
刘亚鹏	liu ya peng
龙城	long cheng
龙城大学	long cheng da xue
龙城第一大靓仔	long cheng di yi da liang zai
龙城第一小可爱	long cheng di yi xiao ke ai
骆德何	luo de he
骆磊	luo lei
吕织	lv zhi
麻龟	ma gui
马甲掉线	ma jia diao xian
马靓	ma liang
马斯	ma si
买龙	mai long
米露	mi lu
能量体	neng liang ti
宁桓宇	ning huan yu
欧阳明昊	ou yang ming hao
欧阳贞	ou yang zhen
痞帅精分	pi shuai jing fen
齐维刚	qi wei gang
全康伟	quan kang wei
桑赞	sang zan
沙雅	sha ya
山河锥	shan he zhui
蛇女	she nv
蛇四叔	she si shu
摄政官	she zheng guan
沈梦琪	shen meng qi
沈巍	shen wei
生物工程系教授	sheng wu gong cheng xi jiao shou
时间飞行	shi jian fei xing
守护两界	shou hu liang jie
守护两界和平	shou hu liang jie he ping
四圣器	si sheng qi
苏晗烨	su han ye
苏航	su hang
苏盛华	su sheng hua
孙秋生	sun qiu sheng
谈啸	tan xiao
唐孜悦	tang zi yue
特别调查处	te bie diao cha chu
特别调查处职员	te bie diao cha chu zhi yuan
特调处	te tiao chu
团战领导	tuan zhan ling dao
王超伟	wang chao wei
王乃超	wang nai chao
王伟华	wang wei hua
王向阳	wang xiang yang
王心予	wang xin yu
王一珂	wang yi ke
王永峰	wang yong feng
汪徵	wang zheng
王子强	wang zi qiang
卫蓝	wei lan
巍澜夫妇	wei lan fu fu
吴天恩	wu tian en
吴晓君	wu xiao jun
吴宣	wu xuan
吴钰珏	wu yu jue
吴竹青	wu zhu qing
相亲女孩	xiang qin nv hai
小杰	xiao jie
晓君	xiao jun
小澜孩	xiao lan hai
小澜澜	xiao lan lan
小全	xiao quan
小赵云澜	xiao zhao yun lan
辛鹏	xin peng
许家程	xu jia cheng
徐瑾	xu jin
徐金超	xu jin chao
徐梦佳	xu meng jia
许烁	xu shuo
鸦青执事	ya qing zhi shi
亚兽族人	ya shou zu ren
杨静	yang jing
杨雪莹	yang xue ying
叶方舟	ye fang zhou
野火	ye huo
异能	yi neng
茵茵	yin yin
迎春	ying chun
幽畜	you chu
贼酋	zei qiu
张丹妮	zhang dan ni
张凤安	zhang feng an
张皓	zhang hao
张蓝心	zhang lan xin
张若楠	zhang ruo nan
赵俊伟	zhao jun wei
赵文明	zhao wen ming
赵心慈	zhao xin ci
赵云澜	zhao yun lan
镇魂	zhen hun
郑大钱	zheng da qian
郑意	zheng yi
徵赞夫妇	zheng zan fu fu
郑中原	zheng zhong yuan
只是太在意	zhi shi tai zai yi
周杰	zhou jie
周婷	zhou ting
周薇薇	zhou wei wei
周晓海	zhou xiao hai
周远舟	zhou yuan zhou
朱豪	zhu hao
祝红	zhu hong
朱健	zhu jian
烛九	zhu jiu
朱一龙	zhu yi long
祖马	zu ma
