阿毛	a mao
巴布洛夫	ba bu luo fu
曹力	cao li
陈冠宁	chen guan ning
陈佳影	chen jia ying
陈敏正	chen min zheng
陈明章	chen ming zhang
陈氏兄弟	chen shi xiong di
陈数	chen shu
大当家	da dang jia
地下党战士	di xia dang zhan shi
钉子	ding zi
窦夫人	dou fu ren
窦仕骁	dou shi xiao
二当家	er dang jia
反差萌	fan cha meng
冯先生	feng xian sheng
搞笑版绿林好汉	gao xiao ban lu lin hao han
郭秋成	guo qiu cheng
黑瞎子岭	hei xia zi ling
金融顾问	jin rong gu wen
孔维	kong wei
浪漫女作家	lang man nv zuo jia
雷佳音	lei jia yin
李光洁	li guang jie
刘金花	liu jin hua
刘敏	liu min
陆黛玲	lu dai ling
绿林界	lu lin jie
马灿灿	ma can can
美国间谍	mei guo jian die
民间爱国志士	min jian ai guo zhi shi
南铁情报机构	nan tie qing bao ji gou
南铁株式会社	nan tie zhu shi hui she
脑力女	nao li nv
内尔纳	nei er na
奇智若妖	qi zhi ruo yao
乔治白	qiao zhi bai
全才高手	quan cai gao shou
日本高级军官	ri ben gao ji jun guan
日军便衣队	ri jun bian yi dui
日下步	ri xia bu
瑞恩	rui en
三流小明星	san liu xiao ming xing
石原队长	shi yuan dui zhang
苏联代表	su lian dai biao
唐凌	tang ling
陶慧	tao hui
铁血警长	tie xue jing zhang
土匪全套技能	tu fei quan tao ji neng
土特产夫妇	tu te chan fu fu
瓦莲蒂娜	wa lian di na
王大顶	wang da ding
王烈	wang lie
王玥兮	wang yue xi
文景轩	wen jing xuan
宪兵队长大佐军衔	xian bing dui chang da zuo jun xian
香鸠将军	xiang jiu jiang jun
新佑课长	xin you ke zhang
行为痕迹分析专家	xing wei hen ji fen xi zhuan jia
阎俊希	yan jun xi
姚苰	yao hong
姚女士	yao nv shi
野间	ye jian
野间平二	ye jian ping er
张帆	zhang fan
张岩	zhang yan
政治献金	zheng zhi xian jin
中共地下党员	zhong gong di xia dang yuan
佐藤	zuo teng
