阿娣	a di
百里登风	bai li deng feng
白雪岑	bai xue cen
半山亭	ban shan ting
北宫杵	bei gong chu
杯莫停	bei mo ting
本人	ben ren
边江	bian jiang
边江陈光	bian jiang chen guang
冰英冢	bing ying zhong
不良人	bu liang ren
不良帅	bu liang shuai
布卫	bu wei
蔡洪雄	cai hong xiong
虿盆	chai pen
常昊灵	chang hao ling
常宣灵	chang xuan ling
陈露	chen lu
陈昇垚	chen sheng yao
陈新林	chen xin lin
蚩梦	chi meng
崇圣阎君	chong sheng yan jun
崇玄真	chong xuan zhen
崇玄真人	chong xuan zhen ren
仇人九	chou ren jiu
褚珺	chu jun
春音	chun yin
崔亮	cui liang
大梁末帝	da liang mo di
大梁太祖	da liang tai zu
大天位	da tian wei
大星位	da xing wei
单雨童	dan yu tong
盗圣	dao sheng
盗圣温韬	dao sheng wen tao
登风	deng feng
地牢	di lao
丁洪	ding hong
丁砂平	ding sha ping
丁砂颖	ding sha ying
多闻圣姬	duo wen sheng ji
多闻天	duo wen tian
梵音圣姬	fan yin sheng ji
梵音天	fan yin tian
范哲琛	fan zhe chen
疯道人	feng dao ren
凤翔城	feng xiang cheng
凤笑	feng xiao
伏龙	fu long
关心	guan xin
关心导演	guan xin dao yan
观星台	guan xing tai
广目圣姬	guang mu sheng ji
广目天	guang mu tian
鬼王	gui wang
憾山拳	han shan quan
撼山拳	han shan quan
河图	he tu
鹤以杉	he yi shan
黑白无常	hei bai wu chang
黑白无常密室	hei bai wu chang mi shi
黑肱大师	hei gong da shi
黑龙拳	hei long quan
蝴蝶蛊	hu die gu
胡庆	hu qing
虎啸堂	hu xiao tang
画江湖	hua jiang hu
画江湖之杯莫停	hua jiang hu zhi bei mo ting
画江湖之不良人	hua jiang hu zhi bu liang ren
画江湖之换世门生	hua jiang hu zhi huan shi men sheng
画江湖之灵主	hua jiang hu zhi ling zhu
华树程	hua shu cheng
华阳针法	hua yang zhen fa
换世门生	huan shi men sheng
幻音坊总舵	huan yin fang zong duo
幻音诀	huan yin jue
慧觉	hui jue
慧明	hui ming
慧四郎	hui si lang
霍光仑	huo guang lun
火灵芝	huo ling zhi
祭酒真人	ji jiu zhen ren
姬如雪	ji ru xue
伽谷	jia gu
甲兰	jia lan
贾李朋	jia li peng
甲轩	jia xuan
甲子直	jia zi zhi
蒋崇德	jiang chong de
蒋仁杰	jiang ren jie
蒋玄礼	jiang xuan li
蒋元信	jiang yuan xin
蒋昭义	jiang zhao yi
金蝉蛊	jin chan gu
金大龙	jin da long
金锋掌	jin feng zhang
金同福	jin tong fu
晋王李克用	jin wang li ke yong
晋星刺	jin xing ci
惊鸿	jing hong
景门三煞	jing men san sha
