巴厘岛	ba li dao
芭提雅	ba ti ya
半自助游	ban zi zhu you
纯玩团	chun wan tuan
单房差	dan fang cha
导游	dao you
地接社	di jie she
地陪	di pei
飞猪	fei zhu
跟团	gen tuan
购物团	gou wu tuan
挂星酒店	gua xing jiu dian
韩国济州岛	han guo ji zhou dao
合同	he tong
领队	ling dui
驴妈妈	lv ma ma
旅游攻略	lv you gong lue
蚂蜂窝	ma feng wo
拼团	pin tuan
品质团	pin zhi tuan
普吉岛	pu ji dao
亲子游	qin zi you
去哪儿网	qu na er wang
全陪	quan pei
日本鹿儿岛	ri ben lu er dao
深度游	shen du you
泰国	tai guo
同程	tong cheng
途牛	tu niu
携程	xie cheng
行程单	xing cheng dan
游轮游	you lun you
邮轮游	you lun you
转团	zhuan tuan
准星酒店	zhun xing jiu dian
自驾游	zi jia you
自由行	zi you xing
组团社	zu tuan she
