爆破手	bao po shou
碧海蓝天	bi hai lan tian
不忘使命	bu wang shi ming
冲锋枪	chong feng qiang
大国重器	da guo zhong qi
杜江	du jiang
队长	dui zhang
反擒拿	fan qin na
飞机	fei ji
非洲	fei zhou
奋勇冲锋	fen yong chong feng
副队长	fu dui zhang
高云	gao yun
顾顺	gu shun
观察员	guan cha yuan
郭家豪	guo jia hao
海魂	hai hun
海军战舰	hai jun zhan jian
海清	hai qing
海战	hai zhan
合家嗨	he jia hai
红海行动	hong hai xing dong
护航行动	hu hang xing dong
黄景瑜	huang jing yu
霍思燕	huo si yan
机枪手	ji qiang shou
蒋璐霞	jiang lu xia
蛟龙	jiao long
蛟龙出海	jiao long chu hai
蛟龙突击队	jiao long tu ji dui
解救人质	jie jiu ren zhi
近身搏斗	jin shen bo dou
狙击手	ju ji shou
狙击战	ju ji zhan
军舰舰长	jun jian jian zhang
李懂	li dong
梁凤英	liang feng ying
林超贤	lin chao xian
临危受命	lin wei shou ming
陆琛	lu chen
麦亨利	mai heng li
摩洛哥	mo luo ge
潜水艇	qian shui ting
强者无敌	qiang zhe wu di
擒拿	qin na
全地形作战	quan di xing zuo zhan
热血	re xue
荣耀	rong yao
沙漠战	sha mo zhan
深海利剑	shen hai li jian
实景拍摄	shi jing pai she
守护	shou hu
索马里海域	suo ma li hai yu
坦克	tan ke
佟莉	tong li
王强	wang qiang
王雨甜	wang yu tian
无人机驾驶员	wu ren ji jia shi yuan
夏楠	xia nan
现代战争题材	xian dai zhan zheng ti cai
巷战	xiang zhan
硝烟	xiao yan
徐宏	xu hong
扬帆起航	yang fan qi hang
杨锐	yang rui
扬我国威	yang wo guo wei
也门撤侨	ye men che qiao
医疗兵	yi liao bing
伊维亚	yi wei ya
尹昉	yin fang
因为真所以红	yin wei zhen suo yi hong
营救	ying jiu
战地记者	zhan di ji zhe
战地玫瑰	zhan di mei gui
张涵予	zhang han yu
张天德	zhang tian de
张译	zhang yi
真金不怕火炼	zhen jin bu pa huo lian
真枪实弹	zhen qiang shi dan
政委	zheng wei
致敬海军	zhi jing hai jun
中国海军	zhong guo hai jun
中国侨胞	zhong guo qiao bao
重炮手	zhong pao shou
庄羽	zhuang yu
祖国	zu guo
最爱这抹保护色	zui ai zhe mo bao hu se
