阿黛尔	a dai er
艾德希兰	ai de xi lan
艾伦沃克	ai lun wo ke
碧碧雷克萨	bi bi lei ke sa
查理普斯	cha li pu si
戳爷	chuo ye
德雷克	de lei ke
丁日	ding ri
断眉	duan mei
黄老板	huang lao ban
贾皇	jia huang
贾隆平	jia long ping
贾斯汀比伯	jia si ting bi bo
贾斯汀汀布莱克	jia si ting ting bu lai ke
凯蒂帕里	kai di pa li
雷蒂嘎嘎	lei di ga ga
蕾哈娜	lei ha na
麦莉塞勒斯	mai li sai le si
梅根特瑞娜	mei gen te rui na
霉霉	mei mei
萌德	meng de
魔力红	mo li hong
赛琳娜戈麦兹	sai lin na ge mai zi
傻脸娜	sha lian na
泰勒斯威夫特	tai le si wei fu te
特洛伊希文	te luo yi xi wen
希亚	xi ya
肖恩蒙德兹	xiao en meng de zi
烟鬼	yan gui
烟卷	yan juan
泽恩	ze en
