阿蟒	a mang
獒骨	ao gu
巴山	ba shan
巴蛇吞象	ba she tun xiang
百凤齐鸣	bai feng qi ming
班主婆婆	ban zhu po po
爆裂决	bao lie jue
宝塔果	bao ta guo
奔龙	ben long
辩日	bian ri
冰玉天翔	bing yu tian xiang
步宗	bu zong
步宗宗主	bu zong zong zhu
草木箭	cao mu jian
长乐	chang le
唱宗	chang zong
唱宗宗主	chang zong zong zhu
辰默	chen mo
辰族	chen zu
丑族	chou zu
穿心莲花箭	chuan xin lian hua jian
大飞	da fei
大魏	da wei
打宗	da zong
打宗宗主	da zong zong zhu
登峰	deng feng
调转乾坤	diao zhuan qian kun
咚锵镇	dong qiang zhen
督宗	du zong
督宗宗主	du zong zong zhu
对子猫	dui zi mao
遁匿之术	dun ni zhi shu
恶念之灵	e nian zhi ling
分宗试炼	fen zong shi lian
风浮生	feng fu sheng
风无忌	feng wu ji
凤舞九天	feng wu jiu tian
风月无边	feng yue wu bian
俘获小甜心	fu huo xiao tian xin
干戚之舞	gan qi zhi wu
公羊未	gong yang wei
句芒	gou mang
孤峰	gu feng
孤烟	gu yan
孤岳	gu yue
孤云	gu yun
归初塔	gui chu ta
亥族	hai zu
黑金令牌	hei jin ling pai
侯大	hou da
侯二	hou er
虎大郎	hu da lang
花落雨	hua luo yu
画师猫	hua shi mao
欢欢	huan huan
幻夜	huan ye
彗星	hui xing
混沌枷锁	hun dun jia suo
火判	huo pan
极峰岭	ji feng ling
祭祀岛	ji si dao
叫头	jiao tou
金婆婆	jin po po
荆棘草	jing ji cao
京剧猫	jing ju mao
惊堂拐	jing tang guai
冷血二娘	leng xue er niang
丽石镇	li shi zhen
凌霜箭	ling shuang jian
灵锡	ling xi
灵钻	ling zuan
笼门客栈	long men ke zhan
录宗	lu zong
录宗宗主	lu zong zong zhu
麻麻鱼	ma ma yu
毛先生	mao xian sheng
卯星	mao xing
卯族	mao zu
喵喵飓风	miao miao ju feng
明镜之屏	ming jing zhi ping
明月	ming yue
魔化	mo hua
墨兰	mo lan
墨提	mo ti
墨听	mo ting
墨问	mo wen
魔物	mo wu
墨邪	mo ye
墨紫	mo zi
纳兰	na lan
纳宗	na zong
纳宗宗主	na zong zong zhu
霓虹	ni hong
念光普照	nian guang pu zhao
念石咒	nian shi zhou
念心匣	nian xin xia
念字咒	nian zi zhou
念宗	nian zong
念宗宗主	nian zong zong zhu
牛一桶	niu yi tong
判官令	pan guan ling
潘掌柜	pan zhang gui
判宗	pan zong
判宗宗主	pan zong zong zhu
破碎乾坤	po sui qian kun
七白	qi bai
千锤百炼	qian chui bai lian
千斤鼎	qian jin ding
乾坤箱	qian kun xiang
乾坤镇妖塔	qian kun zhen yao ta
千乐	qian le
潜心指	qian xin zhi
潜心指觉醒	qian xin zhi jue xing
青莲箭	qing lian jian
荣光	rong guang
绒嬷嬷	rong mo mo
散白	san bai
沙无痕	sha wu hen
哨棒	shao bang
摄魂笛	she hun di
神仙草	shen xian cao
身宗	shen zong
身宗宗主	shen zong zong zhu
申族	shen zu
十二宗	shi er zong
狮虎女	shi hu nv
时晶	shi jing
时晶宝藏	shi jing bao zang
时晶环	shi jing huan
时空折叠	shi kong zhe die
石破天惊	shi po tian jing
手宗	shou zong
手宗宗主	shou zong zong zhu
水无相	shui wu xiang
水袖	shui xiu
四方村	si fang cun
司马富	si ma fu
巳族	si zu
宿雪	su xue
唐明	tang ming
天笼地缚	tian long di fu
天眼台	tian yan tai
铁爪五能	tie zhua wu neng
听音辨位	ting yin bian wei
瞳瞳	tong tong
头虫节	tou chong jie
突牙	tu ya
吞噬天平	tun shi tian ping
万念俱灰	wan nian ju hui
万卒齐发	wan zu qi fa
未族	wei zu
无情	wu qing
武崧	wu song
呜呜暴风	wu wu bao feng
悟心湖	wu xin hu
悟心莲	wu xin lian
无心一清	wu xin yi qing
午族	wu zu
西门	xi men
夏侯	xia hou
萧巳娘	xiao si niang
星罗班	xing luo ban
星罗堂	xing luo tang
星罗韵网	xing luo yun wang
刑天	xing tian
虚无	xu wu
虚无放逐	xu wu fang zhu
戌族	xu zu
悬空核	xuan kong he
雪沧源	xue cang yuan
洵怀镇	xun huai zhen
驯兽鞭	xun shou bian
炎虎重炮	yan hu zhong pao
胭脂透视	yan zhi tou shi
眼宗	yan zong
眼宗宗主	yan zong zong zhu
异猫	yi mao
一念宫	yi nian gong
一线牵	yi xian qian
银唱儿	yin chang er
阴霾山谷	yin mai shan gu
阴摩罗	yin mo luo
银婆婆	yin po po
寅族	yin zu
油彩村	you cai cun
悠狸	you li
酉族	you zu
雨师	yu shi
羽翼封	yu yi feng
元初锣	yuan chu luo
月澹台	yue tan tai
韵力	yun li
韵纹	yun wen
云忧谷	yun you gu
云忧谷谷主	yun you gu gu zhu
杂戏村	za xi cun
丈八蛇拳	zhang ba she quan
郑三宝	zheng san bao
正义铃	zheng yi ling
雉翎	zhi ling
钟无艳	zhong wu yan
烛龙	zhu long
追魂莲花落	zhui hun lian hua lao
子族	zi zu
宗宫	zong gong
做宗	zuo zong
做宗宗主	zuo zong zong zhu
