阿婆	a po
暗影刺客	an ying ci ke
暗影刺客柒	an ying ci ke qi
保镖	bao biao
悲情魔音	bei qing mo yin
陈大伯	chen da bo
赤牙	chi ya
刺客	ci ke
刺客联盟	ci ke lian meng
何大春	he da chun
鸡大保	ji da bao
鸡小飞	ji xiao fei
江惠莲	jiang hui lian
九指琴魔	jiu zhi qin mo
可乐	ke le
梅花镖	mei hua biao
梅花十三	mei hua shi san
梅花十一	mei hua shi yi
喵财	miao cai
喵小咪	miao xiao mi
魔刀千刃	mo dao qian ren
青凤	qing feng
山鸡王	shan ji wang
首领	shou ling
双刀	shuang dao
斯坦国	si tan guo
斯坦国王子	si tan guo wang zi
斯特国	si te guo
斯特国王子	si te guo wang zi
天莲派	tian lian pai
汪疯	wang feng
伍六七	wu liu qi
以气御剪	yi qi yu jian
