阿达西诺	a da xi nuo
阿卡西亚	a ka xi ya
阿虏	a lu
阿鲁法罗	a lu fa luo
艾尔格	ai er ge
爱丸	ai wan
暗技	an ji
巴利卡蒙	ba li ka meng
巴隆群岛	ba long qun dao
白金苹果	bai jin ping guo
班比纳	ban bi na
班比诺	ban bi nuo
爆米花	bao mi hua
贝伊	bei yi
壁企鹅	bi qi e
捕获等级	bu huo deng ji
捕获技术	bu huo ji shu
布基巫兹	bu ji wu zi
彩虹果实	cai hong guo shi
臭氧草	chou yang cao
次郎	ci lang
岛袋光年	dao dai guang nian
迪罗乌斯	di luo wu si
帝王乌鸦	di wang wu ya
地狱波罗斯	di yu bo luo si
洞窟沙滩	dong ku sha tan
斗狼	dou lang
多勒斯	duo le si
多罗金刚	duo luo jin gang
多米洛特	duo mi luo te
多米尼特	duo mi ni te
恶魔大蛇	e mo da she
二狼	er lang
肥沃之种	fei wo zhi zhong
弗洛泽	fu luo ze
古林巴奇	gu lin ba qi
蛊林巴奇	gu lin ba qi
古鲁	gu lu
光才老	guang cai lao
海鲜果实	hai xian guo shi
赫拉克勒斯	he la ke le si
和平花	he ping hua
河豚鲸	he tun jing
红色尼特罗	hong se ni te luo
火山龟	huo shan gui
极乐米	ji le mi
吉内斯	ji nei si
机器人	ji qi ren
寄生帝王	ji sheng di wang
基斯	ji si
加拉鳄	jia la e
僵尸树	jiang shi shu
角质层草莓	jiao zhi ceng cao mei
杰利男孩	jie li nan hai
节乃	jie nai
金之主厨	jin zhi zhu chu
酒椰果	jiu ye guo
凯德拉	kai de la
可可	ke ke
空气水	kong qi shui
库克	ku ke
库洛玛德	ku luo ma de
莱布贝亚拉	lai bu bei ya la
蓝色尼特罗	lan se ni te luo
利加鲁猛犸	li jia lu meng ma
泷丸	long wan
馒具龙舞	man ju long wu
曼萨姆	man sa mu
茂松	mao song
梅尔克	mei er ke
梅莉斯曼	mei li si man
美食恶魔	mei shi e mo
美食法金	mei shi fa jin
美食会	mei shi hui
美食界	mei shi jie
美食界八王	mei shi jie ba wang
美食猎人	mei shi lie ren
美食四天王	mei shi si tian wang
美食细胞	mei shi xi bao
美食再生者	mei shi zai sheng zhe
美食中央批发市场	mei shi zhong yang pi fa shi chang
莫扬羞羞	mo yang xiu xiu
沐恩	mu en
母王蛇	mu wang she
奈斯尼	nai si ni
奶油松茸	nai you song rong
尼特罗	ni te luo
黏合韭菜	nian he jiu cai
柠檬桃鲜榨汁	ning meng tao xian zha zhi
糯米团子星	nuo mi tuan zi xing
女人梅田	nv ren mei tian
女王	nv wang
千流	qian liu
乔娘	qiao niang
乔亚	qiao ya
人生菜单	ren sheng cai dan
萨尼	sa ni
塞多鲁	sai duo lu
三虎	san hu
沙拉曼达斯芬克斯	sha la man da si fen ke si
食技	shi ji
世纪浓汤	shi ji nong tang
十梦	shi meng
霜降豆腐	shuang jiang dou fu
水晶可乐	shui jing ke le
四兽	si shou
斯塔金	si ta jin
斯塔久	si ta jiu
苏生刀法	su sheng dao fa
泰利克洛斯	tai li ke luo si
桃芋	tao yu
特瑞科	te rui ke
天狗布兰奇	tian gou bu lan qi
甜姜盒	tian jiang he
天空鹿	tian kong lu
铁平	tie ping
铜之主厨	tong zhi zhu chu
王城章鱼	wang cheng zhang yu
仙人掌医生	xian ren zhang yi sheng
小松	xiao song
休眠萃取	xiu mian cui qu
戌之丛林	xu zhi cong lin
牙王	ya wang
腰肉香菇	yao rou xiang gu
一龙	yi long
医生芦荟	yi sheng lu hui
银白哈迪斯	yin bai ha di si
银之主厨	yin zhi zhu chu
营林之种	ying lin zhi zhong
尤达	you da
宇宙大攀蛇	yu zhou da pan she
与作	yu zuo
早安玫瑰	zao an mei gui
泽布拉	ze bu la
泽乌斯	ze wu si
珍镇镇	zhen zhen zhen
枝魔目	zhi mo mu
栉乃	zhi nai
宗迦	zong jia
