爱丽	ai li
爱离开	ai li kai
包子	bao zi
奔跑	ben pao
彼得潘	bi de pan
边伯贤	bian bo xian
啵啵虎	bo bo hu
灿白	can bai
灿鹿	can lu
灿勋	can xun
初雪	chu xue
村长	cun zhang
大白牙	da bai ya
都暻秀	dou jing xiu
独角兽	du jiao shou
饿了龙	e le long
繁星	fan xing
富川一枝花	fu chuan yi zhi hua
蝴蝶少女	hu die shao nv
魂蛋	hun dan
金俊勉	jin jun mian
金珉锡	jin min xi
金钟大	jin zhong da
金钟仁	jin zhong ren
开白	kai bai
开度	kai du
开路	kai lu
开勋	kai xun
叩叩趴	kou kou pa
狼与美女	lang yu mei nv
雷电	lei dian
鹿白	lu bai
鹿包	lu bao
鹿勋	lu xun
洛基王	luo ji wang
萌死他	meng si ta
梦中梦	meng zhong meng
你的世界	ni de shi jie
牛白	niu bai
牛灿	niu can
牛鹿	niu lu
牛绵	niu mian
牛肉	niu rou
牛色	niu se
牛桃	niu tao
朴灿烈	pu can lie
朴泰迪	pu tai di
圣诞节	sheng dan jie
双月之夜	shuang yue zhi ye
桃色	tao se
吴世勋	wu shi xun
小狐狸	xiao hu li
小老地	xiao lao di
小绵羊	xiao mian yang
兴鹿	xing lu
勋白	xun bai
勋鹿	xun lu
驯鹿	xun lu
月的奇迹	yue de qi ji
月光	yue guang
张艺兴	zhang yi xing
中毒	zhong du
