白马城	bai ma cheng
白小蛟	bai xiao jiao
悲情剑	bei qing jian
沧浪	cang lang
穿空破灵	chuan kong po ling
狄泰安	di tai an
地隐	di yin
地字诀	di zi jue
杜有生	du you sheng
飞虹	fei hong
疯刀小纪	feng dao xiao ji
风之爆	feng zhi bao
观音手	guan yin shou
寒江一叶亭	han jiang yi ye ting
寒瑶	han yao
宏天助	hong tian zhu
怀慈庵	huai ci an
黄菊	huang ju
劫天宝	jie tian bao
劫天官	jie tian guan
金九环	jin jiu huan
九霞园	jiu xia yuan
九战蛟	jiu zhan jiao
焜黄教	kun huang jiao
蓝蝎	lan xie
乐天匠	le tian jiang
灵波佛指	ling bo fo zhi
六罪恶	liu zui e
龙涎宫	long xian gong
迷宫鬼殿	mi gong gui dian
判死剑招	pan si jian zhao
判死剑招人字诀	pan si jian zhao ren zi jue
平阳剑法	ping yang jian fa
山海一家	shan hai yi jia
珊瑚剑	shan hu jian
石之暴	shi zhi bao
锁音珠	suo yin zhu
天藏	tian cang
天寿皇	tian shou huang
萧柏郎	xiao bai lang
修罗掌	xiu luo zhang
旋风七绝掌	xuan feng qi jue zhang
阴风束心掌	yin feng shu xin zhang
鹰堡	ying bao
雨峰三侠	yu feng san xia
玉龙椅	yu long yi
指剑三杀招	zhi jian san sha zhao
紫兰	zi lan
