岸本实理	an ben shi li
安田靖春	an tian jing chun
安西教练	an xi jiao lian
板仓大二郎	ban cang da er lang
彩子	cai zi
长谷川一志	chang gu chuan yi zhi
潮崎哲士	chao qi zhe shi
赤木刚宪	chi mu gang xian
赤木晴子	chi mu qing zi
池上	chi shang
村雨	cun yu
大楠雄二	da nan xiong er
福田吉兆	fu tian ji zhao
高宫望	gao gong wang
高砂一马	gao sha yi ma
高野昭一	gao ye zhao yi
宫城良田	gong cheng liang tian
河田美纪男	he tian mei ji nan
河田雅史	he tian ya shi
花形透	hua xing tou
角田悟	jiao tian wu
崛田德男	jue tian de nan
流川枫	liu chuan feng
木暮公延	mu mu gong yan
牧绅一	mu shen yi
南烈	nan lie
内藤铁也	nei teng tie ye
清田信长	qing tian xin chang
三井寿	san jing shou
三浦台高中	san pu tai gao zhong
桑田登纪	sang tian deng ji
森重宽	sen zhong kuan
深津一成	shen jin yi cheng
神宗一郎	shen zong yi lang
石井健太郎	shi jing jian tai lang
矢鸟京平	shi niao jing ping
矢崤京平	shi xiao jing ping
水户洋平	shui hu yang ping
松本稔	song ben ren
藤真健司	teng zhen jian si
田冈茂一	tian gang mao yi
土屋淳	tu wu chun
武藤正	wu teng zheng
仙道彰	xian dao zhang
相田彦一	xiang tian yan yi
岩田三秋	yan tian san qiu
野边将广	ye bian jiang guang
野间忠一郎	ye jian zhong yi lang
一之仓聪	yi zhi cang cong
樱木花道	ying mu hua dao
永野满	yong ye man
鱼住纯	yu zhu chun
御子柴	yu zi chai
越野宏明	yue ye hong ming
泽北荣志	ze bei rong zhi
泽北荣治	ze bei rong zhi
植草智之	zhi cao zhi zhi
诸星大	zhu xing da
佐佐冈智	zuo zuo gang zhi
