安重载	an chong zai
安晟鎮	an sheng zhen
安晟镇	an sheng zhen
安重載	an zhong zai
蔡甫熏	cai fu xun
洪振豪	hong zhen hao
黃珉渽	huang min zai
黄珉渽	huang min zai
黃勝珉	huang sheng min
黄胜珉	huang sheng min
姜京润	jiang jing run
姜京潤	jiang jing run
金东范	jin dong fan
金東範	jin dong fan
金亨宇	jin heng yu
金奎穆	jin kui mu
金永所	jin yong suo
金佑卓	jin you zhuo
金知範	jin zhi fan
金知范	jin zhi fan
李时荣	li shi rong
李時榮	li shi rong
李政勋	li zheng xun
李政勳	li zheng xun
李炷奕	li zhu yi
林亨頻	lin heng pin
林亨频	lin heng pin
朴知焕	pu zhi huan
朴知煥	pu zhi huan
申光一	shen guang yi
申鉉彬	shen xuan bin
申铉彬	shen xuan bin
夏賢尚	xia xian shang
夏贤尚	xia xian shang
辛礼赞	xin li zan
辛禮讚	xin li zan
赵元祥	zhao yuan xiang
趙元祥	zhao yuan xiang
赵奘宽	zhao zang kuan
趙奘寬	zhao zang kuan
郑光现	zheng guang xian
鄭光現	zheng guang xian
