阿扶	a fu
爱奇艺	ai qi yi
暗线	an xian
暗子	an zi
白昼	bai zhou
川峰诀	chuan feng jue
春秋	chun qiu
大师兄	da shi xiong
戴祖雄	dai zu xiong
二师兄	er shi xiong
范奕泽	fan yi ze
风愿少女	feng yuan shao nv
顾亦封	gu yi feng
花魁	hua kui
季川	ji chuan
江湖少年游	jiang hu shao nian you
教主	jiao zhu
刘剑羽	liu jian yu
骆明劼	luo ming jie
盟主	meng zhu
三师兄	san shi xiong
侍女	shi nv
四师兄	si shi xiong
宋继扬	song ji yang
苏晓彤	su xiao tong
天外	tian wai
王倩	wang qian
妄想烟花火	wang xiang yan hua huo
魏旗	wei qi
温彬	wen bin
温长老	wen zhang lao
小林	xiao lin
小师弟	xiao shi di
小小师弟	xiao xiao shi di
谢兴阳	xie xing yang
闫大夫	yan dai fu
义兄	yi xiong
殷不惑	yin bu huo
月卿卿	yue qing qing
赵大侠	zhao da xia
赵青峰	zhao qing feng
周彦辰	zhou yan chen
