安阖	an he
安阖日	an he ri
傲滥	ao lan
傲霜	ao shuang
白备	bai bei
白圭宫	bai gui gong
百稼	bai jia
白绵之盾	bai mian zhi dun
白阳	bai yang
白银之墟	bai yin zhi xu
白雉	bai zhi
班渠	ban qu
半嗣	ban si
保翠院	bao cui yuan
碧双珠	bi shuang zhu
碧霞玄君	bi xia xuan jun
标仲	biao zhong
宾满	bin man
才国	cai guo
蔡晶	cai jing
采麟	cai lin
采王	cai wang
才州国	cai zhou guo
苍猿	cang yuan
常世	chang shi
长闲宫	chang xian gong
长右	chang you
朝士	chao shi
乘上鹏翼	cheng shang peng yi
赤虎	chi hu
赤索条	chi suo tiao
崇高山	chong gao shan
崇岭	chong ling
杵隗	chu wei
春官	chun guan
春官长	chun guan zhang
翠篁宫	cui huang gong
翠微君	cui wei jun
错王	cuo wang
大卜	da bu
达姐	da jie
大木铃	da mu ling
大仆	da pu
大射	da she
大师	da shi
大司空	da si kong
大司寇	da si kou
大司马	da si ma
大司徒	da si tu
大行人	da xing ren
大宗伯	da zong bo
戴国	dai guo
戴极国	dai ji guo
代王	dai wang
地纲	di gang
地官	di guan
地官次官	di guan ci guan
地官长	di guan zhang
觌面	di mian
觌面之罪	di mian zhi zui
砥尚	di shang
地仙	di xian
典刑	dian xing
东方丽韵	dong fang li yun
冬官	dong guan
冬官长	dong guan zhang
冬器	dong qi
东之海神	dong zhi hai shen
杜真	du zhen
峨城	e cheng
二声	er sheng
二声氏	er sheng shi
范国	fan guo
氾麟	fan lin
泛麟	fan lin
仮王	fan wang
泛王	fan wang
范西国	fan xi guo
芳国	fang guo
芳极国	fang ji guo
飞鼠	fei shu
飞仙	fei xian
芬华宫	fen hua gong
风汉	feng han
凤凰	feng huang
风骏	feng jun
峰麟	feng lin
峯王	feng wang
峰王	feng wang
风之海	feng zhi hai
风之万里	feng zhi wan li
浮民	fu min
刚氏	gang shi
高岫	gao xiu
高岫山	gao xiu shan
割旌	ge jing
阁人	ge ren
给田	gei tian
根健	gen jian
更夜	geng ye
恭国	gong guo
供麒	gong qi
宫卿	gong qing
供王	gong wang
恭州国	gong zhou guo
勾玉	gou yu
蛊雕	gu diao
蛊蜕衫	gu tui shan
故心郷	gu xin xiang
孤月苍夜	gu yue cang ye
关弓	guan gong
桂桂	gui gui
国氏	guo shi
海客	hai ke
蒿里	hao li
褐狙	he ju
合窳	he yu
黑备	hei bei
恒山	heng shan
鸿慈	hong ci
鸿基	hong ji
鸿溶镜	hong rong jing
虎贲式	hu ben shi
虎啸	hu xiao
华山	hua shan
华胥华朵	hua xu hua duo
华胥花朵	hua xu hua duo
华胥之幽梦	hua xu zhi you meng
花影	hua ying
怀达	huai da
桓魋	huan tui
黄备	huang bei
黄姑	huang gu
黄昏之岸	huang hun zhi an
黄朱	huang zhu
黄朱之民	huang zhu zhi min
阍人	hun ren
霍山	huo shan
吉量	ji liang
鸡人	ji ren
技师	ji shi
假朝	jia chao
架戟	jia ji
家生	jia sheng
假王	jia wang
健仲鞑	jian zhong da
匠师	jiang shi
将作	jiang zuo
骄王	jiao wang
芥瑚	jie hu
界身	jie shen
截忤	jie wu
节州	jie zhou
金波宫	jin bo gong
金刚山	jin gang shan
禁军	jin jun
荆柏	jing bai
靖共	jing gong
景麒	jing qi
景台辅	jing tai fu
景王	jing wang
靖州	jing zhou
沮墨	ju mo
凯之	kai zhi
乐俊	le jun
涙华	lei hua
利广	li guang
俐角	li jiao
悧角	li jiao
骊媚	li mei
黎明之空	li ming zhi kong
里木	li mu
梨雪	li xue
里宰	li zai
李斋	li zhai
涟国	lian guo
涟极国	lian ji guo
廉麟	lian lin
连樯	lian qiang
莲山远景	lian shan yuan jing
廉王	lian wang
猎木师	lie mu shi
猎尸师	lie shi shi
烈王	lie wang
灵雕	ling diao
令尹	ling yin
凌云山	ling yun shan
柳北国	liu bei guo
六官	liu guan
柳国	liu guo
刘麒	liu qi
六太	liu tai
刘王	liu wang
隆洽	long qia
路木	lu mu
鹿蜀	lu shu
栌先新	lu xian xin
卵果	luan guo
罗人	luo ren
罗氏	luo shi
落照之狱	luo zhao zhi yu
闾胥	lv xu
马腹	ma fu
满瓮石	man weng shi
孟极	meng ji
迷宫之岸	mi gong zhi an
鸣蚀	ming shi
鸣贤	ming xian
牧伯	mu bo
木人	mu ren
内史	nei shi
内小臣	nei xiao chen
内宰	nei zai
女怪	nv guai
女史	nv shi
女御	nv yu
鹏雏	peng chu
蓬山	peng shan
蓬山公	peng shan gong
丕绪	pi xu
丕绪之鸟	pi xu zhi niao
飘风之王	piao feng zhi wang
骠骑	piao qi
蒲苏	pu su
麒麟	qi lin
巧国	qiao guo
巧州国	qiao zhou guo
钦原	qin yuan
青备	qing bei
青淀宫	qing dian gong
庆东国	qing dong guo
庆国	qing guo
清汉宫	qing han gong
清辛	qing xin
穷奇	qiong qi
秋官	qiu guan
秋官次官	qiu guan ci guan
塙和	que he
雀胡	que hu
塙麟	que lin
仁兽	ren shou
蓉可	rong ke
冗佑	rong you
荣祝	rong zhu
瑞云	rui yun
瑞州	rui zhou
三刺	san ci
三公	san gong
三孤	san gu
三赦	san she
三宥	san you
三骓	san zhui
山客	shan ke
汕子	shan zi
尚隆	shang long
少塾	shao shu
射礼	she li
射鸟氏	she niao shi
射人	she ren
舍身木	she shen mu
射士	she shi
射仪	she yi
什钴	shen gu
神籍	shen ji
慎思	shen si
生国	sheng guo
升纮	sheng hong
升山	sheng shan
失道之症	shi dao zhi zheng
使令	shi ling
