艾克赛德	ai ke sai de
奥丁	ao ding
宝生永梦	bao sheng yong meng
泊进之介	bo jin zhi jie
操真晴人	cao zhen qing ren
常磐庄吾	chang pan zhuang wu
城户真司	cheng hu zhen si
驰骑	chi qi
崇皇时王	chong huang shi wang
传奇骑士	chuan qi qi shi
创骑	chuang qi
帝骑	di qi
电王	dian wang
鳄霸	e ba
菲利普	fei li pu
逢魔时王	feng mo shi wang
盖茨	gai ci
葛叶纨汰	ge ye wan tai
红渡	hong du
火野映司	huo ye ying si
机械	ji xie
甲斗王	jia dou wang
驾驭表头	jia yu biao tou
剑崎一真	jian qi yi zhen
津上翔一	jin shang xiang yi
旧高仁志	jiu gao ren zhi
狙击	ju ji
卡利斯	ka li si
凯撒	kai sa
铠武	kai wu
克罗兹	ke luo zi
空我	kong wo
灵骑	ling qi
零一	ling yi
龙骑	long qi
龙玄	long xuan
门矢士	men shi shi
门矢小夜	men shi xiao ye
魔蝠剑	mo fu jian
欧兹	ou zi
骑士表头	qi shi biao tou
千骑	qian qi
乾巧	qian qiao
忍者	ren zhe
如月弦太朗	ru yue xian tai lang
圣刃	sheng ren
时间粉碎	shi jian fen sui
时间极限剑	shi jian ji xian jian
时间严斧	shi jian yan fu
时王	shi wang
兽骑	shou qi
双骑	shuang qi
天道总司	tian dao zong si
天空寺尊	tian kong si zun
铁兵	tie bing
瓦尔基里	wa er ji li
王权盖茨	wang quan gai ci
王蛇	wang she
王之时刻	wang zhi shi ke
问骑	wen qi
沃兹	wo zi
五代雄介	wu dai xiong jie
巫骑	wu qi
五五五	wu wu wu
卌骑	xi qi
响鬼	xiang gui
讯亡灭雷	xun wang mie lei
亚极陀	ya ji tuo
亚克	ya ke
夜骑	ye qi
野上良太郎	ye shang liang tai lang
异类表头	yi lei biao tou
异类骑士	yi lei qi shi
银河	yin he
勇骑	yong qi
月读	yue du
月骑	yue qi
战骑	zhan qi
斩月	zhan yue
左翔太郎	zuo xiang tai lang
