阿纳金	a na jin
暗剑	an jian
安纳金	an na jin
暗夜姐妹团	an ye jie mei tuan
暗夜兄弟团	an ye xiong di tuan
奥德朗星	ao de lang xing
奥森克伦尼克	ao sen ke lun ni ke
白兵	bai bing
爆能枪	bao neng qiang
贝兹马彪斯	bei zi ma biao si
本索罗	ben suo luo
波巴费特	bo ba fei te
波达梅龙	bo da mei long
超空间	chao kong jian
楚巴卡	chu ba ka
达戈巴	da ge ba
达斯摩尔	da si mo er
达斯普雷格斯	da si pu lei ge si
达斯瑞文	da si rui wen
达斯泰拉纳斯	da si tai la na si
达斯维达	da si wei da
达斯西迪厄斯	da si xi di e si
达索米尔	da suo mi er
黛茜雷德利	dai xi lei de li
帝国反击战	di guo fan ji zhan
帝国判官	di guo pan guan
抵抗组织	di kang zu zhi
第一绝地神殿	di yi jue di shen dian
第一秩序	di yi zhi xu
丁贾仑	ding jia lun
杜库伯爵	du ku bo jue
断手剑	duan shou jian
恩多战役	en duo zhan yi
二姐	er jie
法斯玛队长	fa si ma dui zhang
费卢西亚	fei lu xi ya
风暴兵	feng bao bing
盖伦厄索	gai lun e suo
冈根人	gang gen ren
格里弗斯将军	ge li fu si jiang jun
光剑	guang jian
光明面	guang ming mian
汉索罗	han suo luo
赫克斯将军	he ke si jiang jun
黑暗面	hei an mian
霍斯	huo si
吉奥诺西斯	ji ao nuo xi si
基特费斯托	ji te fei si tuo
贾巴	jia ba
加加宾克斯	jia jia bin ke si
贾库	jia ku
贾库战役	jia ku zhan yi
贾瓦人	jia wa ren
旧共	jiu gong
九妹	jiu mei
绝地大师	jue di da shi
绝地光剑	jue di guang jian
绝地归来	jue di gui lai
绝地委员会	jue di wei yuan hui
绝地武士	jue di wu shi
绝地长老会	jue di zhang lao hui
爵爷	jue ye
卡尔凯斯提斯	ka er kai si ti si
卡米诺	ka mi nuo
卡希克	ka xi ke
凯伯水晶	kai bo shui jing
凯洛伦	kai luo lun
科雷利亚	ke lei li ya
克隆人	ke long ren
克隆人进攻	ke long ren jin gong
科洛桑	ke luo sang
克诺比	ke nuo bi
科舍尔	ke she er
科塔将军	ke ta jiang jun
寇迪指挥官	kou di zhi hui guan
奎刚金	kui gang jin
莱娅	lai ya
莱娅奥加纳	lai ya ao jia na
莱娅公主	lai ya gong zhu
兰多将军	lan duo jiang jun
兰多卡瑞辛	lan duo ka rui xin
蕾伊	lei yi
卢克	lu ke
卢走天	lu zou tian
伦武士	lun wu shi
曼达洛人	man da luo ren
贸易联盟	mao yi lian meng
贸易联盟战舰	mao yi lian meng zhan jian
梅琳	mei lin
梅斯温杜	mei si wen du
魅影危机	mei ying wei ji
穆斯塔法	mu si ta fa
纳布星	na bu xing
欧比旺	ou bi wang
欧比旺克诺比	ou bi wang ke nuo bi
帕德梅	pa de mei
帕德美	pa de mei
帕德梅阿米达拉	pa de mei a mi da la
帕尔帕廷皇帝	pa er pa ting huang di
帕尔帕廷蕾伊女皇	pa er pa ting lei yi nv huang
奇鲁英威	qi lu ying wei
千年隼	qian nian sun
琴厄索	qin e suo
邱森万	qiu sen wan
丘伊	qiu yi
沙人	sha ren
赏金猎人	shang jin lie ren
施密天行者	shi mi tian xing zhe
弑星者基地	shi xing zhe ji di
十字光剑	shi zi guang jian
斯诺克	si nuo ke
死星	si xing
索格雷拉	suo ge lei la
塔金	ta jin
塔科达纳	ta ke da na
塔斯肯袭击者	ta si ken xi ji zhe
塔图因	ta tu yin
钛战机	tai zhan ji
天行者	tian xing zhe
天行者崛起	tian xing zhe jue qi
天行者蕾伊	tian xing zhe lei yi
天行者卢克	tian xing zhe lu ke
天佑义军	tian you yi jun
我占领了高地	wo zhan ling le gao di
西斯	xi si
西斯大帝	xi si da di
西斯的复仇	xi si de fu chou
西斯光剑	xi si guang jian
西斯武士	xi si wu shi
侠盗一号	xia dao yi hao
新共	xin gong
新希望	xin xi wang
星球大战	xing qiu da zhan
星球大战绝地陨落的武士团	xing qiu da zhan jue di yun luo de wu shi tuan
星球大战外传侠盗一号	xing qiu da zhan wai zhuan xia dao yi hao
星战	xing zhan
星战前线	xing zhan qian xian
亚当德利弗	ya dang de li fu
义军	yi jun
义军崛起	yi jun jue qi
伊冷星	yi leng xing
伊利尼姆星系	yi li ni mu xing xi
伊沃克	yi wo ke
银河第一帝国	yin he di yi di guo
银河共和国	yin he gong he guo
尤达	you da
尤达宝宝	you da bao bao
尤达大师	you da da shi
幽灵的威胁	you ling de wei xie
尤塔帕	you ta pa
游侠索罗	you xia suo luo
原力	yuan li
原力觉醒	yuan li jue xing
原力释放	yuan li shi fang
愿原力与你同在	yuan yuan li yu ni tong zai
陨落的武士团	yun luo de wu shi tuan
泽佛	ze fo
詹戈费特	zhan ge fei te
最后的绝地武士	zui hou de jue di wu shi
