艾斯	ai si
白胡子	bai hu zi
白胡子海贼团二番队队长	bai hu zi hai zei tuan er fan dui dui zhang
白胡子海贼团一番队队长	bai hu zi hai zei tuan yi fan dui dui zhang
布鲁克	bu lu ke
不死鸟	bu si niao
草帽小子	cao mao xiao zi
恶魔之子	e mo zhi zi
弗兰奇	fu lan qi
革命家	ge ming jia
革命军二把手	ge ming jun er ba shou
革命军首领	ge ming jun shou ling
革命军总参谋长	ge ming jun zong can mou zhang
海侠	hai xia
海贼猎人	hai zei lie ren
海贼女帝	hai zei nv di
汉库克	han ku ke
黑足	hei zu
红发	hong fa
火拳	huo quan
狙击王	ju ji wang
灵魂之王	ling hun zhi wang
路飞	lu fei
罗宾	luo bin
马尔科	ma er ke
米霍克	mi huo ke
娜美	na mei
纽盖特	niu gai te
乔巴	qiao ba
萨博	sa bo
山治	shan zhi
甚平	shen ping
世界第一剑豪	shi jie di yi jian hao
世界第一美女	shi jie di yi mei nv
索隆	suo long
乌索普	wu suo pu
香克斯	xiang ke si
小贼猫	xiao zei mao
鹰眼	ying yan
