阿兰山	a lan shan
阿傻	a sha
阿妍	a yan
八表游龙剑	ba biao you long jian
白岛	bai dao
百花镜卢	bai hua jing lu
败剑	bai jian
白马王朝	bai ma wang chao
白日流影城	bai ri liu ying cheng
北关道	bei guan dao
背阴山	bei yin shan
碧蟾王朝	bi chan wang chao
薜荔鬼手	bi li gui shou
病三槐	bing san huai
冰无叶	bing wu ye
补剑斋	bu jian zhai
不堪闻剑	bu kan wen jian
残拳	can quan
残拳败剑	can quan bai jian
苍岛	cang dao
藏锋	cang feng
苍海儒宗	cang hai ru zong
策影	ce ying
长生园	chang sheng yuan
沉剑世家	chen jian shi jia
沉沙谷	chen sha gu
成灾之剑	cheng zai zhi jian
赤练堂	chi lian tang
赤鲨帮	chi sha bang
赤血神针	chi xue shen zhen
赤眼	chi yan
畜生道	chu sheng dao
禇星烈	chu xing lie
褚星烈	chu xing lie
崔滟月	cui yan yue
大日莲宗	da ri lian zong
丹青一笔	dan qing yi bi
地狱道	di yu dao
点玉庄	dian yu zhuang
鼎天剑脉	ding tian jian mai
鼎天剑主	ding tian jian zhu
东皋岭	dong gao ling
东海道	dong hai dao
东境三宗	dong jing san zong
洞灵仙府	dong ling xian fu
独孤戈	du gu ge
独孤寂	du gu ji
独孤容	du gu rong
独孤英	du gu ying
独孤执明	du gu zhi ming
独无年	du wu nian
断肠湖	duan chang hu
夺舍大法	duo she da fa
饿鬼道	e gui dao
范飞强	fan fei qiang
飞瑶岛	fei yao dao
飞雨峰	fei yu feng
分光化影	fen guang hua ying
奉刀怀邑	feng dao huai yi
逢宫之府	feng gong zhi fu
风篁	feng huang
风云峡	feng yun xia
凤翥	feng zhu
符赤锦	fu chi jin
覆笥山	fu si shan
擀面杖	gan mian zhang
高柳蟬	gao liu chan
耿老铁	geng lao tie
耿萦	geng ying
耿照	geng zhao
孤苗观	gu miao guan
顾雄飞	gu xiong fei
姑射	gu ye
观海天门	guan hai tian men
韩阀	han fa
韩破凡	han po fan
韩嵩	han song
寒潭雁迹	han tan yan ji
韩雪色	han xue se
何负嵎	he fu yu
黑岛	hei dao
横疏影	heng shu ying
红岛	hong dao
虎剑鹰刀	hu jian ying dao
呼老泉	hu lao quan
虎王祠	hu wang ci
胡彦之	hu yan zhi
狐异门	hu yi men
环跳山	huan tiao shan
黄岛	huang dao
黄缨	huang ying
火神岛	huo shen dao
集恶道	ji e dao
集恶三道	ji e san dao
祭血魔君	ji xue mo jun
忌扬	ji yang
解灵芒	jie ling mang
芥芦草堂	jie lu cao tang
解玉娘	jie yu niang
介族	jie zu
金貔王朝	jin pi wang chao
金神岛	jin shen dao
靖波府	jing bo fu
静海无风林	jing hai wu feng lin
惊震谷	jing zhen gu
开国三杰	kai guo san jie
克破之剑	ke po zhi jian
珂雪	ke xue
空林夜鬼	kong lin ye gui
离垢	li gou
李寒阳	li han yang
莲觉寺	lian jue si
鳞族	lin zu
陵女	ling nv
灵蛇古剑	ling she gu jian
灵音公主	ling yin gong zhu
凌云三才	ling yun san cai
龙方飓色	long fang ju se
龙庭山	long ting shan
六合名剑	lu he ming jian
渌水琴魔	lu shui qin mo
鹿希色	lu xi se
马蚕娘	ma can niang
埋皇剑冢	mai huang jian zhong
毛族	mao zu
媚儿	mei er
铭碑破帖	ming bei po tie
明栈雪	ming zhan xue
莫殊色	mo shu se
魔宗七玄	mo zong qi xuan
慕怀春	mu huai chun
木鸡叔叔	mu ji shu shu
木神岛	mu shen dao
沐云色	mu yun se
南宫损	nan gong sun
南陵道	nan ling dao
聂雨色	nie yu se
凝功锁脉	ning gong suo mai
平无碧	ping wu bi
破魂甲	po hun jia
蒲轮瞽宗	pu lun gu zong
麒麟儿	qi lin er
七杀之剑	qi sha zhi jian
七叔	qi shu
七水尘	qi shui chen
栖亡谷	qi wang gu
七玄	qi xuan
千年不朽常伏地	qian nian bu xiu chang fu di
青帝观	qing di guan
青峰照	qing feng zhao
擎空坪	qing kong ping
青狼诀	qing lang jue
青鸟伏形大法	qing niao fu xing da fa
秋拭水	qiu shi shui
秋霜色	qiu shuang se
秋水亭	qiu shui ting
屈咸亨	qu xian heng
染苍群	ran cang qun
染红霞	ran hong xia
任逐流	ren zhu liu
任逐桑	ren zhu sang
日莲八叶院	ri lian ba ye yuan
三才五峰	san cai wu feng
三奇谷	san qi gu
桑木阴	sang mu yin
伤病之剑	shang bing zhi jian
邵兰生	shao lan sheng
邵芊芊	shao qian qian
邵咸尊	shao xian zun
蛇腹断	she fu duan
神武校场	shen wu xiao chang
深溪虎	shen xi hu
神族	shen zu
盛五阴	sheng wu yin
十方授印	shi fang shou yin
始鸠海	shi jiu hai
尸毗山庄	shi pi shan zhuang
束命七杀伤为病	shu ming qi sha shang wei bing
束命之剑	shu ming zhi jian
水神岛	shui shen dao
水月停轩	shui yue ting xuan
四大剑门	si da jian men
四极明府	si ji ming fu
四灵之首	si ling zhi shou
薮源魔宗	sou yuan mo zong
岁运相并俱成灾	sui yun xiang bing ju cheng zai
岁运之剑	sui yun zhi jian
澹台公明	tan tai gong ming
陶元峥	tao yuan zheng
天佛图字	tian fo tu zi
天机暗覆	tian ji an fu
天镜原	tian jing yuan
天裂	tian lie
天罗香	tian luo xiang
天阙铜羽	tian que tong yu
天元道宗	tian yuan dao zong
天仗风雷掌	tian zhang feng lei zhang
天子绝龙在玉台	tian zi jue long zai yu tai
通天剑指	tong tian jian zhi
土神岛	tu shen dao
拓拔十翼	tuo ba shi yi
万劫	wan jie
魏无音	wei wu yin
文舞钧天	wen wu jun tian
乌城山	wu cheng shan
无从来剑	wu cong lai jian
武登庸	wu deng yong
五帝窟	wu di ku
五极天峰	wu ji tian feng
五绝庄	wu jue zhuang
巫峽猿	wu xia yuan
西山道	xi shan dao
下鴻鵠	xia hong hu
夏阳渊	xia yang yuan
弦子	xian zi
萧谏纸	xiao jian zhi
萧老台丞	xiao lao tai cheng
啸扬堡	xiao yang bao
刑冲克破无从来	xing chong ke po wu cong lai
刑冲之剑	xing chong zhi jian
星罗海	xing luo hai
行云堡	xing yun bao
玄鳞	xuan lin
玄犀轻羽阁	xuan xi qing yu ge
血甲门	xue jia men
血牵机	xue qian ji
血云都	xue yun dou
央土	yang tu
央土道	yang tu dao
役鬼令	yi gui ling
翼爪无敌门	yi zhao wu di men
胤镡	yin chan
胤丹书	yin dan shu
殷横野	yin heng ye
胤铿	yin keng
阴宿冥	yin su ming
胤玄	yin xuan
胤野	yin ye
应风色	ying feng se
应无用	ying wu yong
盈幼玉	ying you yu
应烛	ying zhu
幽明峪	you ming yu
幽凝	you ning
游尸门	you shi men
渔阳七堡	yu yang qi bao
渔阳七仙女	yu yang qi xian nv
羽族	yu zu
袁悲田	yuan bei tian
袁健南	yuan jian nan
袁慰生	yuan wei sheng
岳家庄	yue jia zhuang
越浦	yue pu
云都赤侯府	yun dou chi hou fu
云水三合	yun shui san he
折戟台	zhe ji tai
真鹄山	zhen hu shan
指剑奇宫	zhi jian qi gong
植雅章	zhi ya zhang
指纵鹰	zhi zong ying
中行古月	zhong hang gu yue
中兴军	zhong xing jun
朱城山	zhu cheng shan
紫鳞绶	zi lin shou
紫星观	zi xing guan
