阿尔菲	a er fei
爱心	ai xin
爱心暗角	ai xin an jiao
爱心爆炸	ai xin bao zha
爱心变焦	ai xin bian jiao
爱心边框	ai xin bian kuang
爱心缤纷	ai xin bin fen
爱心啵啵	ai xin bo bo
爱心发射	ai xin fa she
爱心方块	ai xin fang kuai
爱心光斑	ai xin guang ban
爱心光波	ai xin guang bo
爱心蝴蝶	ai xin hu die
爱心美瞳	ai xin mei tong
爱心泡泡	ai xin pao pao
爱心气泡	ai xin qi pao
爱心气球	ai xin qi qiu
爱心闪烁	ai xin shan shuo
爱心射线	ai xin she xian
爱心跳动	ai xin tiao dong
爱心投影	ai xin tou ying
爱心眼	ai xin yan
爱心焰火	ai xin yan huo
爱之城	ai zhi cheng
暗黑	an hei
暗黑蝙蝠	an hei bian fu
暗黑剪影	an hei jian ying
暗黑噪点	an hei zao dian
暗角	an jiao
安全治理	an quan zhi li
安西娅	an xi ya
暗匣	an xia
暗曛	an xun
暗雅	an ya
暗夜	an ye
暗夜蝙蝠	an ye bian fu
暗夜彩虹	an ye cai hong
暗夜归来	an ye gui lai
暗夜精灵	an ye jing ling
暗银	an yin
暗影	an ying
安愉	an yu
奥本海默	ao ben hai mo
奥罗拉	ao luo la
芭比	ba bi
巴哥犬	ba ge quan
八戒	ba jie
把值调为	ba zhi tiao wei
百川	bai chuan
白富美	bai fu mei
白胶边框	bai jiao bian kuang
白色爱心	bai se ai xin
白色边框	bai se bian kuang
白色渐显	bai se jian xian
白色描边	bai se miao bian
白色线框	bai se xian kuang
白桃	bai tao
白皙	bai xi
百叶窗	bai ye chuang
白噪点边框	bai zao dian bian kuang
斑斓	ban lan
半衫	ban shan
傍晚	bang wan
保存登录信息	bao cun deng lu xin xi
保存预设	bao cun yu she
保存自己内容	bao cun zi ji nei rong
曝光	bao guang
曝光变焦	bao guang bian jiao
曝光放射	bao guang fang she
曝光降低	bao guang jiang di
饱和度	bao he du
暴亟	bao ji
爆闪锐化	bao shan rui hua
爆炸	bao zha
贝果	bei guo
背景氛围	bei jing fen wei
背景设置	bei jing she zhi
背景拖影	bei jing tuo ying
背景旋转	bei jing xuan zhuan
背器	bei qi
倍数	bei shu
贝松绿	bei song lv
本地草稿	ben di cao gao
蹦迪彩光	beng di cai guang
蹦迪光	beng di guang
必备技巧	bi bei ji qiao
比佛利	bi fo li
闭幕	bi mu
必杀技	bi sha ji
鼻血	bi xue
哔中	bi zhong
变暗	bian an
变彩色	bian cai se
蝙蝠	bian fu
变黑白	bian hei bai
变焦推镜	bian jiao tui jing
边框	bian kuang
变老美颜	bian lao mei yan
变亮	bian liang
变清晰	bian qing xi
变秋天	bian qiu tian
变色狙击	bian se ju ji
变色闪光	bian se shan guang
变身	bian shen
变速	bian su
边缘	bian yuan
边缘发光	bian yuan fa guang
边缘加色	bian yuan jia se
边缘荧光	bian yuan ying guang
表面模糊	biao mian mo hu
表情	biao qing
缤纷	bin fen
秉柏	bing bai
冰茶	bing cha
病娇	bing jiao
冰冷实验室	bing leng shi yan shi
冰瀑	bing pu
冰霜	bing shuang
冰夏	bing xia
冰原	bing yuan
波点分身	bo dian fen shen
波动放大	bo dong fang da
波动滑出	bo dong hua chu
波动吸收	bo dong xi shou
播放界面	bo fang jie mian
播放量	bo fang liang
播放器	bo fang qi
播放设置	bo fang she zhi
播放视频	bo fang shi pin
波浪	bo lang
波浪丝印	bo lang si yin
玻璃破碎	bo li po sui
渤却	bo que
波纹扭曲	bo wen niu qu
波纹色差	bo wen se cha
薄霞	bo xia
补充细则	bu chong xi ze
捕风	bu feng
不规则黑框	bu gui ze hei kuang
布拉格	bu la ge
布兰卡	bu lan ka
布朗	bu lang
捕梦	bu meng
不透明度	bu tou ming du
不透明度值	bu tou ming du zhi
不要抬头	bu yao tai tou
擦拭开幕	ca shi kai mu
彩斑变焦	cai ban bian jiao
彩带	cai dai
菜单	cai dan
彩光	cai guang
彩光频闪	cai guang pin shan
彩虹爱心	cai hong ai xin
彩虹泛光	cai hong fan guang
彩虹光	cai hong guang
彩虹光晕	cai hong guang yun
彩虹幻影	cai hong huan ying
彩虹棱镜	cai hong leng jing
彩虹流体	cai hong liu ti
彩虹气泡	cai hong qi pao
彩虹射线	cai hong she xian
彩虹水滴	cai hong shui di
彩色重影	cai se chong ying
彩色电光	cai se dian guang
彩色负片	cai se fu pian
彩色火焰	cai se huo yan
彩色流光	cai se liu guang
彩色漫画	cai se man hua
彩色闪烁	cai se shan shuo
彩色碎彩	cai se sui cai
彩色碎片	cai se sui pian
彩色拖影	cai se tuo ying
彩色像素	cai se xiang su
彩色珠滴	cai se zhu di
彩信	cai xin
彩噪画质	cai zao hua zhi
彩钻	cai zuan
苍橘	cang ju
侧滑	ce hua
侧移模糊	ce yi mo hu
茶酪	cha lao
茶墨	cha mo
长按	chang an
长按功能	chang an gong neng
常规变速	chang gui bian su
长虹玻璃	chang hong bo li
场景	chang jing
场景音	chang jing yin
唱片	chang pian
唱片封面	chang pian feng mian
常用功能	chang yong gong neng
常用小程序	chang yong xiao cheng xu
超白	chao bai
超大光斑	chao da guang ban
超级喜欢	chao ji xi huan
潮酷	chao ku
潮酷男孩	chao ku nan hai
潮酷女孩	chao ku nv hai
潮流入侵	chao liu ru qin
超强锐化	chao qiang rui hua
车窗	che chuang
车窗影	che chuang ying
尘查	chen cha
沉沦	chen lun
尘杏	chen xing
晨旭	chen xu
尘烟	chen yan
橙蓝	cheng lan
城南	cheng nan
吃喝玩乐	chi he wan le
赤墙	chi qiang
吃区业	chi qu ye
重复变焦	chong fu bian jiao
重复震闪	chong fu zhen shan
冲击波	chong ji bo
冲屏闪粉	chong ping shan fen
重庆大厦	chong qing da sha
冲撞	chong zhuang
抽奖活动	chou jiang huo dong
抽帧	chou zhen
初冷	chu leng
初恋	chu lian
初雪	chu xue
窗格	chuang ge
窗格光	chuang ge guang
创作课堂	chuang zuo ke tang
创作灵感	chuang zuo ling gan
创作者中心	chuang zuo zhe zhong xin
垂类细则	chui lei xi ze
炊烟	chui yan
春风	chun feng
春光	chun guang
春日边框	chun ri bian kuang
春日樱花	chun ri ying hua
磁带	ci dai
璀璨	cui can
打对勾	da dui gou
达芬妮	da fen ni
打击	da ji
大吉岭	da ji ling
大家都在搜	da jia dou zai sou
打开不透明度	da kai bu tou ming du
打脸	da lian
大叔	da shu
大头	da tou
大雪	da xue
大雪纷飞	da xue fen fei
大眼睛	da yan jing
带水印	dai shui yin
黛瓦	dai wa
黛玉	dai yu
淡彩边框	dan cai bian kuang
单彩渐变	dan cai jian bian
淡出时长	dan chu shi chang
丹枫	dan feng
淡奶油	dan nai you
淡入时长	dan ru shi chang
单色填充	dan se tian chong
单色涂鸦	dan se tu ya
单向移动	dan xiang yi dong
郸羊陪业	dan yang pei ye
挡脸	dang lian
荡秋干	dang qiu gan
荡秋千	dang qiu qian
荡漾	dang yang
导出	dao chu
刀光剑影	dao guang jian ying
倒计时	dao ji shi
盗梦空间	dao meng kong jian
导入	dao ru
德古拉	de gu la
登高	deng gao
灯会	deng hui
登录设备管理	deng lu she bei guan li
灯塔	deng ta
低保真	di bao zhen
低画质	di hua zhi
第三方	di san fang
迪斯科	di si ke
低像素	di xiang su
低音增强	di yin zeng qiang
地狱使者	di yu shi zhe
电光爱心	dian guang ai xin
电光包围	dian guang bao wei
电光耳机	dian guang er ji
电光放射	dian guang fang she
电光描边	dian guang miao bian
电光漩涡	dian guang xuan wo
电光眼	dian guang yan
电光灼烧	dian guang zhuo shao
电话	dian hua
电击	dian ji
点亮画中画	dian liang hua zhong hua
电脑桌面	dian nao zhuo mian
电商规则	dian shang gui ze
电视彩虹屏	dian shi cai hong ping
电视关机	dian shi guan ji
电视开机	dian shi kai ji
电视纹理	dian shi wen li
电音	dian yin
颠音	dian yin
电音故障	dian yin gu zhang
电影	dian ying
电影感	dian ying gan
电影感画幅	dian ying gan hua fu
电影刮花	dian ying gua hua
点赞	dian zan
点赞量	dian zan liang
电子蝴蝶	dian zi hu die
电子屏	dian zi ping
电子屏故障	dian zi ping gu zhang
掉小珍珠啦	diao xiao zhen zhu la
叠叠乐	die die le
叠加	die jia
蝶舞	die wu
叠阳	die yang
丁达尔光线	ding da er guang xian
定格闪烁	ding ge shan shuo
