哀嚎	ai hao
暗道	an dao
掰扯	bai che
背后传了瞎话	bei hou chuan le xia hua
逼问	bi wen
辩白	bian bai
不答反问	bu da fan wen
不想继续这个话题	bu xiang ji xu zhe ge hua ti
惨叫	can jiao
沉声	chen sheng
沉吟	chen yin
斥责	chi ze
冲她说	chong ta shuo
出声	chu sheng
传来陌生人的口音	chuan lai mo sheng ren de kou yin
醇厚的声音	chun hou de sheng yin
措辞严谨	cuo ci yan jin
打岔	da cha
搭话	da hua
搭腔	da qiang
打趣	da qu
搭讪	da shan
嘀咕	di gu
低语	di yu
嘟嘟囔囔	du du nang nang
嘟囔	du nang
怼了一句	dui le yi ju
反驳	fan bo
反问	fan wen
愤愤道	fen fen dao
吩咐	fen fu
改口	gai kou
高声责问	gao sheng ze wen
含糊不清地问	han hu bu qing di wen
呵斥	he chi
喝道	he dao
恨恨道	hen hen dao
吼道	hou dao
话都说到这份上了	hua dou shuo dao zhe fen shang le
话锋一转	hua feng yi zhuan
话吞回肚子里	hua tun hui du zi li
话音轻颤	hua yin qing chan
疾呼一声	ji hu yi sheng
尖锐着嗓音	jian rui zhe sang yin
犟上几句	jiang shang ji ju
接话	jie hua
截住要说的话	jie zhu yao shuo de hua
噤了声	jin le sheng
径自说道	jing zi shuo dao
吭声	keng sheng
口吻不似命令	kou wen bu si ming ling
冷声	leng sheng
厉喝	li he
厉声	li sheng
连声	lian sheng
凛声	lin sheng
略带自嘲地说	lue dai zi chao de shuo
命令的口吻	ming ling de kou wen
轻声	qing sheng
弱弱地说	ruo ruo de shuo
讪讪地应了一句	shan shan de ying le yi ju
声调轻微	sheng diao qing wei
声音不急不缓	sheng yin bu ji bu huan
声音不由得尖锐了几分	sheng yin bu you de jian rui le ji fen
声音温润如玉	sheng yin wen run ru yu
失声	shi sheng
收声	shou sheng
索性说	suo xing shuo
提点	ti dian
歇斯里底地喊了一声	xie si li di di han le yi sheng
叙说	xu shuo
训斥	xun chi
扬声	yang sheng
一字一顿	yi zi yi dun
应声	ying sheng
应允	ying yun
用鼻子哼出几个字	yong bi zi heng chu ji ge zi
语带带着哭腔	yu dai dai zhe ku qiang
语调生硬	yu diao sheng ying
语气里没有任何调笑的意味	yu qi li mei you ren he tiao xiao de yi wei
语气有些不悦	yu qi you xie bu yue
语速刚刚好	yu su gang gang hao
支吾	zhi wu
吱声	zi sheng
嘴里碎碎的念了一句	zui li sui sui de nian le yi ju
嘴皮子利索	zui pi zi li suo
