阿鼻坠空	a bi zhui kong
阿鼻尊	a bi zun
阿丁仔	a ding zai
阿卡巴内	a ka ba nei
阿拉希	a la xi
阿飘	a piao
阿婆尊	a po zun
哀不发	ai bu fa
哀灵道者叹悲欢	ai ling dao zhe tan bei huan
爱灵灵	ai ling ling
哀世间	ai shi jian
安倍博雅	an bei bo ya
安倍晴明	an bei qing ming
鹌鹑之网难罗鹤	an chun zhi wang nan luo he
安龙瓶	an long ping
暗梅沉香剑	an mei chen xiang jian
安太岁	an tai sui
安危同在	an wei tong zai
暗之军势	an zhi jun shi
傲绝	ao jue
傲梅剪雪生	ao mei jian xue sheng
鳌千岁	ao qian sui
敖鹰	ao ying
鳌鱼饼	ao yu bing
八百比丘尼	ba bai bi qiu ni
八百红尘八百深	ba bai hong chen ba bai shen
八刀痕	ba dao hen
八卦罗网长	ba gua luo wang chang
八纮稣浥	ba hong su yi
八脉汇流入气海	ba mai hui liu ru qi hai
八式往复入轮回	ba shi wang fu ru lun hui
八音才子	ba yin cai zi
八爪的	ba zhua de
八足原人	ba zu yuan ren
白比丘	bai bi qiu
百步留行尽雪踪	bai bu liu xing jin xue zong
百草御毒丹	bai cao yu du dan
百代风骚	bai dai feng sao
百赌百胜小郎君	bai du bai sheng xiao lang jun
百感伤怀	bai gan shang huai
白骨横千霜	bai gu heng qian shuang
白鲛	bai jiao
白鲛出白鲛出	bai jiao chu bai jiao chu
白兰汀	bai lan ting
白狼	bai lang
百里苍茫独千秋	bai li cang mang du qian qiu
百里屠苏	bai li tu su
百里闻香	bai li wen xiang
百里潇湘	bai li xiao xiang
白练飞踪锦烟霞	bai lian fei zong jin yan xia
百炼千锤终朽败	bai lian qian chui zhong xiu bai
白六合	bai lu he
百轮青	bai lun qing
白萍吹尽楚江秋	bai ping chui jin chu jiang qiu
白日无迹	bai ri wu ji
白色骷髅形似马	bai se ku lou xing si ma
百胜战营	bai sheng zhan ying
白烁烁	bai shuo shuo
百武会	bai wu hui
白雪临刃血如泓	bai xue lin ren xue ru hong
百雪踪	bai xue zong
白阳生	bai yang sheng
百丈纷尘千事扰	bai zhang fen chen qian shi rao
败者剑下亡	bai zhe jian xia wang
百镇雄关御兵韬	bai zhen xiong guan yu bing tao
伴风宵	ban feng xiao
半梦乡途迷远道	ban meng xiang tu mi yuan dao
半生酆都	ban sheng feng du
半生骇浪半生沉	ban sheng hai lang ban sheng chen
半掩孤帏悬锦囊	ban yan gu wei xuan jin nang
半掩孤帏远庙堂	ban yan gu wei yuan miao tang
蚌含珠	bang han zhu
宝刀最妖娇	bao dao zui yao jiao
悲不闻	bei bu wen
北风传奇	bei feng chuan qi
北极仙来紫气东	bei ji xian lai zi qi dong
北竞王	bei jing wang
北开溟溟执名锋	bei kai ming ming zhi ming feng
北龙归心号苍穹	bei long gui xin hao cang qiong
北冥封宇	bei ming feng yu
北冥华	bei ming hua
北冥皇渊	bei ming huang yuan
北冥骄雄	bei ming jiao xiong
北冥琏	bei ming lian
北冥玲姬	bei ming ling ji
北冥流君	bei ming liu jun
北冥清涟	bei ming qing lian
北冥觞	bei ming shang
北冥霜戟	bei ming shuang ji
北冥无痕	bei ming wu hen
北冥宣	bei ming xuan
北冥琂	bei ming yan
北冥异	bei ming yi
北冥缜	bei ming zhen
贝璇玑	bei xuan ji
贝叶菩提不受尘	bei ye pu ti bu shou chen
悲音震陶埙	bei yin zhen tao xun
北岳联盟	bei yue lian meng
悲中寻情理	bei zhong xun qing li
贲虎六斩	ben hu liu zhan
贲虎无悔	ben hu wu hui
崩云从应龙	beng yun cong ying long
崩云古幡	beng yun gu fan
碧海兼容	bi hai jian rong
比鹏将军	bi peng jiang jun
碧松影	bi song ying
笔在手	bi zai shou
碧真	bi zhen
