阿尔法	a er fa
阿尔法狗	a er fa gou
拔花	ba hua
白大龙	bai da long
不活	bu huo
猜先	cai xian
缠绕	chan rao
大飞	da fei
打劫	da jie
大龙	da long
打入	da ru
打勺	da shao
分投	fen tou
共活	gong huo
滚打包收	gun da bao shou
黑大龙	hei da long
后手	hou shou
缓手	huan shou
活棋	huo qi
僵尸流	jiang shi liu
劫败	jie bai
劫材	jie cai
劫活	jie huo
劫争	jie zheng
金毛流	jin mao liu
巨勺	ju shao
绝艺	jue yi
开劫	kai jie
跨断	kua duan
芈氏妖刀	mi shi yao dao
妙手	miao shou
扭断	niu duan
弃子包收	qi zi bao shou
让先	rang xian
三劫循环	san jie xun huan
三连星	san lian xing
三三	san san
勺子	shao zi
神之一手	shen zhi yi shou
生死劫	sheng si jie
双活	shuang huo
四劫循环	si jie xun huan
腾挪	teng nuo
天元	tian yuan
屠龙	tu long
无忧劫	wu you jie
先捞后洗	xian lao hou xi
先手	xian shou
小飞	xiao fei
消劫	xiao jie
星位	xing wei
循环劫	xun huan jie
摇头劫	yao tou jie
应劫	ying jie
宇宙流	yu zhou liu
治孤	zhi gu
中腹	zhong fu
中国流	zhong guo liu
做活	zuo huo
