奥斯本兹	ao si ben zi
北方排名赛	bei fang pai ming sai
超级对抗赛	chao ji dui kang sai
超级斩	chao ji zhan
大轮	da lun
低杆	di gan
低杆右塞	di gan you sai
低杆左塞	di gan zuo sai
钢库	gang ku
高杆	gao gan
高杆右塞	gao gan you sai
高杆左塞	gao gan zuo sai
后堵	hou du
后斯诺	hou si nuo
箭纹	jian wen
胶边	jiao bian
金腿	jin tui
凯拉图	kai la tu
康溪盛世	kang xi sheng shi
龙古尼	long gu ni
美拉敏	mei la min
魅途	mei tu
美兹	mei zi
名品	ming pin
木库	mu ku
皮把	pi ba
巧粉	qiao fen
台尼	tai ni
调平	tiao ping
调平螺丝	tiao ping luo si
铜箍	tong gu
线把	xian ba
先角	xian jiao
野豹	ye bao
银腿	yin tui
右塞	you sai
中杆	zhong gan
中杆右塞	zhong gan you sai
中杆左塞	zhong gan zuo sai
中轮	zhong lun
中式台球	zhong shi tai qiu
左塞	zuo sai
