百公里	bai gong li
半铁	ban tie
北斗定位	bei dou ding wei
参赛号	can sai hao
超马	chao ma
打卡	da ka
大铁	da tie
登山杖	deng shan zhang
定向赛	ding xiang sai
定向越野	ding xiang yue ye
拱门	gong men
公网定位	gong wang ding wei
号码布	hao ma bu
横幅	heng fu
环太湖	huan tai hu
计时打卡	ji shi da ka
计时设备	ji shi she bei
计时手环	ji shi shou huan
路跑	lu pao
马拉松	ma la song
马自骑	ma zi qi
门型展架	men xing zhan jia
泥泞跑	ni ning pao
骑闯天路	qi chuang tian lu
起终点	qi zhong dian
山地马拉松	shan di ma la song
山地自行车赛	shan di zi xing che sai
湿身跑	shi shen pao
速降赛	su jiang sai
铁人三项	tie ren san xiang
铁三	tie san
头灯	tou deng
徒步大会	tu bu da hui
小铁	xiao tie
芯片	xin pian
荧光跑	ying guang pao
越野跑	yue ye pao
越野跑鞋	yue ye pao xie
主会场	zhu hui chang
自行车赛	zi xing che sai
