暗地掩饰	an di yan shi
黯刃密探	an ren mi tan
暗夜之子	an ye zhi zi
百相拉札夫	bai xiang la zha fu
半人马调停人	ban ren ma tiao ting ren
爆响龙兽	bao xiang long shou
保佑	bao you
暴躁鬼怪	bao zao gui guai
迸增	beng zeng
蔽光兽	bi guang shou
必中一击	bi zhong yi ji
贬职	bian zhi
波洛斯公会门	bo luo si gong hui men
波洛斯好斗者	bo luo si hao dou zhe
波洛斯坠饰	bo luo si zhui shi
播疫师	bo yi shi
捕食	bu shi
残虐者幼龙	can nue zhe you long
城区向导	cheng qu xiang dao
成仁拼搏	cheng ren pin bo
城市理想境	cheng shi li xiang jing
冲尽秘密	chong jin mi mi
冲拳独眼巨人	chong quan du yan ju ren
从未发生	cong wei fa sheng
大军行进	da jun xing jin
戴卡林异见者	dai ka lin yi jian zhe
导引电流	dao yin dian liu
地底城抗暴	di di cheng kang bao
地底城尸蜥	di di cheng shi xi
地底境巫妖	di di jing wu yao
底密尔公会门	di mi er gong hui men
底密尔窃听虫	di mi er qie ting chong
底密尔线人	di mi er xian ren
底密尔坠饰	di mi er zhui shi
第十区守卫	di shi qu shou wei
电离化	dian li hua
殿堂花园	dian tang hua yuan
定劫烈焰	ding jie lie yan
顶塔蝙蝠	ding ta bian fu
抖擞精神	dou sou jing shen
多加刺探	duo jia ci tan
夺命造访	duo ming zao fang
恶臭毒气	e chou du qi
恶毒传言	e du chuan yan
恶意破坏	e yi po huai
翻转	fan zhuan
飞马骑士战团	fei ma qi shi zhan tuan
分束法师	fen shu fa shi
粉碎禁品	fen sui jin pin
烽会	feng hui
烽会拉尼卡	feng hui la ni ka
风险因素	feng xian yin su
孵卵蜘蛛	fu luan zhi zhu
腐霉巨汉	fu mei ju han
缚念幻象	fu nian huan xiang
高贵野猫	gao gui ye mao
葛加理公会门	ge jia li gong hui men
葛加理女王瓦丝卡	ge jia li nv wang wa si ka
葛加理弃物贩商	ge jia li qi wu fan shang
葛加理突击队	ge jia li tu ji dui
葛加理坠饰	ge jia li zhui shi
根茎狩猎菌	gen jing shou lie jun
攻城亚龙	gong cheng ya long
公会法师集会地	gong hui fa shi ji hui di
公会聚首	gong hui ju shou
钩爪隐士	gou zhao yin shi
故军士兵	gu jun shi bing
雇佣投毒客	gu yong tou du ke
乖僻独眼巨人	guai pi du yan ju ren
光缕禁锢	guang lv jin gu
鬼怪电流术士	gui guai dian liu shu shi
鬼怪掌旗	gui guai zhang qi
哈资达元帅	ha zi da yuan shuai
瀚力恩泽	han li en ze
寒意蔓延	han yi man yan
弘孢亚龙	hong bao ya long
弧光凤凰	hu guang feng huang
化学师的洞察	hua xue shi de dong cha
辉孢祭师	hui bao ji shi
回击	hui ji
会盟堂哨卫	hui meng tang shao wei
毁灭低语魔	hui mie di yu mo
会堂公会法师	hui tang gong hui fa shi
火炬讯使	huo ju xun shi
火焰促狭鬼	huo yan cu xia gui
激进创想	ji jin chuang xiang
集群之威	ji qun zhi wei
积水墓地	ji shui mu di
极限飞升	ji xian fei sheng
极限狂飙	ji xian kuang biao
记忆叛离	ji yi pan li
脊椎百足虫	ji zhui bai zu chong
架盾守护	jia dun shou hu
监城史芬斯	jian cheng shi fen si
拣择性圈套	jian ze xing quan tao
教团公会法师	jiao tuan gong hui fa shi
教团辉光使	jiao tuan hui guang shi
教团尖锋塔疾克	jiao tuan jian feng ta ji ke
教团战首	jiao tuan zhan shou
街头暴乱	jie tou bao luan
揭晓	jie xiao
静电力场	jing dian li chang
警觉欧卡皮鹿	jing jue ou ka pi lu
精炎队长	jing yan dui zhang
景仰象族	jing yang xiang zu
究探	jiu tan
倨傲击	ju ao ji
拘捕法球	ju bu fa qiu
攫物毡苔	jue wu zhan tai
刻洛虫群	ke luo chong qun
刻洛搜粮群	ke luo sou liang qun
刻洛鱼叉手	ke luo yu cha shou
空骑士军团兵	kong qi shi jun tuan bing
狂愤	kuang fen
溃疽伤	kui ju shang
滥炸鬼怪	lan zha gui guai
冷酷蛇发妖	leng ku she fa yao
立威	li wei
联盟公会法师	lian meng gong hui fa shi
列夫斗士	lie fu dou shi
列夫守护者	lie fu shou hu zhe
陵墓奥秘	ling mu ao mi
落跑汽身	luo pao qi shen
洛特离巨人	luo te li ju ren
莽闯碑像	mang chuang bei xiang
莽闯驮兽	mang chuang tuo shou
莽撞军士长	mang zhuang jun shi zhang
貌纹绘师	mao wen hui shi
玫瑰鬃半人马	mei gui zong ban ren ma
煤烟仪式	mei yan yi shi
门前广场	men qian guang chang
盟地护盾手	meng di hu dun shou
盟会裁定	meng hui cai ding
盟会公会法师	meng hui gong hui fa shi
盟会骑兵	meng hui qi bing
梦生阿米巴	meng sheng a mi ba
盟誓伙伴	meng shi huo ban
密墙专家	mi qiang zhuan jia
迷雾墙	mi wu qiang
灭口艾庄塔	mie kou ai zhuang ta
名誉的代价	ming yu de dai jia
抹除自我	mo chu zi wo
抹消思绪	mo xiao si xu
暮秋骑士	mu qiu qi shi
霓彩复生	ni cai fu sheng
瓯坎杀手	ou kan sha shou
劈扫巨人	pi sao ju ren
片刻反思	pian ke fan si
破颅假想	po lu jia xiang
千目依佐妮	qian mu yi zuo ni
千年风暴	qian nian feng bao
千咒专家	qian zhou zhuan jia
巧妙击倒	qiao miao ji dao
撬锁鬼怪	qiao suo gui guai
窃物鼠	qie wu shu
全城拘捕	quan cheng ju bu
群落公会法师	qun luo gong hui fa shi
热情巨犀兽	re qing ju xi shou
韧皮龇牙兽	ren pi zi ya shou
任务简报	ren wu jian bao
熔护区牛头怪	rong hu qu niu tou guai
熔岩缠绕	rong yan chan rao
散布谣言	san bu yao yan
瑟雷尼亚公会门	se lei ni ya gong hui men
瑟雷尼亚坠饰	se lei ni ya zhui shi
杀手留念	sha shou liu nian
赏金密探	shang jin mi tan
神恩天降	shen en tian jiang
神秘消失	shen mi xiao shi
圣洁锻炉	sheng jie duan lu
尸骨屏障	shi gu ping zhang
十会盟巨剑	shi hui meng ju jian
世界之魂巨像	shi jie zhi hun ju xiang
食梦史芬斯	shi meng shi fen si
噬书兽	shi shu shou
石像鬼门卫	shi xiang gui men wei
实验性狂乱	shi yan xing kuang luan
示园元素	shi yuan yuan su
兽皮收集客	shou pi shou ji ke
兽群惧集	shou qun ju ji
兽群语者	shou qun yu zhe
树冠压袭	shu guan ya xi
栓制魁首	shuan zhi kui shou
思灵龙兽	si ling long shou
索马拉塑木师	suo ma la su mu shi
天际斥候	tian ji chi hou
铁壳甲虫	tie ke jia chong
同袍情谊	tong pao qing yi
偷窃小恶魔	tou qie xiao e mo
瓦砾区野猪	wa li qu ye zhu
蔓生墓园	wan sheng mu yuan
维多肯催眠师	wei duo ken cui mian shi
伪体拟形	wei ti ni xing
沃耶克保镖	wo ye ke bao biao
五彩宫灯	wu cai gong deng
舞剑教官	wu jian jiao guan
无惧长戟兵	wu ju chang ji bing
无声袖剑	wu sheng xiu jian
无畏庞巨亚龙	wu wei pang ju ya long
午夜镰刀手	wu ye lian dao shou
雾中灵	wu zhong ling
希望曙光	xi wang shu guang
细语告密客	xi yu gao mi ke
细语秘教徒	xi yu mi jiao tu
细语密探	xi yu mi tan
鲜血特务	xian xue te wu
象族复元师	xiang zu fu yuan shi
协音之魂艾玛拉	xie yin zhi hun ai ma la
信标电击	xin biao dian ji
心念如雨	xin nian ru yu
心智窃贼	xin zhi qie zei
袖珍龙航师	xiu zhen long hang shi
许愿蟹	xu yuan xie
眩目光辉	xuan mu guang hui
炫日巡卫	xuan ri xun wei
雪恨快剑手	xue hen kuai jian shou
芽生新机	ya sheng xin ji
炎灵研究	yan ling yan jiu
研谋	yan mou
阳园坚兵	yang yuan jian bing
夜篷掠食者	ye peng lue shi zhe
夜篷仙子	ye peng xian zi
野生冠角牛	ye sheng guan jiao niu
伊捷公会门	yi jie gong hui men
伊捷坠饰	yi jie zhui shi
伊捷总督拉尔	yi jie zong du la er
异声卓塔妮	yi sheng zhuo ta ni
音波来袭	yin bo lai xi
隐匿阴魂	yin ni yin hun
阴森巨魔	yin sen ju mo
迂回路线	yu hui lu xian
元祖尼米捷	yuan zu ni mi jie
跃蛙	yue wa
遭缉见证人	zao ji jian zheng ren
闸门藤蔓	zha men teng wan
战斗准备	zhan dou zhun bei
斩断束缕	zhan duan shu lv
掌控风暴	zhang kong feng bao
震耳号角	zhen er hao jiao
振奋独角兽	zhen fen du jiao shou
蒸气喷发口	zheng qi pen fa kou
正气霆击	zheng qi ting ji
正义模范欧瑞梨	zheng yi mo fan ou rui li
正义一击	zheng yi yi ji
治疗师翔鹰	zhi liao shi xiang ying
稚嫩新兵	zhi nen xin bing
致全	zhi quan
重锤巨人	zhong chui ju ren
重负	zhong fu
重力冲拳	zhong li chong quan
众人之力	zhong ren zhi li
宙子散漫	zhou zi san man
驻防地军士长	zhu fang di jun shi zhang
烛光守夜	zhu guang shou ye
椎骨魔杖	zhui gu mo zhang
滋蕾	zi lei
坐骑洛克鸟	zuo qi luo ke niao
