哀恸骑士	ai tong qi shi
傲慢寡头	ao man gua tou
扮妆	ban zhuang
暴喜	bao xi
倍火妖	bei huo yao
波朗族破坏人	bo lang zu po huai ren
不当遗产	bu dang yi chan
捕捉菁华	bu zhuo jing hua
部族公会法师	bu zu gong hui fa shi
部族狂愤	bu zu kuang fen
参议院公会法师	can yi yuan gong hui fa shi
参议院狮鹫	can yi yuan shi jiu
参议院讯使	can yi yuan xun shi
偿清债务	chang qing zhai wu
城门巨像	cheng men ju xiang
城门失火	cheng men shi huo
城市坚兵	cheng shi jian bing
成长涡旋	cheng zhang wo xuan
重根绊索	chong gen ban suo
崇圣喷泉	chong sheng pen quan
刺轮舞者	ci lun wu zhe
催眠渊栖怪	cui mian yuan qi guai
存育	cun yu
大教堂缠钟灵	da jiao tang chan zhong ling
大举破坏	da ju po huai
打开大门	da kai da men
大司法通道	da si fa tong dao
大仲裁者多温	da zhong cai zhe duo wen
逮捕人的训诫	dai bu ren de xun jie
逮捕人热忱	dai bu ren re chen
地底城拾荒者	di di cheng shi huang zhe
地底城之拥	di di cheng zhi yong
第十区老兵	di shi qu lao bing
第一城区勇士	di yi cheng qu yong shi
多温凝思	duo wen ning si
恶毒古汀兽	e du gu ting shou
遏止倒彩	e zhi dao cai
俄佐立变节者拉温妮	e zuo li bian jie zhe la wen ni
俄佐立公会门	e zuo li gong hui men
俄佐立巡空卫	e zuo li xun kong wei
俄佐立仲裁骑士	e zuo li zhong cai qi shi
俄佐立坠饰	e zuo li zhui shi
恩典天使	en dian tian shi
翻拣爪	fan jian zhao
放诸白日	fang zhu bai ri
飞刀客	fei dao ke
粉碎祭师	fen sui ji shi
复除	fu chu
复归荒野	fu gui huang ye
俘获观众	fu huo guan zhong
腐肉小恶魔	fu rou xiao e mo
负债血偿	fu zhai xue chang
负债者驮兽	fu zhai zhe tuo shou
高度戒备	gao du jie bei
高尔族毁坏者	gao er zu hui huai zhe
高塔祟魂	gao ta sui hun
拱门天使	gong men tian shi
古鲁公会门	gu lu gong hui men
古鲁破咒人	gu lu po zhou ren
古鲁驯兽师	gu lu xun shou shi
古鲁坠饰	gu lu zhui shi
古式信徒妮恰	gu shi xin tu ni qia
怪诞夺命	guai dan duo ming
鬼怪集群	gui guai ji qun
哈资达长官	ha zi da zhang guan
寒冰灵	han bing ling
和谐广场	he xie guang chang
护育德鲁伊	hu yu de lu yi
滑翼密探	hua yi mi tan
怀恨吸血鬼	huai hen xi xue gui
缓行城垛兽	huan xing cheng duo shou
