奥迪双钻	ao di shuang zuan
拔胎器	ba tai qi
白银	bai yin
扳手	ban shou
避震	bi zhen
波波头	bo bo tou
侧补板	ce bu ban
超大径	chao da jing
车壳	che ke
橙银	cheng yin
传动轴	chuan dong zhou
磁钢	ci gang
磁铁	ci tie
大径	da jing
单线	dan xian
导电片	dao dian pian
抵抗	di kang
底盘	di pan
电磨	dian mo
垫片	dian pian
电刷	dian shua
丁丁	ding ding
顶轨	ding gui
防挂	fang gua
防倾	fang qing
防松螺母	fang song luo mu
凤尾	feng wei
黑银	hei yin
红银	hong yin
后盖	hou gai
换向器	huan xiang qi
黄银	huang yin
刻字	ke zi
蓝银	lan yin
六角轴	liu jiao zhou
龙头	long tou
轮毂	lun gu
轮胎	lun tai
螺母	luo mu
螺丝	luo si
螺丝刀	luo si dao
铝管	lv guan
绿银	lv yin
马达壳	ma da ke
迷你四驱车	mi ni si qu che
蘑菇头	mo gu tou
磨胎	mo tai
磨胎机	mo tai ji
内避震	nei bi zhen
尼龙垫片	ni long dian pian
跑死马	pao si ma
喷笔	pen bi
喷罐	pen guan
喷漆	pen qi
气泵	qi beng
强化	qiang hua
软壳	ruan ke
软胎	ruan tai
三点式凤尾	san dian shi feng wei
三线	san xian
刹车	sha che
渗碳	shen tan
手绕马达	shou rao ma da
双线	shuang xian
四驱车	si qu che
四驱小子	si qu xiao zi
四驱兄弟	si qu xiong di
四线	si xian
弹簧	tan huang
碳刷	tan shua
田宫	tian gong
天豪	tian hao
铜管	tong guan
铜头	tong tou
托架	tuo jia
五线	wu xian
无限制轨道车	wu xian zhi gui dao che
小径	xiao jing
雪糕	xue gao
压轴	ya zhou
硬胎	ying tai
战龙四驱	zhan long si qu
质量减震器	zhi liang jian zhen qi
中径	zhong jing
中翼	zhong yi
轴承	zhou cheng
轴承垫片	zhou cheng dian pian
转子	zhuan zi
装胎器	zhuang tai qi
