摆掌	bai zhang
侧面投掷垒球	ce mian tou zhi lei qiu
侧手翻	ce shou fan
侧踢腿	ce ti tui
侧向助跑调高	ce xiang zhu pao tiao gao
穿臂前后翻	chuan bi qian hou fan
穿梭跳长绳	chuan suo tiao chang sheng
穿掌	chuan zhang
单挂膝悬垂摆动	dan gua xi xuan chui bai dong
单脚交换跳短绳	dan jiao jiao huan tiao duan sheng
单手肩上投篮	dan shou jian shang tou lan
弹踢腿	dan ti tui
垫步弹踢	dian bu dan ti
蹲踞式跳远	dun ju shi tiao yuan
二路纵队左转弯走	er lu zong dui zuo zhuan wan zou
分队走合队走	fen dui zou he dui zou
弓步撩掌	gong bu liao zhang
跪跳起	gui tiao qi
嗨加油	hai jia you
后滚翻	hou gun fan
后滚翻成跪立	hou gun fan cheng gui li
急行跳远	ji xing tiao yuan
肩肘倒立	jian zhou dao li
交叉走	jiao cha zou
脚蹬强倒立	jiao deng qiang dao li
跨越式跳高	kua yue shi tiao gao
快速跑	kuai su pao
篮球双手胸前传接球	lan qiu shuang shou xiong qian chuan jie qiu
篮球双手胸前投篮	lan qiu shuang shou xiong qian tou lan
篮球体前变向运球	lan qiu ti qian bian xiang yun qiu
篮球行进间运球	lan qiu xing jin jian yun qiu
篮球原地运球	lan qiu yuan di yun qiu
立棒式接力	li bang shi jie li
立定跳远	li ding tiao yuan
立正稍息	li zheng shao xi
两笔间隔的疏散与密集	liang bi jian ge de shu san yu mi ji
撩拳收抱	liao quan shou bao
撩掌	liao zhang
马步横打	ma bu heng da
米接力跑	mi jie li pao
米迎面接力跑	mi ying mian jie li pao
耐久跑	nai jiu pao
爬过铁丝网	pa guo tie si wang
排球并步	pai qiu bing bu
排球正面双手垫球	pai qiu zheng mian shuang shou dian qiu
排球正面下手发球	pai qiu zheng mian xia shou fa qiu
跑步齐步互换	pao bu qi bu hu huan
跑步走立定	pao bu zou li ding
乒乓球反手发球	ping pang qiu fan shou fa qiu
乒乓球反手削球	ping pang qiu fan shou xiao qiu
乒乓球正手攻球	ping pang qiu zheng shou gong qiu
乒乓球正手推挡球	ping pang qiu zheng shou tui dang qiu
仆步压腿	pu bu ya tui
齐步变跑步	qi bu bian pao bu
起立	qi li
前滚成蹲立	qian gun cheng dun li
前滚翻	qian gun fan
前滚翻双腿交叉转体	qian gun fan shuang tui jiao cha zhuan ti
前滚翻支腿做	qian gun fan zhi tui zuo
青蛙跳争先赛	qing wa tiao zheng xian sai
山羊分腿腾越	shan yang fen tui teng yue
伸展运动	shen zhan yun dong
双绳摇	shuang sheng yao
双手投掷实心球	shuang shou tou zhi shi xin qiu
踏板操	ta ban cao
跳步推掌	tiao bu tui zhang
跳骆驼	tiao luo tuo
跳上撑蹲撑	tiao shang cheng dun cheng
跳上成跪撑向前跳下	tiao shang cheng gui cheng xiang qian tiao xia
跳上支撑前翻下	tiao shang zhi cheng qian fan xia
挺身跳下	ting shen tiao xia
五步接龙	wu bu jie long
武术正踢腿	wu shu zheng ti tui
向后摇绳编花跳	xiang hou yao sheng bian hua tiao
向前编花跳绳	xiang qian bian hua tiao sheng
虚步架打	xu bu jia da
一隔一队错肩走	yi ge yi dui cuo jian zou
一列横队变二路纵队	yi lie heng dui bian er lu zong dui
韵律活动	yun lv huo dong
直立	zhi li
字跳长绳	zi tiao chang sheng
足蹬地翻上	zu deng di fan shang
足球脚背外侧传球	zu qiu jiao bei wai ce chuan qiu
足球脚背正面停空中球	zu qiu jiao bei zheng mian ting kong zhong qiu
足球脚背正面运球	zu qiu jiao bei zheng mian yun qiu
足球脚底接地滚球	zu qiu jiao di jie di gun qiu
足球脚内侧接地滚球	zu qiu jiao nei ce jie di gun qiu
足球脚内侧踢球	zu qiu jiao nei ce ti qiu
足球脚内侧运球	zu qiu jiao nei ce yun qiu
