矮人矿脉	ai ren kuang mai
艾卓王权	ai zhuo wang quan
鞍博雷堡	an bo lei bao
鞍博雷破盾手	an bo lei po dun shou
鞍博雷神圣武士	an bo lei shen sheng wu shi
鞍烬锋	an jin feng
暗夜死神	an ye si shen
奥术师的猫头鹰	ao shu shi de mao tou ying
保皇动员	bao huang dong yuan
暴食巨魔侯	bao shi ju mo hou
边墙镇旅店主	bian qiang zhen lv dian zhu
变蛙咒	bian wa zhou
玻璃棺	bo li guan
跛行铠甲	bo xing kai jia
不亡骑士	bu wang qi shi
侧翼突破	ce yi tu po
长廊监卫	chang lang jian wei
趁愿仙儿	chen yuan xian er
城门吊桥	cheng men diao qiao
城砦骑士	cheng zhai qi shi
赤岭邑主托班	chi ling yi zhu tuo ban
痴迷剑师	chi mi jian shi
创新烈焰	chuang xin lie yan
催眠仙子	cui mian xian zi
待售乳牛	dai shou ru niu
鼎镬赋礼	ding huo fu li
鼎镬佣兽	ding huo yong shou
冬霜沼指挥官	dong shuang zhao zhi hui guan
豆茎高耸	dou jing gao song
豆茎巨人	dou jing ju ren
夺魂骑兵	duo hun qi bing
恶毒贵族	e du gui zu
恶狼	e lang
恶戏之王兰卡	e xi zhi wang lan ka
发条仆从	fa tiao pu cong
凡翠丝堡	fan cui si bao
凡翠丝神圣武士	fan cui si shen sheng wu shi
凡翠丝石像鬼	fan cui si shi xiang gui
纺车	fang che
沸腾鼎镬	fei teng ding huo
愤怒红帽客	fen nu hong mao ke
峰顶先知	feng ding xian zhi
风蚀峭壁	feng shi qiao bi
赋生仙灵	fu sheng xian ling
腐沼淘气灵	fu zhao tao qi ling
盖伦碧堡	gai lun bi bao
盖伦碧雕匠	gai lun bi diao jiang
盖伦碧扈从	gai lun bi hu cong
盖伦碧神圣武士	gai lun bi shen sheng wu shi
盖伦碧王约沃	gai lun bi wang yue wo
钢目狮鹫	gang mu shi jiu
钢爪长枪	gang zhua chang qiang
高年骑士	gao nian qi shi
巩固补给	gong gu bu gei
菇顶蜘蛛	gu ding zhi zhu
孤寂独角兽	gu ji du jiao shou
古籍奇兵	gu ji qi bing
过负学徒	guo fu xue tu
寒冰女王	han bing nv wang
好奇木偶	hao qi mu ou
好奇双童	hao qi shuang tong
很久以前	hen jiu yi qian
红帽客搏战	hong mao ke bo zhan
红帽客突击队	hong mao ke tu ji dui
轰然殒命	hong ran yun ming
厚颜借物灵	hou yan jie wu ling
化作南瓜	hua zuo nan gua
幻法仙灵瓯柯	huan fa xian ling ou ke
幻境保卫者	huan jing bao wei zhe
幻野林侦猎手	huan ye lin zhen lie shou
幻野血性	huan ye xue xing
幻翼灵狐	huan yi ling hu
荒野巫婆	huang ye wu po
皇族双子	huang zu shuang zi
回返自然	hui fan zi ran
慧眼伊诺拉爵士	hui yan yi nuo la jue shi
火岩抛石机	huo yan pao shi ji
惑诱巫婆	huo you wu po
棘堡奥夫	ji bao ao fu
棘林瀑布	ji lin pu bu
机敏猎人	ji min lie ren
集眼仙灵	ji yan xian ling
坚毅女王琳登	jian yi nv wang lin deng
坚毅骑兵	jian yi qi bing
姜饼怪人	jiang bing guai ren
姜饼木房	jiang bing mu fang
焦热龙炎	jiao re long yan
劫富侠客	jie fu xia ke
金蛋	jin dan
金鹅	jin e
金发入侵者	jin fa ru qin zhe
烬炼场训练师	jin lian chang xun lian shi
荆棘鞭击	jing ji bian ji
竞技赛场	jing ji sai chang
静音仙子	jing yin xian zi
巨人烤叉	ju ren kao cha
巨人杀手	ju ren sha shou
巨石圆阵	ju shi yuan zhen
抉择	jue ze
慷慨的咕加力	kang kai de gu jia li
肯理斯化身	ken li si hua shen
快意拼搏	kuai yi pin bo
狂风掀屋	kuang feng xian wu
狂徒嬉戏	kuang tu xi xi
浪潮斗篷	lang chao dou peng
老年法师盖威克	lao nian fa shi gai wei ke
雷动巨嘴龟	lei dong ju zui gui
雷拳圣战军	lei quan sheng zhan jun
冷酷孔纳德爵士	leng ku kong na de jue shi
离群良驹	li qun liang ju
礼数未至	li shu wei zhi
励志老兵	li zhi lao bing
裂魂术	lie hun shu
猎取雉鸡	lie qu zhi ji
猎首精英	lie shou jing ying
路标稻草人	lu biao dao cao ren
鲁莽闯入	lu mang chuang ru
洛司温堡	luo si wen bao
洛司温神圣武士	luo si wen shen sheng wu shi
洛司温石像鬼	luo si wen shi xiang gui
洛司温首领阿娅拉	luo si wen shou ling a ya la
萝婉的坚兵	luo wan de jian bing
萝婉的武卫	luo wan de wu wei
膂力过人	lv li guo ren
马利夫碧仙	ma li fu bi xian
马利夫骑兵	ma li fu qi bing
莽顶食人魔	mang ding shi ren mo
莽撞仙灵	mang zhuang xian ling
玫茨长戟	mei ci chang ji
玫茨侍僧	mei ci shi seng
密尔湖巨蛇	mi er hu ju she
魔法马车	mo fa ma che
魔法明镜	mo fa ming jing
魔镜映物	mo jing ying wu
末日前兆	mo ri qian zhao
纳饼入炉	na bing ru lu
难解视像	nan jie shi xiang
念愿人鱼	nian yuan ren yu
瓯柯的同伙	ou ke de tong huo
瓯柯式恭迎	ou ke shi gong ying
披世巨人	pi shi ju ren
破壁巨人	po bi ju ren
瀑布智者	pu bu zhi zhe
骑刺假人	qi ci jia ren
七个矮人	qi ge ai ren
奇诡搭配	qi gui da pei
栖湖翔龙	qi hu xiang long
骑马突刺	qi ma tu ci
奇术巨著	qi shu ju zhu
戕命火焰	qiang ming huo yan
窃冠瓯柯	qie guan ou ke
窃取记忆	qie qu ji yi
亲历故事	qin li gu shi
青春永驻	qing chun yong zhu
青年骑士	qing nian qi shi
全宅起舞	quan zhai qi wu
逡巡城砦	qun xun cheng zhai
热忱冠军	re chen guan jun
热恋野兽	re lian ye shou
闪光宝物	shan guang bao wu
闪光盔甲	shan guang kui jia
赦免统领	she mian tong ling
深湖潜妖艾莉	shen hu qian yao ai li
神秘干扰	shen mi gan rao
神秘圣地	shen mi sheng di
神秘引路灵	shen mi yin lu ling
神奇小径	shen qi xiao jing
石卷巨蛇	shi juan ju she
食人魔游侠	shi ren mo you xia
狮爪艾林爵士	shi zhao ai lin jue shi
守成巨龙	shou cheng ju long
受困高塔	shou kun gao ta
受魅安眠	shou mei an mian
守秘人鱼	shou mi ren yu
守誓骑士	shou shi qi shi
受誉竞争者	shou yu jing zheng zhe
鼠群魔笛手	shu qun mo di shou
术士扫帚	shu shi sao zhou
水晶舞鞋	shui jing wu xie
碎骨巨人	sui gu ju ren
碎裂斩	sui lie zhan
碎屑路径	sui xie lu jing
索求初婴	suo qiu chu ying
贪婪索求	tan lan suo qiu
逃往幻野	tao wang huan ye
甜美公主	tian mei gong zhu
田园农庄	tian yuan nong zhuang
投掷	tou zhi
图音谷树妖	tu yin gu shu yao
拖入湖底	tuo ru hu di
王脉永传	wang mai yong chuan
伟大机遇	wei da ji yu
卫戍狮鹫	wei shu shi jiu
纹章旗帜	wen zhang qi zhi
巫惑井	wu huo jing
巫婆复仇	wu po fu chou
巫婆炉灶	wu po lu zao
巫婆小屋	wu po xiao wu
武器架	wu qi jia
乌枪团典范	wu qiang tuan dian fan
巫视望远镜	wu shi wang yuan jing
雾滩河巨龟	wu tan he ju gui
乌鸦复仇	wu ya fu chou
无餍食欲	wu yan shi yu
午夜怪钟	wu ye guai zhong
午夜骑士团	wu ye qi shi tuan
溪谷商人	xi gu shang ren
仙儿窃走	xian er qie zou
仙林境接骨木	xian lin jing jie gu mu
仙灵慈母	xian ling ci mu
响桥巨魔	xiang qiao ju mo
橡树宫仇敌	xiang shu gong chou di
橡树宫巡林客	xiang shu gong xun lin ke
小巧精致	xiao qiao jing zhi
邪恶守护者	xie e shou hu zhe
谐和统领	xie he tong ling
携手奔逃	xie shou ben tao
星火勇花萝婉	xing huo yong hua luo wan
幸运苜蓿	xing yun mu xu
凶猛猎巫狼	xiong meng lie wu lang
朽沼骑士	xiu zhao qi shi
血迷狼獾	xue mi lang huan
寻水兽	xun shui shou
雅鞍骑士	ya an qi shi
雅登瓦堡	ya deng wa bao
雅登瓦策士	ya deng wa ce shi
雅登瓦神圣武士	ya deng wa shen sheng wu shi
岩圈骑士	yan quan qi shi
羊群牧人	yang qun mu ren
养鼠狂鬼	yang shu kuang gui
野狼行猎	ye lang xing lie
伊雷岩烈焰术士	yi lei yan lie yan shu shi
伊雷岩壮举	yi lei yan zhuang ju
遗世军团	yi shi jun tuan
银焰扈从	yin yan hu cong
银焰仪式	yin yan yi shi
英俊王子	ying jun wang zi
永恒鼎镬	yong heng ding huo
勇威凯拉爵士	yong wei kai la jue shi
鼬背红帽客	you bei hong mao ke
幽灵尖啸	you ling jian xiao
有能骑士	you neng qi shi
寓言守护兽	yu yan shou hu shou
预兆果实	yu zhao guo shi
圆满结局	yuan man jie ju
愿爪饰符	yuan zhao shi fu
圆阵漫游者	yuan zhen man you zhe
月光拾荒客	yue guang shi huang ke
葬仪庆典	zang yi qing dian
遭诅猎人贾路	zao zu lie ren jia lu
召兽使复归	zhao shou shi fu gui
真爱之吻	zhen ai zhi wen
阵锤芳纶爵士	zhen chui fang lun jue shi
震撼寂静	zhen han ji jing
珍奇狮鹫	zhen qi shi jiu
争锋巾帼	zheng feng jin guo
正气	zheng qi
炙火齐射	zhi huo qi she
忠诚焰圈	zhong cheng yan quan
逐宝仙灵	zhu bao xian ling
