拔萃武士	ba cui wu shi
百胜食人魔	bai sheng shi ren mo
帮派交易	bang pai jiao yi
帮派劫库械	bang pai jie ku xie
帮派诘问	bang pai jie wen
碑出告吞世谭	bei chu gao tun shi tan
崩老卑祭献考	beng lao bei ji xian kao
病毒甲虫	bing du jia chong
怖密神	bu mi shen
布网腕扣	bu wang wan kou
捕捉菁华	bu zhuo jing hua
彩蛾修睦记	cai e xiu mu ji
残贤刃	can xian ren
乘蟾达成	cheng chan da cheng
澄穹猗旺	cheng qiong yi wang
炽场帮回收	chi chang bang hui shou
炽场帮头目脂牙	chi chang bang tou mu zhi ya
炽场帮袭劫志	chi chang bang xi jie zhi
炽穹轧赐	chi qiong ya ci
重回一线	chong hui yi xian
出谜月人	chu mi yue ren
传纪	chuan ji
垂影琴濑	chui ying qin lai
春叶复仇者	chun ye fu chou zhe
丛林幽谷	cong lin you gu
大口绳具像	da kou sheng ju xiang
地动波	di dong bo
帝皇玉音轻脚	di huang yu yin qing jiao
帝居永岩城	di ju yong yan cheng
地热神	di re shen
点破咒语	dian po zhou yu
点燃怒火	dian ran nu huo
电压翻涌	dian ya fan yong
洞察觉醒	dong cha jue xing
都和市向导器	dou he shi xiang dao qi
都和市行韵伶	dou he shi xing yun ling
独行锤炼	du xing chui lian
毒血帮伏影者	du xue bang fu ying zhe
毒血帮销音客	du xue bang xiao yin ke
短路	duan lu
多美代完化	duo mei dai wan hua
多美代佑护	duo mei dai you hu
多色	duo se
恶毒失灵	e du shi ling
恶鬼浪人	e gui lang ren
恶鬼战绘	e gui zhan hui
二天一流一心	er tian yi liu yi xin
发明迭代志	fa ming die dai zhi
繁花沙洲	fan hua sha zhou
返璞河童	fan pu he tong
繁生行进	fan sheng xing jin
芳穹空罗	fang qiong kong luo
纺谐蛇人	fang xie she ren
废铁场碎钢工	fei tie chang sui gang gong
废铁焊工	fei tie han gong
愤怒赋礼	fen nu fu li
风暴利刃雷游	feng bao li ren lei you
丰获窃贼	feng huo qie zei
风蚀峭壁	feng shi qiao bi
伏灵组构体	fu ling zu gou ti
钢铁学徒	gang tie xue tu
告别	gao bie
高速悬浮机车	gao su xuan fu ji che
共念御神体	gong nian yu shen ti
古牙传人	gu ya chuan ren
古战御神体	gu zhan yu shen ti
冠晓麒麟日向	guan xiao qi lin ri xiang
海岛	hai dao
骇流机体	hai liu ji ti
和谐突现	he xie tu xian
轰鸣雷兽	hong ming lei shou
护臂佣兽	hu bi yong shou
护烬恶鬼	hu jin e gui
护融蛇人	hu rong she ren
狐族高手	hu zu gao shou
花跃灵	hua yue ling
皇室搜救机	huang shi sou jiu ji
皇室威服卿	huang shi wei fu qing
皇室翔蛾	huang shi xiang e
皇室之誓	huang shi zhi shi
荒泽竹沼	huang ze zhu zhao
辉耀复兴	hui yao fu xing
火爆登场	huo bao deng chang
火爆奇点	huo bao qi dian
活力温泉	huo li wen quan
火焰涌射	huo yan yong she
祭祠住持	ji ci zhu chi
忌话图视像	ji hua tu shi xiang
棘林瀑布	ji lin pu bu
急流山崖	ji liu shan ya
机体仓库	ji ti cang ku
机体泰坦核心	ji ti tai tan he xin
记忆饰球	ji yi shi qiu
记怨魂	ji yuan hun
接殖成长	jie zhi cheng zhang
今田城主败亡鉴	jin tian cheng zhu bai wang jian
今田碎像	jin tian sui xiang
金尾院信徒	jin wei yuan xin tu
进展暴君金吉塔厦	jin zhan bao jun jin ji ta sha
精工神	jing gong shen
镜壳蟹	jing ke xie
静谧海湾	jing mi hai wan
镜像盒	jing xiang he
巨貉	ju hao
巨型空龟	ju xing kong gui
剧作家人偶	ju zuo jia ren ou
俊郎忆像	jun lang yi xiang
渴求知识	ke qiu zhi shi
空佑武士	kong you wu shi
狂乐行进	kuang le xing jin
魁渡追逐	kui du zhui zhu
濑四郎活证	lai si lang huo zheng
雷钢巨像	lei gang ju xiang
历祚母圣树	li zuo mu sheng shu
链枷千足虫	lian jia qian zu chong
联网终端	lian wang zhong duan
裂响突现	lie xiang tu xian
凛剑狐族	lin jian hu zu
灵动机体	ling dong ji ti
灵都哨卫	ling dou shao wei
灵念伴侣	ling nian ban lv
灵兔电池	ling tu dian chi
流星信徒骨碌骨碌	liu xing xin tu gu lu gu lu
胧宫守护者	long gong shou hu zhe
龙火反应炉	long huo fan ying lu
龙神重生录	long shen chong sheng lu
龙神之卵	long shen zhi luan
龙缘相唤	long yuan xiang huan
陋街搜刮客	lou jie sou gua ke
路霸鼠人	lu ba shu ren
路边神龛	lu bian shen kan
乱世风云录	luan shi feng yun lu
落跑清淤械	luo pao qing yu xie
码头厨师	ma tou chu shi
蛮力机甲	man li ji jia
锚定实界	mao ding shi jie
茂树之牙	mao shu zhi ya
梅泽俊郎生平纪	mei ze jun lang sheng ping ji
梅泽悟	mei ze wu
魅知子布真之治	mei zhi zi bu zhen zhi zhi
魅知子画像	mei zhi zi hua xiang
名将山崎兵子	ming jiang shan qi bing zi
铭忆士	ming yi shi
摩登年代采风	mo deng nian dai cai feng
墨升渗透者	mo sheng shen tou zhe
模造能手	mo zao neng shou
魔爪折磨	mo zhao zhe mo
墓灯灵	mu deng ling
母圣树恩泽	mu sheng shu en ze
母圣树耸天际	mu sheng shu song tian ji
母圣树枝桠	mu sheng shu zhi ya
逆炉霜剑山	ni lu shuang jian shan
逆神之战	ni shen zhi zhan
你已经死了	ni yi jing si le
啮掌忍者	nie zhang ren zhe
爬梳叙事	pa shu xu shi
盘卷潜行客	pan juan qian xing ke
叛生逆徒泰兹瑞	pan sheng ni tu tai zi rui
庞巨能量刃	pang ju neng liang ren
蓬勃御神体	peng bo yu shen ti
飘萍干预	piao ping gan yu
飘萍皇	piao ping huang
平原	ping yuan
破镜奇谭	po jing qi tan
麒麟教诲集	qi lin jiao hui ji
启蒙时代纪	qi meng shi dai ji
启蒙之手	qi meng zhi shou
奇奇几奇映影	qi qi ji qi ying ying
崎岖高地	qi qu gao di
起事变节者	qi shi bian jie zhe
七尾导师	qi wei dao shi
漆月魁渡	qi yue kui du
浅利军队长	qian li jun dui chang
浅利军指挥官理想那	qian li jun zhi hui guan li xiang na
千面影徒	qian mian ying tu
强夺实界	qiang duo shi jie
强化浪人	qiang hua lang ren
巧艺技师	qiao yi ji shi
窃物八爪械	qie wu ba zhua xie
亲触灵界	qin chu ling jie
亲见忌话图	qin jian ji hua tu
侵蚀荒漠	qin shi huang mo
蜻蛉机甲	qing ling ji jia
青铜双棍	qing tong shuang gun
驱灵斩	qu ling zhan
曲志攫身	qu zhi jue shen
全装上阵	quan zhuang shang zhen
染血洞窟	ran xue dong ku
扰网客	rao wang ke
扰序协定	rao xu xie ding
热狂驭械师	re kuang yu xie shi
忍者苦无	ren zhe ku wu
赛博派侵客	sai bo pai qin ke
赛博派哨卫	sai bo pai shao wei
赛博派特务	sai bo pai te wu
杀手墨戏	sha shou mo xi
山脉	shan mai
伤悲行进	shang bei xing jin
蛇圣拒斥	she sheng ju chi
蛇圣濑四郎传说	she sheng lai si lang chuan shuo
神河之魂香醍	shen he zhi hun xiang ti
神明火光	shen ming huo guang
神明追偿	shen ming zhui chang
神器	shen qi
盛情灵	sheng qing ling
生态学家盆景箱	sheng tai xue jia pen jing xiang
史家智慧	shi jia zhi hui
实界晶片	shi jie jing pian
实界筑师多枚实	shi jie zhu shi duo mei shi
时空裂口	shi kong lie kou
食人魔头盔	shi ren mo tou kui
诗人山崎典花	shi ren shan qi dian hua
噬生浑魔碑出告	shi sheng hun mo bei chu gao
狮头饰带	shi tou shi dai
世外乐土	shi wai le tu
实验融合仪	shi yan rong he yi
树海归真师	shu hai gui zhen shi
树海幻视师茂树	shu hai huan shi shi mao shu
树海眷恩	shu hai juan en
树海卫护人	shu hai wei hu ren
树海学员	shu hai xue yuan
树林	shu lin
霜剑山熔铁匠	shuang jian shan rong tie jiang
双箭神射手	shuang jian shen she shou
探索未然	tan suo wei ran
探照灯伴侣	tan zhao deng ban lv
天赋驾能	tian fu jia neng
调停人逮捕	tiao ting ren dai bu
铁蹄野猪	tie ti ye zhu
铜铠野猪	tong kai ye zhu
突破具像	tu po ju xiang
土石咆哮	tu shi pao xiao
吞世魔躯	tun shi mo qu
完化智者多美代	wan hua zhi zhe duo mei dai
亡嚎回响	wang hao hui xiang
无常神	wu chang shen
无孤帮剥魂械	wu gu bang bo hun xie
无孤帮伏击客	wu gu bang fu ji ke
无名风云儿	wu ming feng yun er
无私武士	wu si wu shi
系灵机体	xi ling ji ti
西树木灵	xi shu mu ling
细心栽培	xi xin zai pei
蜥蜴双刀	xi yi shuang dao
现世识库佐津树	xian shi shi ku zuo jin shu
翔蛾巡卫	xiang e xun wei
向量漂灵	xiang liang piao ling
霄城大田原	xiao cheng da tian yuan
邪鬼大刀	xie gui da dao
邪鬼宗铁砧	xie gui zong tie zhen
新生季节	xin sheng ji jie
幸运献礼	xing yun xian li
雄心突袭	xiong xin tu xi
熊野大战渴苛斩	xiong ye da zhan ke ke zhan
熊野蚀刻像	xiong ye shi ke xiang
修补机械兽	xiu bu ji xie shou
修线机虫	xiu xian ji chong
旋轮踢	xuan lun ti
旋穹开璃	xuan qiong kai li
漩雾行进	xuan wu xing jin
掩暴御神体	yan bao yu shen ti
阳刃武士	yang ren wu shi
遥想年少	yao xiang nian shao
野灵商谈	ye ling shang tan
夜幕恶意	ye mu e yi
夜幕乱世抄	ye mu luan shi chao
夜穹殉至	ye qiong xun zhi
逸才原型机	yi cai yuan xing ji
异灯行进	yi deng xing jin
遗智御神体	yi zhi yu shen ti
阴沉死水	yin chen si shui
银毛师父	yin mao shi fu
隐秘技师	yin mi ji shi
应麟蛇人	ying lin she ren
永岩城重砌考	yong yan cheng chong qi kao
永岩城模范	yong yan cheng mo fan
永岩城起事	yong yan cheng qi shi
游空鲤鱼	you kong li yu
游掠鼠人	you lue shu ren
幽鸣兽	you ming shou
幽僻庭院	you pi ting yuan
猿猴掷械	yuan hou zhi xie
月路骇客	yue lu hai ke
月索能手	yue suo neng shou
月索原型	yue suo yuan xing
月智者后裔哪失	yue zhi zhe hou yi na shi
云钢麒麟	yun gang qi lin
云游者纺像	yun you zhe fang xiang
宰辅威权	zai fu wei quan
躁影神	zao ying shen
照亮前路	zhao liang qian lu
召现绝望	zhao xian jue wang
召现苦难	zhao xian ku nan
召现狂风	zhao xian kuang feng
召现先人	zhao xian xian ren
召现正义	zhao xian zheng yi
沼泽	zhao ze
致命缺漏	zhi ming que lou
蛭吸护手	zhi xi hu shou
秩序柱础直美	zhi xu zhu chu zhi mei
纸艺诱兵	zhi yi you bing
重砌筑师像	zhong qi zhu shi xiang
逐渐湮没	zhu jian yan mo
竹林射手	zhu lin she shou
祝刃鼠人	zhu ren shu ren
逐退恶势	zhu tui e shi
珠眼戍卫神社	zhu yan shu wei shen she
珠眼遗形	zhu yan yi xing
转移灵魂	zhuan yi ling hun
自动神器师	zi dong shen qi shi
梓纱八方之旅	zi sha ba fang zhi lv
自走摩天械	zi zou mo tian xie
祖传长刀	zu chuan chang dao
