阿尔玛	a er ma
阿迦汗	a jia han
阿拉伯马	a la bo ma
阿拉齐	a la qi
阿拉兹	a la zi
阿里达	a li da
阿隆戴特	a long dai te
阿乔斯短途锦标	a qiao si duan tu jin biao
阿塞拜疆	a sai bai jiang
爱百灵	ai bai ling
艾道拿	ai dao na
爱多宝	ai duo bao
艾恩遗迹	ai en yi ji
爱冠	ai guan
爱欢跃	ai huan yue
爱丽航程	ai li hang cheng
爱丽数码	ai li shu ma
爱丽速子	ai li su zi
爱礼物	ai li wu
爱慕槽	ai mu cao
爱慕织姬	ai mu zhi ji
艾尼斯风神	ai ni si feng shen
爱如往昔	ai ru wang xi
鞍匠井	an jiang jing
鞍上	an shang
安藤胜己	an teng sheng ji
安田纪念	an tian ji nian
安小姐	an xiao jie
澳大利亚	ao da li ya
傲家声	ao jia sheng
奥克斯	ao ke si
奥马哈	ao ma ha
奥蒙德	ao meng de
奥南奴锦标	ao nan nu jin biao
傲视一切	ao shi yi qie
奥斯雅	ao si ya
澳洲赛马会育马锦标	ao zhou sai ma hui yu ma jin biao
巴比伦王	ba bi lun wang
八重无敌	ba chong wu di
八大竞走	ba da jing zou
霸道驹	ba dao ju
巴顿爵士	ba dun jue shi
巴伐利亚大赛	ba fa li ya da sai
巴基之星	ba ji zhi xing
巴黎大赛	ba li da sai
巴利多尔	ba li duo er
巴黎市议会大赛	ba li shi yi hui da sai
巴米高	ba mi gao
巴索隆系	ba suo long xi
巴特殊	ba te shu
百川女神	bai chuan nv shen
百大名马	bai da ming ma
白岱	bai dai
柏多迪	bai duo di
白金矿	bai jin kuang
百利钦	bai li qin
柏列特	bai lie te
白令	bai ling
白祈达	bai qi da
白仁时光	bai ren shi guang
白色城堡	bai se cheng bao
百胜威	bai sheng wei
柏市	bai shi
柏市纪念	bai shi ji nian
百塔意城	bai ta yi cheng
拜耶尔土耳其	bai ye er tu er qi
柏兆雷	bai zhao lei
班霸实力	ban ba shi li
半弟	ban di
半姐	ban jie
坂路	ban lu
半妹	ban mei
坂坡	ban po
班数	ban shu
半兄	ban xiong
邦女郎	bang nv lang
浜中俊	bang zhong jun
爆进	bao jin
爆冷	bao leng
宝利高	bao li gao
爆逃	bao tao
暴徒	bao tu
包尾	bao wei
包围网	bao wei wang
宝冢	bao zhong
宝冢纪念	bao zhong ji nian
北部玄驹	bei bu xuan ju
北村宏司	bei cun hong si
北村友一	bei cun you yi
北地舞人	bei di wu ren
北斗织姬	bei dou zhi ji
贝尔蒙特锦标	bei er meng te jin biao
贝尔蒙特园	bei er meng te yuan
北方飞翔	bei fang fei xiang
北方风味	bei fang feng wei
北方之光	bei fang zhi guang
北港火山	bei gang huo shan
北国队长	bei guo dui zhang
北九州纪念	bei jiu zhou ji nian
北来风	bei lai feng
贝蒙	bei meng
北山牧场	bei shan mu chang
贝知仁	bei zhi ren
苯胺	ben an
奔流伯乐	ben liu bo le
奔腾	ben teng
蹦跳	beng tiao
鼻差	bi cha
必得时机	bi de shi ji
必利时锦标	bi li shi jin biao
比萨胜驹	bi sa sheng ju
必西西	bi xi xi
变魔术	bian mo shu
表列赛	biao lie sai
标志名驹	biao zhi ming ju
表之银河	biao zhi yin he
别克	bie ke
宾夕法尼亚德比	bin xi fa ni ya de bi
并走	bing zou
博力	bo li
博扎姆	bo zha mu
步步雷霆	bu bu lei ting
步步稳	bu bu wen
步步友	bu bu you
布兰高角	bu lan gao jiao
不眠之夜	bu mian zhi ye
不挠真钢	bu nao zhen gang
步频	bu pin
布文	bu wen
布宜学	bu yi xue
不战而胜	bu zhan er sheng
蔡明绍	cai ming shao
