爱玛	ai ma
巴祖卡后减震	ba zu ka hou jian zhen
保护板	bao hu ban
暴力风扇	bao li feng shan
倍耐力	bei nai li
避震器	bi zhen qi
博士	bo shi
操控	cao kong
车架	che jia
充电器	chong dian qi
大单体	da dan ti
大炮	da pao
刀片电池	dao pian dian chi
电机	dian ji
电芯	dian xin
盾挡	dun dang
恶魔	e mo
风扇	feng shan
浮动盘	fu dong pan
固满得	gu man de
后盾	hou dun
华为大炮	hua wei da pao
极核	ji he
减震器	jian zhen qi
九号	jiu hao
控制器	kong zhi qi
锂电池	li dian chi
锂电模块	li dian mo kuai
立马	li ma
链条	lian tiao
凌博	ling bo
龙腾四海	long teng si hai
轮胎	lun tai
绿佳	lv jia
绿源	lv yuan
玛吉斯	ma ji si
满天星轮毂	man tian xing lun gu
米其林	mi qi lin
明哲辐射	ming zhe fu she
摩柯后减震	mo ke hou jian zhen
摩柯前减震	mo ke qian jian zhen
魔斯拉大灯	mo si la da deng
钠离子电池	na li zi dian chi
宁德时代	ning de shi dai
平叉	ping cha
铅酸电池	qian suan dian chi
铅酸计量板	qian suan ji liang ban
取电器	qu dian qi
全顺	quan shun
赛道小螃蟹	sai dao xiao pang xie
三星柱	san xing zhu
刹车片	sha che pian
鲨鱼王	sha yu wang
上泵	shang beng
台铃	tai ling
天使	tian shi
天选之子	tian xuan zhi zi
透镜大灯	tou jing da deng
五星钻豹	wu xing zuan bao
线束	xian shu
小刀	xiao dao
小牛	xiao niu
小螃蟹	xiao pang xie
新日	xin ri
雅迪	ya di
仪表	yi biao
油门	you men
御马电机	yu ma dian ji
远驱	yuan qu
闸把	zha ba
智科	zhi ke
轴承	zhou cheng
转把	zhuan ba
转接码	zhuan jie ma
坐垫	zuo dian
